gene_id	gene_name	X32701R1D4	X32701R3D4	X32701R4D4	X3270R1D3	X3270R1D4	X3270R3D3	X3270R3D4	X3270R4D3	X3270R4D4	X32G0R1D3	X32G0R1D4	X32G0R3D3	X32G0R3D4	X32G0R4D3	X32G0R4D4	WT7005R1D3	WT7005R1D4	WT7005R3D3	WT7005R3D4	WT7005R4D3	WT7005R4D4	WT701R1D4	WT701R3D4	WT701R4D4	WT70R1D3	WT70R1D4	WT70R3D3	WT70R3D4	WT70R4D3	WT70R4D4	WTG0R1D3	WTG0R1D4	WTG0R3D3	WTG0R3D4	WTG0R4D3	WTG0R4D4
jgi|Aurli1|10000|gm1.10000_g	jgi|Aurli1|10000|gm1.10000_g	26.025	3	0	38	1	58.692	9.049	20	8.01	1.999	2.596	2	0	3	0.969	0	0	4	1	0	1	46.12	2	36.1	34	6	65	10	5	4	9	0	0	1	14	1
jgi|Aurli1|100010|estExt_Genewise1.C_370027	jgi|Aurli1|100010|estExt_Genewise1.C_370027	1329.007	923.992	945	1220	955.998	865.524	634.062	601	474	1434	68	1209	1017	1127.02	776	958	874	1414.032	1336	319	506	1158.518	919	629.133	1685	1101.985	1131	1393	513	899	1355	861	1941	1635	866.038	1091
jgi|Aurli1|10003|gm1.10003_g	jgi|Aurli1|10003|gm1.10003_g	85.279	53.176	62	104.274	65.195	60.163	57.016	56.062	48	129	16.161	77.314	125.204	93.05	77.263	50.202	54.127	39.43	99.241	4.188	63.357	75.681	72.436	64.707	169.007	100	102.951	119.625	48	37.194	107	99.183	87	61.125	58.31	93.161
jgi|Aurli1|10005|gm1.10005_g	jgi|Aurli1|10005|gm1.10005_g	30	3	3.156	3	7	55.165	15.976	6	1	12.063	14	15.024	14	13	6	7.013	3	9	2	6.995	1	45.34	0	52.974	9	7	13	10	6	4.001	11	4	28	19.016	24	10
jgi|Aurli1|10011|gm1.10011_g	jgi|Aurli1|10011|gm1.10011_g	664.72	503.065	615	314	255	387.72	205.995	135	118	569.711	36.058	706.421	665.822	478.026	516.245	447	471	607.653	617.948	122.663	322	600.353	494	550.21	231.958	387	366.979	375.288	132	152	593.978	590	421.909	349.179	471.015	582
jgi|Aurli1|100140|estExt_Genewise1Plus.C_1_t10093	jgi|Aurli1|100140|estExt_Genewise1Plus.C_1_t10093	417	241	275	472	500	498.671	337.003	283	267	203	7	244	261.573	232	174	428	249	483	424.957	74	205	516.924	213	172.998	434	594	748	802	306	417.769	230	183	168	198	170	270
jgi|Aurli1|10015|gm1.10015_g	jgi|Aurli1|10015|gm1.10015_g	762.466	525.127	445.68	304.999	280.591	230.006	249.833	240.334	176.949	936.045	102.2	953.885	889.194	776.089	590.808	687.018	424.74	1182.324	847.006	95.77	229.145	690.934	494.282	247.661	345.108	308.046	505.726	650.646	191.565	260.695	896.299	788.24	957.092	962.99	596.65	852.307
jgi|Aurli1|100167|estExt_Genewise1Plus.C_1_t10132	jgi|Aurli1|100167|estExt_Genewise1Plus.C_1_t10132	687.285	417	461	713	554	644.592	443.574	366	337	382	15	625	549	344	391	782	489	1017.492	909	173	362	833.916	287	379.995	616	836	1179	832	425	505	417	431	396	486	397	470
jgi|Aurli1|100178|estExt_Genewise1Plus.C_1_t10143	jgi|Aurli1|100178|estExt_Genewise1Plus.C_1_t10143	292.77	268.445	73.871	312	311.868	903.311	245.982	154.891	153	360.35	27.004	404	512	282.971	262	236.208	189.755	604	430	29.437	191	967.946	230	582.587	378	396	397	501	104	209	290.413	419.3	345.972	330.853	329.001	438.003
jgi|Aurli1|100281|estExt_Genewise1Plus.C_1_t10299	jgi|Aurli1|100281|estExt_Genewise1Plus.C_1_t10299	715.357	333	270	262	199	243	232.68	132	101	513	29.004	647	776	392	467	468	371.203	705	560.076	108	130	632.995	292.001	250.258	187	344	463	391	111	93	496	598	706	781.007	429.005	615
