task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	af/5b27a1	82406	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:GTF_TO_TABLE (Aurli1_2023_ed2)	COMPLETED	0	2023-05-02 10:46:53.272	9.6s	6s	162.3%	540.8 MB	5.6 GB	46 MB	1.5 MB
2	a6/2ad04f	82407	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:VALIDATOR (samplesheet.csv)	COMPLETED	0	2023-05-02 10:47:03.020	14.8s	12s	170.4%	637.2 MB	5.7 GB	76.5 MB	4.6 MB
3	9f/71d4ba	82408	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_MATRIXFILTER ([id:study])	COMPLETED	0	2023-05-02 10:47:17.967	4.9s	2s	422.7%	119.1 MB	5.3 GB	11.9 MB	3.1 MB
8	46/45b48b	82409	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:cont5, variable:day, reference:D3, target:D4, blocking:condition;media;MB;replicate])	COMPLETED	0	2023-05-02 10:47:22.983	59.9s	57s	550.8%	967.4 MB	6.6 GB	41.4 MB	34.5 MB
6	40/6ec880	82410	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:cont3, variable:MB, reference:M005, target:M01, blocking:media;day;condition;replicate])	COMPLETED	0	2023-05-02 10:47:23.018	1m 10s	1m 4s	612.5%	993.6 MB	6.6 GB	41.4 MB	34.5 MB
7	3b/e1b678	82411	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:cont4, variable:media, reference:BY, target:GPY, blocking:condition;day;MB;replicate])	COMPLETED	0	2023-05-02 10:47:23.136	1m 10s	1m 3s	561.6%	957.6 MB	6.6 GB	41.4 MB	34.5 MB
5	23/453790	82412	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:cont2, variable:MB, reference:M0, target:M005, blocking:media;day;condition;replicate])	COMPLETED	0	2023-05-02 10:47:23.173	2m	57s	558.1%	959.1 MB	6.5 GB	41.4 MB	34.5 MB
4	8a/6676c5	82413	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:cont1, variable:condition, reference:WT, target:X32, blocking:media;day;MB;replicate])	COMPLETED	0	2023-05-02 10:47:23.199	2m 10s	1m 2s	627.2%	975.5 MB	6.6 GB	41.4 MB	34.5 MB
9	88/44f95e	82415	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_EXPLORATORY (condition)	COMPLETED	0	2023-05-02 10:48:22.932	1m 55s	1m 44s	118.0%	1.7 GB	7.4 GB	91.5 MB	353.5 KB
12	03/d49a89	82416	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_EXPLORATORY (media)	COMPLETED	0	2023-05-02 10:48:22.961	2m 40s	1m 41s	122.4%	1.7 GB	7.4 GB	91.5 MB	348.3 KB
