gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|10000|gm1.10000_g	10.97777	-3.491816	1.05134263	5.111919e-05	0.0002260953
jgi|Aurli1|100010|estExt_Genewise1.C_370027	921.2635	0.01556727	0.18140431	0.9276042	0.9520348
jgi|Aurli1|10003|gm1.10003_g	69.73847	-0.4680398	0.2206249	0.02046065	0.04453713
jgi|Aurli1|10005|gm1.10005_g	15.50435	-0.1416269	0.54427399	0.6752134	0.761882
jgi|Aurli1|10011|gm1.10011_g	383.5978	0.9570744	0.1569109	1.373799e-10	1.785577e-09
jgi|Aurli1|100140|estExt_Genewise1Plus.C_1_t10093	301.6642	-0.4864722	0.14210958	0.0003789336	0.001346008
jgi|Aurli1|10015|gm1.10015_g	486.7319	0.7876643	0.16190061	2.949367e-07	2.12017e-06
jgi|Aurli1|100167|estExt_Genewise1Plus.C_1_t10132	491.549	0.063645	0.16303421	0.6826848	0.7676257
jgi|Aurli1|100178|estExt_Genewise1Plus.C_1_t10143	299.555	-0.33137	0.29587622	0.1911771	0.286727
jgi|Aurli1|100281|estExt_Genewise1Plus.C_1_t10299	340.6991	0.8049533	0.2054517	2.103399e-05	0.0001022064
jgi|Aurli1|100312|estExt_Genewise1Plus.C_1_t10335	1672.705	0.1873258	0.28493075	0.448205	0.5575774
jgi|Aurli1|10032|gm1.10032_g	464.0717	-0.5782386	0.18883071	0.001059631	0.003371694
jgi|Aurli1|10034|gm1.10034_g	18.3214	-2.129599	0.70544369	9.560326e-05	0.0003955905
jgi|Aurli1|100340|estExt_Genewise1Plus.C_1_t10373	256.2642	0.4251716	0.16406791	0.006488161	0.01663832
jgi|Aurli1|100463|estExt_Genewise1Plus.C_1_t20024	2362.702	1.026112	0.19669705	1.719198e-08	1.54239e-07
jgi|Aurli1|10047|gm1.10047_g	692.8548	-0.001489633	0.22636281	0.9942586	0.9971365
jgi|Aurli1|10049|gm1.10049_g	8.418011	-1.239488	1.06391753	0.02719776	0.05694518
jgi|Aurli1|100505|estExt_Genewise1Plus.C_1_t20089	200.2229	-0.2870511	0.52180024	0.3966921	0.5076755
jgi|Aurli1|100519|estExt_Genewise1Plus.C_1_t20106	280.9637	-0.08636481	0.15418007	0.5593867	0.6600131
jgi|Aurli1|10054|gm1.10054_g	301.3836	-0.4052537	0.38479015	0.1750253	0.2667651
jgi|Aurli1|100593|estExt_Genewise1Plus.C_1_t20195	119.6724	0.2252165	0.26438199	0.3352941	0.4465168
jgi|Aurli1|100667|estExt_Genewise1Plus.C_1_t20291	224.6583	-0.02476785	0.19544261	0.892274	0.9267701
jgi|Aurli1|10067|gm1.10067_g	235.3326	-0.9859663	0.23567134	3.234465e-06	1.872984e-05
jgi|Aurli1|100711|estExt_Genewise1Plus.C_1_t20349	5661.697	0.2488184	0.22158676	0.2207287	0.3206394
jgi|Aurli1|100753|estExt_Genewise1Plus.C_1_t20402	78.03816	0.2885054	0.33243748	0.2921152	0.400191
jgi|Aurli1|10076|gm1.10076_g	1.237948	-0.06800316	0.90987742	0.8648603	0.9071277
jgi|Aurli1|10079|gm1.10079_g	0.6058528	-0.2297803	1.22666033	0.5647949	0.6644382
jgi|Aurli1|100846|estExt_Genewise1Plus.C_1_t30111	99.73665	-0.4869715	0.25835029	0.03352137	0.06789973
jgi|Aurli1|10085|gm1.10085_g	47.74574	1.037398	0.76251447	0.02251459	0.04828509
jgi|Aurli1|10086|gm1.10086_g	10.42779	-1.187871	1.00479616	0.02767114	0.05774068
jgi|Aurli1|1009|gm1.1009_g	1415.153	0.3016675	0.16770313	0.05858884	0.1086362
jgi|Aurli1|10091|gm1.10091_g	20.7915	-2.993381	0.91323154	6.137338e-05	0.0002658199
jgi|Aurli1|100914|estExt_Genewise1Plus.C_1_t30199	980.6408	0.6997508	0.24993994	0.001666852	0.005044779
jgi|Aurli1|100935|estExt_Genewise1Plus.C_1_t30223	4388.427	-0.7018418	0.22179289	0.0005145176	0.001767909
jgi|Aurli1|10095|gm1.10095_g	110.593	-0.5906672	0.20904601	0.002171696	0.006382684
jgi|Aurli1|10097|gm1.10097_g	76.27576	-2.813181	0.54051379	3.275966e-08	2.788897e-07
jgi|Aurli1|101003|estExt_Genewise1Plus.C_1_t30309	533.3474	0.2379878	0.10798784	0.02446978	0.05190771
jgi|Aurli1|101067|estExt_Genewise1Plus.C_1_t30403	436.1844	0.1731706	0.14598654	0.218229	0.317537
jgi|Aurli1|101078|estExt_Genewise1Plus.C_1_t30420	44.64501	-0.467213	0.38651234	0.1195199	0.1954008
jgi|Aurli1|101160|estExt_Genewise1Plus.C_1_t40046	343.4467	-0.3365725	0.17638876	0.04364133	0.08501245
jgi|Aurli1|101201|estExt_Genewise1Plus.C_1_t40087	96.76857	-1.342937	0.37467654	1.228718e-05	6.290498e-05
jgi|Aurli1|10123|gm1.10123_g	75.54741	-4.004697	0.55171254	7.611177e-14	1.585305e-12
jgi|Aurli1|10125|gm1.10125_g	797.1763	-0.239922	0.17334047	0.1444338	0.2285726
jgi|Aurli1|10132|gm1.10132_g	113.7738	0.153763	0.20778994	0.4248216	0.5347682
jgi|Aurli1|10133|gm1.10133_g	29.91073	0.8558185	0.65320648	0.03538921	0.07102747
jgi|Aurli1|10138|gm1.10138_g	420.5174	-0.5545316	0.24382881	0.01123615	0.02671242
jgi|Aurli1|10139|gm1.10139_g	1.212851	-1.184364	1.26166276	0.04653554	0.08970779
jgi|Aurli1|10140|gm1.10140_g	67.63111	-2.048528	0.37049848	1.544644e-09	1.663549e-08
jgi|Aurli1|101425|estExt_Genewise1Plus.C_1_t40372	440.2958	-0.3576187	0.16444647	0.02241785	0.04811936
jgi|Aurli1|10143|gm1.10143_g	4.975496	-0.1130227	0.47141076	0.7258283	0.8008954
jgi|Aurli1|10147|gm1.10147_g	61.06747	-2.197735	0.79705131	0.0002244825	0.0008443003
jgi|Aurli1|101509|estExt_Genewise1Plus.C_2_t10053	667.0993	5.014449	0.48905172	9.178941e-26	8.615423e-24
jgi|Aurli1|10161|gm1.10161_g	8.121614	-0.241068	0.64829742	0.5059869	0.6110077
jgi|Aurli1|101622|estExt_Genewise1Plus.C_2_t10189	214.6176	0.6796784	0.20651442	0.0003580086	0.001280267
jgi|Aurli1|101653|estExt_Genewise1Plus.C_2_t10243	11722.15	-2.71427	0.74029728	1.676688e-05	8.349658e-05
jgi|Aurli1|10166|gm1.10166_g	177.0623	-0.2086521	0.11955031	0.07350613	0.1312262
jgi|Aurli1|10173|gm1.10173_g	155.7501	-1.575084	1.1142381	0.011132	0.0264988
jgi|Aurli1|101747|estExt_Genewise1Plus.C_2_t10359	843.6605	-0.8095223	0.23362752	0.0001206544	0.0004856962
jgi|Aurli1|101750|estExt_Genewise1Plus.C_2_t10362	753.2235	0.6031046	0.11479813	7.071657e-08	5.681077e-07
jgi|Aurli1|10179|gm1.10179_g	1685.814	0.06183789	0.17467452	0.7089395	0.7881743
jgi|Aurli1|101851|estExt_Genewise1Plus.C_2_t10495	70.1748	-0.6182588	0.32807971	0.02295832	0.04910888
jgi|Aurli1|101858|estExt_Genewise1Plus.C_2_t20003	466.539	0.6399098	0.21067644	0.0009594046	0.003091021
jgi|Aurli1|101936|estExt_Genewise1Plus.C_2_t20088	1187.342	0.5697717	0.18844511	0.00123098	0.003849734
jgi|Aurli1|10200|gm1.10200_g	9.075468	-0.2999127	0.50250521	0.3701112	0.4815114
jgi|Aurli1|102011|estExt_Genewise1Plus.C_2_t20186	195.6246	0.729422	0.17659063	1.13277e-05	5.847191e-05
jgi|Aurli1|102023|estExt_Genewise1Plus.C_2_t20202	667.7552	-0.1760966	0.54542365	0.6038078	0.7004983
jgi|Aurli1|10207|gm1.10207_g	186.5509	-0.3090331	0.2852328	0.2109703	0.3098019
jgi|Aurli1|102094|estExt_Genewise1Plus.C_2_t20300	508.6121	1.039054	0.2280939	4.690421e-07	3.250418e-06
jgi|Aurli1|10212|gm1.10212_g	620.6769	0.7209077	0.24545106	0.001013346	0.00323738
jgi|Aurli1|10213|gm1.10213_g	7.229067	0.01337654	0.49813676	0.967379	0.9792424
jgi|Aurli1|10214|gm1.10214_g	670.7702	-1.09074	0.23746463	3.143893e-07	2.24802e-06
jgi|Aurli1|102159|estExt_Genewise1Plus.C_2_t20392	48.40673	-0.1132243	0.26326525	0.6271953	0.7207521
jgi|Aurli1|10226|gm1.10226_g	1.599951	-0.1299798	0.75305852	0.7305233	0.8042806
jgi|Aurli1|102291|estExt_Genewise1Plus.C_2_t30046	152.501	-0.4217252	0.29385963	0.09445581	0.1609722
jgi|Aurli1|10231|gm1.10231_g	1.164112	-0.366194	1.14406364	0.4032191	0.5140324
jgi|Aurli1|10233|gm1.10233_g	2600.018	-0.0007989989	0.2856506	0.9974244	0.9989148
jgi|Aurli1|10234|gm1.10234_g	124.5873	-0.7762726	0.26852821	0.0009608508	0.003095008
jgi|Aurli1|102414|estExt_Genewise1Plus.C_3_t10085	86.06547	-0.726123	0.26565945	0.00185621	0.005558884
