gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|10000|gm1.10000_g	10.97777	-0.0003556789	0.03278477	0.8392067	0.9996259
jgi|Aurli1|100010|estExt_Genewise1.C_370027	921.2635	-0.0004151849	0.009104836	0.2462006	0.9996259
jgi|Aurli1|10003|gm1.10003_g	69.73847	0.0001078458	0.006908139	0.7061562	0.9996259
jgi|Aurli1|10005|gm1.10005_g	15.50435	0.002459075	0.050775897	0.3170989	0.9996259
jgi|Aurli1|10011|gm1.10011_g	383.5978	0.0004951408	0.008568476	0.173575	0.9996259
jgi|Aurli1|100140|estExt_Genewise1Plus.C_1_t10093	301.6642	-4.534366e-05	0.005167471	0.8635016	0.9996259
jgi|Aurli1|10015|gm1.10015_g	486.7319	2.882622e-05	0.005375113	0.9108836	0.9996259
jgi|Aurli1|100167|estExt_Genewise1Plus.C_1_t10132	491.549	-0.0002069261	0.006330895	0.4629239	0.9996259
jgi|Aurli1|100178|estExt_Genewise1Plus.C_1_t10143	299.555	-0.0004281365	0.013580974	0.4100744	0.9996259
jgi|Aurli1|100281|estExt_Genewise1Plus.C_1_t10299	340.6991	-9.963608e-05	0.006434239	0.7153718	0.9996259
jgi|Aurli1|100312|estExt_Genewise1Plus.C_1_t10335	1672.705	-0.0007199101	0.017157935	0.2598759	0.9996259
jgi|Aurli1|10032|gm1.10032_g	464.0717	0.0002788437	0.007649289	0.3712939	0.9996259
jgi|Aurli1|10034|gm1.10034_g	18.3214	0.0006411819	0.022607272	0.5206627	0.9996259
jgi|Aurli1|100340|estExt_Genewise1Plus.C_1_t10373	256.2642	-0.0001473878	0.005881182	0.5842926	0.9996259
jgi|Aurli1|100463|estExt_Genewise1Plus.C_1_t20024	2362.702	-0.0002709955	0.007586487	0.3816821	0.9996259
jgi|Aurli1|10047|gm1.10047_g	692.8548	1.923336e-05	0.007061126	0.9476358	0.9996259
jgi|Aurli1|10049|gm1.10049_g	8.418011	0.002501962	0.055232685	0.3708915	0.9996259
jgi|Aurli1|100505|estExt_Genewise1Plus.C_1_t20089	200.2229	0.00292126	0.052689523	0.237452	0.9996259
jgi|Aurli1|100519|estExt_Genewise1Plus.C_1_t20106	280.9637	0.0001953727	0.005964231	0.4822248	0.9996259
jgi|Aurli1|10054|gm1.10054_g	301.3836	0.0014133	0.029159908	0.2313405	0.9996259
jgi|Aurli1|100593|estExt_Genewise1Plus.C_1_t20195	119.6724	-0.0001145747	0.008796833	0.747879	0.9996259
jgi|Aurli1|100667|estExt_Genewise1Plus.C_1_t20291	224.6583	0.0001275421	0.006599799	0.6464763	0.9996259
jgi|Aurli1|10067|gm1.10067_g	235.3326	2.905613e-05	0.006730598	0.917796	0.9996259
jgi|Aurli1|100711|estExt_Genewise1Plus.C_1_t20349	5661.697	-0.0001245742	0.007359473	0.6778412	0.9996259
jgi|Aurli1|100753|estExt_Genewise1Plus.C_1_t20402	78.03816	0.0006128807	0.017515046	0.3693922	0.9996259
jgi|Aurli1|10076|gm1.10076_g	1.237948	0.003101619	0.09032195	0.5349868	0.9996259
jgi|Aurli1|10079|gm1.10079_g	0.6058528	-0.001110859	0.118359785	0.8448537	0.9996259
jgi|Aurli1|100846|estExt_Genewise1Plus.C_1_t30111	99.73665	0.001103168	0.020022981	0.1367235	0.9996259
jgi|Aurli1|10085|gm1.10085_g	47.74574	0.08247205	0.334999244	0.007511418	0.5381369
jgi|Aurli1|10086|gm1.10086_g	10.42779	0.001255821	0.041259895	0.555514	0.9996259
jgi|Aurli1|1009|gm1.1009_g	1415.153	0.0002686846	0.006945802	0.3688104	0.9996259
jgi|Aurli1|10091|gm1.10091_g	20.7915	-0.0004608236	0.031926532	0.7837444	0.9996259
jgi|Aurli1|100914|estExt_Genewise1Plus.C_1_t30199	980.6408	5.449059e-05	0.007450416	0.8587963	0.9996259
jgi|Aurli1|100935|estExt_Genewise1Plus.C_1_t30223	4388.427	6.578862e-05	0.006736652	0.8150929	0.9996259
jgi|Aurli1|10095|gm1.10095_g	110.593	-0.0002001796	0.007406341	0.5055844	0.9996259
