gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|10000|gm1.10000_g	10.97777	-0.5773338	0.63362812	0.004439063	0.05324548
jgi|Aurli1|100010|estExt_Genewise1.C_370027	921.2635	-0.1034471	0.10184679	0.16286	0.4071214
jgi|Aurli1|10003|gm1.10003_g	69.73847	0.0929296	0.11275441	0.2203659	0.4775879
jgi|Aurli1|10005|gm1.10005_g	15.50435	-0.07676582	0.23314373	0.2951885	0.5569162
jgi|Aurli1|10011|gm1.10011_g	383.5978	0.01746159	0.08592412	0.7988868	0.9054373
jgi|Aurli1|100140|estExt_Genewise1Plus.C_1_t10093	301.6642	0.01932327	0.08226895	0.7730794	0.8937849
jgi|Aurli1|10015|gm1.10015_g	486.7319	0.001634283	0.08813501	0.9811992	0.9910021
jgi|Aurli1|100167|estExt_Genewise1Plus.C_1_t10132	491.549	-0.03548007	0.0913775	0.6148245	0.8038459
jgi|Aurli1|100178|estExt_Genewise1Plus.C_1_t10143	299.555	0.01130993	0.12882327	0.8752696	0.9431335
jgi|Aurli1|100281|estExt_Genewise1Plus.C_1_t10299	340.6991	0.0073554	0.1020652	0.9196366	0.9604001
jgi|Aurli1|100312|estExt_Genewise1Plus.C_1_t10335	1672.705	0.05938092	0.13221171	0.4230128	0.6693228
jgi|Aurli1|10032|gm1.10032_g	464.0717	0.1169954	0.10429627	0.118811	0.3444938
jgi|Aurli1|10034|gm1.10034_g	18.3214	-0.03961272	0.16804937	0.5623806	0.7698583
jgi|Aurli1|100340|estExt_Genewise1Plus.C_1_t10373	256.2642	-0.00558367	0.09045457	0.936553	0.9695906
jgi|Aurli1|100463|estExt_Genewise1Plus.C_1_t20024	2362.702	0.003506433	0.09837049	0.9612887	0.9823077
jgi|Aurli1|10047|gm1.10047_g	692.8548	0.08349038	0.11706666	0.2709236	0.53496
jgi|Aurli1|10049|gm1.10049_g	8.418011	0.02706945	0.21449504	0.6744947	0.8373322
jgi|Aurli1|100505|estExt_Genewise1Plus.C_1_t20089	200.2229	0.003899515	0.18143023	0.9518189	0.9777254
jgi|Aurli1|100519|estExt_Genewise1Plus.C_1_t20106	280.9637	0.1336362	0.09226347	0.06171888	0.2405492
jgi|Aurli1|10054|gm1.10054_g	301.3836	0.04678809	0.1540193	0.5072094	0.7320622
jgi|Aurli1|100593|estExt_Genewise1Plus.C_1_t20195	119.6724	-0.05740235	0.12542396	0.4408236	0.6840844
jgi|Aurli1|100667|estExt_Genewise1Plus.C_1_t20291	224.6583	0.1393597	0.11215298	0.07180137	0.2608198
jgi|Aurli1|10067|gm1.10067_g	235.3326	0.1203937	0.11851846	0.1214942	0.3479858
jgi|Aurli1|100711|estExt_Genewise1Plus.C_1_t20349	5661.697	-0.07818761	0.11410955	0.2997588	0.5615096
jgi|Aurli1|100753|estExt_Genewise1Plus.C_1_t20402	78.03816	-0.04410567	0.14136315	0.5389228	0.7545827
jgi|Aurli1|10076|gm1.10076_g	1.237948	0.01517779	0.2729987	0.7776588	NA
jgi|Aurli1|10079|gm1.10079_g	0.6058528	0.008801016	0.30431543	0.8152619	NA
jgi|Aurli1|100846|estExt_Genewise1Plus.C_1_t30111	99.73665	0.03085593	0.11906944	0.6756278	0.8379899
jgi|Aurli1|10085|gm1.10085_g	47.74574	0.01782494	0.18628071	0.7836223	0.8991911
jgi|Aurli1|10086|gm1.10086_g	10.42779	-0.03023412	0.21092676	0.6420994	0.8195421
jgi|Aurli1|1009|gm1.1009_g	1415.153	0.1016052	0.09537025	0.1598562	0.4030051
jgi|Aurli1|10091|gm1.10091_g	20.7915	-0.08854949	0.24664523	0.2435315	0.5030024
jgi|Aurli1|100914|estExt_Genewise1Plus.C_1_t30199	980.6408	-0.03926674	0.11563355	0.5962218	0.7912955
jgi|Aurli1|100935|estExt_Genewise1Plus.C_1_t30223	4388.427	0.1612537	0.12516263	0.0461704	0.2054035
jgi|Aurli1|10095|gm1.10095_g	110.593	-0.1144171	0.11140623	0.1342564	0.3656968
jgi|Aurli1|10097|gm1.10097_g	76.27576	-0.1020537	0.196849	0.1934368	0.4461284
jgi|Aurli1|101003|estExt_Genewise1Plus.C_1_t30309	533.3474	-0.02535552	0.06641873	0.6642374	0.8317702
jgi|Aurli1|101067|estExt_Genewise1Plus.C_1_t30403	436.1844	-0.06321812	0.0842385	0.3521491	0.6107231
jgi|Aurli1|101078|estExt_Genewise1Plus.C_1_t30420	44.64501	-0.5004629	0.37304113	0.003011562	0.04284112
jgi|Aurli1|101160|estExt_Genewise1Plus.C_1_t40046	343.4467	0.1896161	0.10952024	0.01522682	0.1101741
jgi|Aurli1|101201|estExt_Genewise1Plus.C_1_t40087	96.76857	-0.0488821	0.13437786	0.5035249	0.7289502
jgi|Aurli1|10123|gm1.10123_g	75.54741	-0.1142272	0.21336038	0.159837	0.4030051
jgi|Aurli1|10125|gm1.10125_g	797.1763	0.2332989	0.11655687	0.004142241	0.05116896
jgi|Aurli1|10132|gm1.10132_g	113.7738	0.02213862	0.10559142	0.7630088	0.8868698
jgi|Aurli1|10133|gm1.10133_g	29.91073	-0.8797473	0.58078019	0.0009356938	0.02154665
jgi|Aurli1|10138|gm1.10138_g	420.5174	0.04985531	0.11609981	0.5029878	0.7286167
jgi|Aurli1|10139|gm1.10139_g	1.212851	-0.00229642	0.23577308	0.9697873	NA
jgi|Aurli1|10140|gm1.10140_g	67.63111	-0.2547246	0.21856472	0.01483867	0.1084357
jgi|Aurli1|101425|estExt_Genewise1Plus.C_1_t40372	440.2958	0.1862334	0.10199322	0.01379221	0.1040705
jgi|Aurli1|10143|gm1.10143_g	4.975496	-0.1059489	0.23455378	0.1854227	0.4362758
jgi|Aurli1|10147|gm1.10147_g	61.06747	-0.03201149	0.18321677	0.6301873	0.8130062
jgi|Aurli1|101509|estExt_Genewise1Plus.C_2_t10053	667.0993	-0.1170169	0.20079462	0.1505848	0.3887451
jgi|Aurli1|10161|gm1.10161_g	8.121614	-0.001972623	0.20870059	0.9750337	0.9885503
jgi|Aurli1|101622|estExt_Genewise1Plus.C_2_t10189	214.6176	-0.1285622	0.11197167	0.09499066	0.3049601
jgi|Aurli1|101653|estExt_Genewise1Plus.C_2_t10243	11722.15	0.07583537	0.21126643	0.3011148	0.5625324
jgi|Aurli1|10166|gm1.10166_g	177.0623	-0.0008195141	0.07118252	0.989337	0.9951668
jgi|Aurli1|10173|gm1.10173_g	155.7501	-0.09610283	0.27678759	0.2119986	0.4664756
jgi|Aurli1|101747|estExt_Genewise1Plus.C_2_t10359	843.6605	0.1407745	0.1239613	0.07690007	0.2702997
jgi|Aurli1|101750|estExt_Genewise1Plus.C_2_t10362	753.2235	0.06119597	0.06947199	0.3101356	0.5720443
jgi|Aurli1|10179|gm1.10179_g	1685.814	-0.1184176	0.10031611	0.1095355	0.3291146
jgi|Aurli1|101851|estExt_Genewise1Plus.C_2_t10495	70.1748	0.05411347	0.13695784	0.4598734	0.6986234
jgi|Aurli1|101858|estExt_Genewise1Plus.C_2_t20003	466.539	-0.1158454	0.11227878	0.130472	0.3611854
jgi|Aurli1|101936|estExt_Genewise1Plus.C_2_t20088	1187.342	-0.004851579	0.09834155	0.946454	0.9744538
jgi|Aurli1|10200|gm1.10200_g	9.075468	-0.09978009	0.2261062	0.2038039	0.4569081
jgi|Aurli1|102011|estExt_Genewise1Plus.C_2_t20186	195.6246	0.02857781	0.09379752	0.6881639	0.8452467
jgi|Aurli1|102023|estExt_Genewise1Plus.C_2_t20202	667.7552	-0.9089268	0.67975857	0.0009948606	0.02205403
jgi|Aurli1|10207|gm1.10207_g	186.5509	0.007590802	0.12673417	0.9164368	0.9595827
jgi|Aurli1|102094|estExt_Genewise1Plus.C_2_t20300	508.6121	-0.06982686	0.10980306	0.3500902	0.6092279
jgi|Aurli1|10212|gm1.10212_g	620.6769	0.07769088	0.11801643	0.3042253	0.5658917
jgi|Aurli1|10213|gm1.10213_g	7.229067	-0.01797496	0.18551005	0.7820165	0.8981439
jgi|Aurli1|10214|gm1.10214_g	670.7702	0.1800657	0.13227556	0.03048735	0.164921
jgi|Aurli1|102159|estExt_Genewise1Plus.C_2_t20392	48.40673	-0.009031342	0.12238272	0.9015198	0.9531422
jgi|Aurli1|10226|gm1.10226_g	1.599951	0.01822815	0.2403056	0.7654022	NA
jgi|Aurli1|102291|estExt_Genewise1Plus.C_2_t30046	152.501	0.0745349	0.13544992	0.3216606	0.5832667
jgi|Aurli1|10231|gm1.10231_g	1.164112	-0.03802962	0.30336432	0.4333751	NA
jgi|Aurli1|10233|gm1.10233_g	2600.018	0.07969565	0.13735189	0.291929	0.5535715
jgi|Aurli1|10234|gm1.10234_g	124.5873	0.1309195	0.13532789	0.1027787	0.317927
jgi|Aurli1|102414|estExt_Genewise1Plus.C_3_t10085	86.06547	-0.009003928	0.11745132	0.9024558	0.9532275
jgi|Aurli1|102422|estExt_Genewise1Plus.C_3_t10093	1346.719	-0.2305751	0.15302622	0.01090023	0.08929601
jgi|Aurli1|102428|estExt_Genewise1Plus.C_3_t10104	830.3295	-1.081806	0.41191825	8.999516e-05	0.005030553
jgi|Aurli1|10246|gm1.10246_g	594.7717	0.2084365	0.12790219	0.01277365	0.09895413
jgi|Aurli1|10248|gm1.10248_g	3.312232	-0.202955	0.3914335	0.05396718	0.2232169
jgi|Aurli1|10250|gm1.10250_g	353.7564	0.0007511068	0.0859248	0.9912544	0.9962166
jgi|Aurli1|10251|gm1.10251_g	14.00764	-0.03000096	0.23186058	0.6373572	0.8169865
