gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
jgi|Aurli1|10000|gm1.10000_g	10.97777	-2.586514	0.71957625	1.166308e-05	3.321112e-05
jgi|Aurli1|100010|estExt_Genewise1.C_370027	921.2635	-0.03648267	0.14496874	0.7981559	0.8395413
jgi|Aurli1|10003|gm1.10003_g	69.73847	-0.0831314	0.16947205	0.6160495	0.6781465
jgi|Aurli1|10005|gm1.10005_g	15.50435	0.5358167	0.53345175	0.2078834	0.2682891
jgi|Aurli1|10011|gm1.10011_g	383.5978	0.7209477	0.11946056	1.016858e-09	4.845761e-09
jgi|Aurli1|100140|estExt_Genewise1Plus.C_1_t10093	301.6642	-1.516753	0.11319041	4.851117e-42	2.597187e-40
jgi|Aurli1|10015|gm1.10015_g	486.7319	1.096999	0.12468421	4.333275e-19	5.186639e-18
jgi|Aurli1|100167|estExt_Genewise1Plus.C_1_t10132	491.549	-0.8526016	0.13073603	3.636312e-11	2.010682e-10
jgi|Aurli1|100178|estExt_Genewise1Plus.C_1_t10143	299.555	-0.1990838	0.24522385	0.3949294	0.4680058
jgi|Aurli1|100281|estExt_Genewise1Plus.C_1_t10299	340.6991	1.002456	0.15831234	9.333602e-11	4.932905e-10
jgi|Aurli1|100312|estExt_Genewise1Plus.C_1_t10335	1672.705	-1.070587	0.24615172	4.324194e-06	1.307663e-05
jgi|Aurli1|10032|gm1.10032_g	464.0717	-0.9576282	0.14811024	4.3015e-11	2.360017e-10
jgi|Aurli1|10034|gm1.10034_g	18.3214	-0.06480114	0.37494429	0.8468096	0.8793016
jgi|Aurli1|100340|estExt_Genewise1Plus.C_1_t10373	256.2642	0.3612296	0.12876061	0.004486103	0.008401175
jgi|Aurli1|100463|estExt_Genewise1Plus.C_1_t20024	2362.702	-0.4886766	0.14763492	0.0007584186	0.001629578
jgi|Aurli1|10047|gm1.10047_g	692.8548	-0.4624005	0.18545396	0.01040761	0.0181689
jgi|Aurli1|10049|gm1.10049_g	8.418011	-0.5555513	0.60146992	0.2208911	0.2830078
jgi|Aurli1|100505|estExt_Genewise1Plus.C_1_t20089	200.2229	-0.6585906	0.49678133	0.1063838	0.1483333
jgi|Aurli1|100519|estExt_Genewise1Plus.C_1_t20106	280.9637	-0.721109	0.12224002	2.335735e-09	1.070425e-08
jgi|Aurli1|10054|gm1.10054_g	301.3836	-0.6791731	0.33140094	0.02492638	0.04026777
