Sample	Reads passing filters
32701R1D4_1	40794508.0
32701R1D4_2	40794508.0
32701R3D4_1	26330742.0
32701R3D4_2	26330742.0
32701R4D4_1	28337627.0
32701R4D4_2	28337627.0
3270R1D3_1	30600495.0
3270R1D3_2	30600495.0
3270R1D4_1	30636245.0
3270R1D4_2	30636245.0
3270R3D3_1	26187474.0
3270R3D3_2	26187474.0
3270R3D4_1	29079172.0
3270R3D4_2	29079172.0
3270R4D3_1	23031876.0
3270R4D3_2	23031876.0
3270R4D4_1	21853082.0
3270R4D4_2	21853082.0
32G0R1D3_1	32298318.0
32G0R1D3_2	32298318.0
32G0R1D4_1	18149514.0
32G0R1D4_2	18149514.0
32G0R3D3_1	34295787.0
32G0R3D3_2	34295787.0
32G0R3D4_1	30752526.0
32G0R3D4_2	30752526.0
32G0R4D3_1	27308786.0
32G0R4D3_2	27308786.0
32G0R4D4_1	25012610.0
32G0R4D4_2	25012610.0
WT7005R1D3_1	27336253.0
WT7005R1D3_2	27336253.0
WT7005R1D4_1	39597747.0
WT7005R1D4_2	39597747.0
WT7005R3D3_1	38080974.0
WT7005R3D3_2	38080974.0
WT7005R3D4_1	37436132.0
WT7005R3D4_2	37436132.0
WT7005R4D3_1	20925838.0
WT7005R4D3_2	20925838.0
WT7005R4D4_1	23916546.0
WT7005R4D4_2	23916546.0
WT701R1D4_1	33527769.0
WT701R1D4_2	33527769.0
WT701R3D4_1	26000842.0
WT701R3D4_2	26000842.0
WT701R4D4_1	28734127.0
WT701R4D4_2	28734127.0
WT70R1D3_1	30018450.0
WT70R1D3_2	30018450.0
WT70R1D4_1	29379697.0
WT70R1D4_2	29379697.0
WT70R3D3_1	30383644.0
WT70R3D3_2	30383644.0
WT70R3D4_1	43918730.0
WT70R3D4_2	43918730.0
WT70R4D3_1	23759237.0
WT70R4D3_2	23759237.0
WT70R4D4_1	23479749.0
WT70R4D4_2	23479749.0
WTG0R1D3_1	32495859.0
WTG0R1D3_2	32495859.0
WTG0R1D4_1	28976387.0
WTG0R1D4_2	28976387.0
WTG0R3D3_1	36433622.0
WTG0R3D3_2	36433622.0
WTG0R3D4_1	32601806.0
WTG0R3D4_2	32601806.0
WTG0R4D3_1	27634880.0
WTG0R4D3_2	27634880.0
WTG0R4D4_1	31279314.0
WTG0R4D4_2	31279314.0
