Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
32701R1D4_1 - Adapter 1	5909456	1876965	734838	318989	256662	217324	213356	223695	208052	215764	218418	222572	224888	225739	234248	235137	240971	236161	214973	228813	227114	235536	237693	236180	239097	235092	241666	230077	241469	226027	222168	224823	224716	222634	226411	230470	203914	215927	206202	191403	201022	211687	155409	178434	282244	77776	167357	361380	168523	78123	242610	106773	64222	188405	213387	103533	115515	54899	137187	33312	31931	105262	67254	25056	56566	112359	17743	45552	42033	43236	3085	3999	15101	25976	30735	32063	30700	28500	26595	24523	22054	20332	18411	16938	15547	14189	13250	11879	10914	10016	9194	8447	7543	6494	5762	5164	4758	4290	3930	3586	3169	2871	2889	6737	2077	1745	1601	1455	1298	1124	953	799	715	667	552	595	536	695	492	443	450	237	258	255	130	192	111	111	139	146	106	105	105	92	98	105	104	250	163	208	527	181	194	160	258	1105	980	1526	17326	2629000
32701R1D4_2 - Adapter 1	5927505	1885638	736478	320608	257733	217857	221327	239840	185836	221315	213695	224697	221065	237884	223465	236684	268169	191656	273965	206689	206468	232327	234210	257189	287607	202723	207737	239626	228266	242439	210249	242228	228433	206302	222184	215305	215057	228949	215052	176897	177865	180905	176062	176866	177799	179172	160771	153812	152193	139551	137771	132080	125489	130745	115772	116110	131379	89959	95858	99998	83535	78910	112512	64640	61266	60144	67690	65119	54300	57811	54192	48696	66471	45286	29047	9411	19901	24979	24652	23109	20974	19512	18172	16536	15441	13772	12755	11428	10484	9722	8918	8222	7357	6322	5593	5021	4646	4258	3963	3642	3191	2825	2767	6579	2002	1720	1567	1403	1282	1105	920	784	696	648	545	588	499	647	470	400	441	233	232	222	122	156	92	113	115	136	76	88	91	74	103	82	86	219	132	168	420	116	117	61	56	886	167	79	252	37906
32701R3D4_1 - Adapter 1	4195300	1419194	515798	220519	168655	139933	136208	141635	131184	135770	135619	135781	135627	136283	136363	136644	138624	130333	123126	126185	124088	122789	124218	121587	120219	117197	116669	110122	109358	103611	99035	99819	97127	98478	94224	90490	84100	80783	78767	76459	73201	89397	48017	66197	103494	29251	59969	297095	55369	8709	80615	41140	8473	50490	47153	12829	12225	5035	22643	2494	5119	19929	5536	2815	10153	18578	1982	5924	6927	8533	877	645	2472	5233	7156	7708	7585	7138	6869	6212	5615	5193	4689	4142	3719	3510	3255	2907	2784	2449	2188	1998	1855	1595	1479	1301	1150	1149	995	895	831	1364	10875	214051	3541	1035	756	558	560	478	392	333	254	222	230	224	194	188	228	166	193	140	120	104	78	113	75	79	87	59	57	49	60	56	55	50	51	97	66	77	180	86	84	67	92	293	417	666	6980	1275190
32701R3D4_2 - Adapter 1	4174536	1427181	517387	219303	169074	140286	141481	153488	114886	138873	132903	136757	135298	141596	130444	137295	140265	122339	149859	116540	112341	121991	121804	130691	139193	101780	105194	112854	104917	107317	97450	103467	98947	91763	91806	93744	101436	76684	67794	71376	70946	69536	63923	64567	62877	61865	56736	52683	51487	46760	44809	42617	40371	40344	35538	35872	38754	27123	28390	28891	24722	22708	32479	18173	17435	16035	18934	17678	14610	15549	15235	13596	17813	11510	7933	3697	5415	6382	6502	6021	5473	5168	5246	4489	4457	3805	3348	2889	2759	2479	2162	2024	1852	1582	1435	1284	1177	1331	1557	2571	2174	2567	11784	203124	3395	1017	744	537	556	454	388	328	261	242	238	221	201	182	217	163	186	135	100	105	84	107	74	66	71	75	58	45	47	36	56	44	36	91	52	62	121	53	48	25	39	196	97	39	67	8222
32701R4D4_1 - Adapter 1	3274766	1052455	399875	174135	136114	112565	110734	114131	105877	109816	111202	112225	112390	114380	115084	115205	117518	109670	104712	108105	106093	106660	108717	107615	107149	105436	106075	99337	99000	94917	90074	91199	88530	89821	89975	83797	82134	77967	75807	72342	68783	65094	68127	61122	97126	27696	52216	84187	50891	29161	64993	35880	25514	44210	55480	33054	38951	23519	38426	14314	12484	30307	23481	10980	16493	36389	8302	15836	13104	12894	1283	1639	4647	6938	7896	8108	8000	7198	6642	6015	5374	5120	4706	4189	3959	4071	3527	3460	3104	2831	2631	2437	2227	1954	1766	1598	1528	1505	1331	1229	1143	1091	1192	3266	844	747	744	713	639	601	511	449	365	379	295	392	328	516	381	302	393	198	252	176	141	131	82	117	73	113	92	100	165	75	113	88	116	434	211	260	868	324	415	319	483	2334	2317	3646	40101	8688530
32701R4D4_2 - Adapter 1	3321804	1059917	403744	172927	136306	112556	114672	122036	94660	112280	109129	113485	111569	119011	110982	115048	129666	92144	129486	98692	95310	106288	105781	121992	124624	90279	90559	103512	93814	103489	83047	101295	87482	82282	88173	82157	82239	84991	79656	63951	64154	64692	62388	61924	61164	61183	53527	52130	49920	45069	43586	41157	38411	38868	34782	34897	37689	26416	27363	27734	23207	21483	29975	17456	16446	15898	18244	17324	14225	16645	20776	14759	17264	11546	7574	2270	5030	6282	6160	5695	5161	4954	4690	4139	3926	3670	3317	3298	2928	2654	2482	2357	2165	1909	1725	1554	1493	1502	1358	1269	1144	1081	1185	3204	827	734	734	687	598	587	506	420	352	373	288	380	329	487	351	250	356	181	227	138	97	109	78	106	61	91	62	78	127	52	89	51	62	289	134	202	572	162	204	99	81	1744	208	95	382	52371
3270R1D3_1 - Adapter 1	3670074	1217132	479409	219768	176020	150767	148471	150944	140794	145639	148847	150763	154136	157622	162028	163249	167881	157122	149226	154356	152256	155589	158576	162284	164956	162480	164111	155635	157725	150488	143304	149490	147727	152540	152444	145982	148013	142872	132546	132829	122958	124196	128136	115670	187092	50970	103801	117730	100275	83934	98741	83673	73798	78843	85421	69672	79098	68170	62393	51406	39657	54316	54948	37634	34257	67108	37343	50783	30638	24408	2910	3960	11713	15066	16065	15590	14878	13682	12628	11178	9835	9056	8107	7312	6360	5924	5383	4908	4566	4138	3594	3263	2817	2518	2257	1868	1679	1509	1439	1295	1109	951	949	2392	658	545	507	457	447	414	363	303	256	251	239	239	219	222	224	187	187	142	153	132	100	119	88	101	71	92	69	90	81	89	91	83	97	300	152	178	575	188	236	216	369	1051	1548	2496	27392	5983059
3270R1D3_2 - Adapter 1	3668972	1221563	480729	219483	177089	150459	154073	161125	126697	147970	146932	152387	152464	166664	154058	162468	183587	133601	174569	142400	145153	154673	155539	167719	194140	135508	157822	156077	155005	152651	143365	152305	144507	155653	157036	143107	146391	140962	145558	125329	111895	122136	116508	119203	119768	120442	109193	104794	100078	92437	88953	85309	79625	81470	73484	73833	78774	58072	58952	58439	50009	45685	62386	36698	35055	32649	37105	35732	28807	30415	31326	26505	33717	22523	14032	3992	9428	11792	11580	10532	9374	8673	7935	7150	6322	5722	5178	4719	4396	3992	3449	3154	2769	2460	2196	1807	1652	1522	1445	1353	1096	928	897	2341	661	532	481	435	425	388	343	312	249	236	232	235	206	206	205	171	168	136	140	117	90	115	79	92	71	79	65	68	66	66	76	62	71	205	98	118	374	92	115	54	64	662	116	82	241	35995
3270R1D4_1 - Adapter 1	3740790	1226689	466972	204331	160307	134702	131328	133201	123026	125599	127975	129570	132035	134979	136843	138232	139613	129386	121576	122935	121591	124475	125945	126467	126312	124524	126259	116427	119047	108079	101810	104372	101795	104558	102140	98358	96601	91787	84273	81873	75325	73797	77110	67464	108508	30079	60343	67610	56563	46810	54065	45326	42469	43417	47580	38172	43894	36725	34511	28063	22664	30382	30714	20946	18771	39840	21811	29618	17975	14057	2115	3029	7395	8955	9443	9138	8890	7847	7506	6513	5913	5413	4826	4376	4144	3946	3421	3178	2884	2806	2434	2094	1864	1625	1402	1318	1205	1145	1014	828	865	735	718	3685	508	489	427	385	366	336	264	275	201	239	215	276	189	276	327	227	257	148	217	186	93	110	81	114	98	139	73	109	97	88	119	98	215	516	343	194	1162	220	321	305	436	1208	2135	3464	38124	7974517
3270R1D4_2 - Adapter 1	3726797	1232854	469437	205487	161670	134712	135956	143718	109337	128331	125845	130657	130884	141230	131448	138039	154238	108580	148440	112055	110320	123410	123874	136185	146058	108081	114558	119267	114331	110468	101306	106211	105275	100399	100126	104075	110121	83944	75543	76855	75534	73206	69264	70338	70374	68705	64743	59473	56971	51709	49150	47044	44414	45187	40177	40719	44388	31231	32528	32752	27080	25216	35231	20060	18999	18283	21405	20090	16643	17966	20617	17942	20268	13139	8247	2447	5593	6823	6914	6153	5654	5189	4776	4294	4113	3662	3269	3048	2707	2582	2314	2056	1818	1598	1369	1287	1199	1132	1025	877	902	724	726	3538	510	481	405	382	362	319	275	272	214	233	214	260	168	280	299	215	229	135	199	161	90	102	76	99	85	108	69	84	67	56	103	72	93	323	186	112	672	102	161	76	77	661	99	78	334	50931
