Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
32701R1D4_1 - Adapter 1	0.5794364280603653	0.7361637848670457	1.152842217823199	2.0017696504940274	6.442578015181333	21.82055504237118	85.68858187075786	359.34939759036143	1337.095115681234	5546.632390745502	22517.319587628866	92738.33333333334	374813.3333333334	376231.6666666667	390413.3333333334	391895.0	401618.3333333334	393601.6666666667	358288.3333333334	381355.0	378523.3333333334	392560.0	396155.0	393633.3333333334	398495.0	391820.0	402776.6666666667	383461.6666666667	402448.3333333334	376711.6666666667	370280.0	374705.0	374526.6666666667	371056.6666666667	377351.6666666667	384116.6666666667	339856.6666666667	359878.3333333334	343670.0	319005.0	335036.6666666667	352811.6666666667	259015.0	297390.0	470406.6666666667	129626.66666666667	278928.3333333334	602300.0	280871.6666666667	130205.0	404350.0	177955.0	107036.66666666667	314008.3333333334	355645.0	172555.0	192525.0	91498.33333333334	228645.0	55520.0	53218.333333333336	175436.6666666667	112090.0	41760.0	94276.66666666667	187265.0	29571.666666666668	75920.0	70055.0	72060.0	5141.666666666667	6665.0	25168.333333333336	43293.333333333336	51225.0	53438.333333333336	51166.66666666667	47500.0	44325.0	40871.66666666667	36756.66666666667	33886.66666666667	30685.0	28230.0	25911.666666666668	23648.333333333336	22083.333333333336	19798.333333333336	18190.0	16693.333333333336	15323.333333333334	14078.333333333334	12571.666666666668	10823.333333333334	9603.333333333334	8606.666666666668	7930.0	7150.0	6550.0	5976.666666666667	5281.666666666667	4785.0	4815.0	11228.333333333334	3461.666666666667	2908.3333333333335	2668.3333333333335	2425.0	2163.3333333333335	1873.3333333333335	1588.3333333333335	1331.6666666666667	1191.6666666666667	1111.6666666666667	920.0	991.6666666666667	893.3333333333334	1158.3333333333335	820.0	738.3333333333334	750.0	395.0	430.0	425.0	216.66666666666669	320.0	185.0	185.0	231.66666666666669	243.33333333333334	176.66666666666669	175.0	175.0	153.33333333333334	163.33333333333334	175.0	173.33333333333334	416.6666666666667	271.6666666666667	346.6666666666667	878.3333333333334	301.6666666666667	323.33333333333337	266.6666666666667	430.0	1841.6666666666667	1633.3333333333335	2543.3333333333335	28876.666666666668	4381666.666666667
32701R1D4_2 - Adapter 1	0.5812061760862516	0.7395654191575902	1.155415113124245	2.0119294524437805	6.4694616249648575	21.87407124784128	88.88991525764087	385.285140562249	1194.3187660668382	5689.331619537275	22030.41237113402	93623.75	368441.6666666667	396473.3333333334	372441.6666666667	394473.3333333334	446948.3333333334	319426.6666666667	456608.3333333334	344481.6666666667	344113.3333333334	387211.6666666667	390350.0	428648.3333333334	479345.0	337871.6666666667	346228.3333333334	399376.6666666667	380443.3333333334	404065.0	350415.0	403713.3333333334	380721.6666666667	343836.6666666667	370306.6666666667	358841.6666666667	358428.3333333334	381581.6666666667	358420.0	294828.3333333334	296441.6666666667	301508.3333333334	293436.6666666667	294776.6666666667	296331.6666666667	298620.0	267951.6666666667	256353.33333333334	253655.0	232585.0	229618.33333333334	220133.33333333334	209148.33333333334	217908.33333333334	192953.33333333334	193516.6666666667	218965.0	149931.6666666667	159763.33333333334	166663.33333333334	139225.0	131516.6666666667	187520.0	107733.33333333334	102110.0	100240.0	112816.66666666667	108531.66666666667	90500.0	96351.66666666667	90320.0	81160.0	110785.0	75476.66666666667	48411.66666666667	15685.0	33168.333333333336	41631.66666666667	41086.66666666667	38515.0	34956.66666666667	32520.0	30286.666666666668	27560.0	25735.0	22953.333333333336	21258.333333333336	19046.666666666668	17473.333333333336	16203.333333333334	14863.333333333334	13703.333333333334	12261.666666666668	10536.666666666668	9321.666666666668	8368.333333333334	7743.333333333334	7096.666666666667	6605.0	6070.0	5318.333333333334	4708.333333333334	4611.666666666667	10965.0	3336.666666666667	2866.666666666667	2611.666666666667	2338.3333333333335	2136.666666666667	1841.6666666666667	1533.3333333333335	1306.6666666666667	1160.0	1080.0	908.3333333333334	980.0	831.6666666666667	1078.3333333333335	783.3333333333334	666.6666666666667	735.0	388.33333333333337	386.6666666666667	370.0	203.33333333333334	260.0	153.33333333333334	188.33333333333334	191.66666666666669	226.66666666666669	126.66666666666667	146.66666666666669	151.66666666666669	123.33333333333334	171.66666666666669	136.66666666666669	143.33333333333334	365.0	220.0	280.0	700.0	193.33333333333334	195.0	101.66666666666667	93.33333333333334	1476.6666666666667	278.33333333333337	131.66666666666669	420.0	63176.66666666667
32701R3D4_1 - Adapter 1	0.6373234753505997	0.8623799380605387	1.2537085172299303	2.1439898108493067	6.558980461701201	21.767936033849793	84.75390454856574	352.5012444001991	1306.613545816733	5409.163346613545	21526.825396825396	84863.125	339067.5	340707.5	340907.5	341610.0	346560.0	325832.5	307815.0	315462.5	310220.0	306972.5	310545.0	303967.5	300547.5	292992.5	291672.5	275305.0	273395.0	259027.5	247587.5	249547.5	242817.5	246195.0	235560.0	226225.0	210250.0	201957.5	196917.5	191147.5	183002.5	223492.5	120042.5	165492.5	258735.0	73127.5	149922.5	742737.5	138422.5	21772.5	201537.5	102850.0	21182.5	126225.0	117882.5	32072.5	30562.5	12587.5	56607.5	6235.0	12797.5	49822.5	13840.0	7037.5	25382.5	46445.0	4955.0	14810.0	17317.5	21332.5	2192.5	1612.5	6180.0	13082.5	17890.0	19270.0	18962.5	17845.0	17172.5	15530.0	14037.5	12982.5	11722.5	10355.0	9297.5	8775.0	8137.5	7267.5	6960.0	6122.5	5470.0	4995.0	4637.5	3987.5	3697.5	3252.5	2875.0	2872.5	2487.5	2237.5	2077.5	3410.0	27187.5	535127.5	8852.5	2587.5	1890.0	1395.0	1400.0	1195.0	980.0	832.5	635.0	555.0	575.0	560.0	485.0	470.0	570.0	415.0	482.5	350.0	300.0	260.0	195.0	282.5	187.5	197.5	217.5	147.5	142.5	122.5	150.0	140.0	137.5	125.0	127.5	242.5	165.0	192.5	450.0	215.0	210.0	167.5	230.0	732.5	1042.5	1665.0	17450.0	3187975.0
32701R3D4_2 - Adapter 1	0.6341691396315379	0.8672332763393713	1.2575707711236608	2.132167284853847	6.575275340675752	21.822848609296248	88.03496982141746	382.0009955201593	1144.2828685258964	5532.788844621514	21095.714285714286	85473.125	338245.0	353990.0	326110.0	343237.5	350662.5	305847.5	374647.5	291350.0	280852.5	304977.5	304510.0	326727.5	347982.5	254450.0	262985.0	282135.0	262292.5	268292.5	243625.0	258667.5	247367.5	229407.5	229515.0	234360.0	253590.0	191710.0	169485.0	178440.0	177365.0	173840.0	159807.5	161417.5	157192.5	154662.5	141840.0	131707.5	128717.5	116900.0	112022.5	106542.5	100927.5	100860.0	88845.0	89680.0	96885.0	67807.5	70975.0	72227.5	61805.0	56770.0	81197.5	45432.5	43587.5	40087.5	47335.0	44195.0	36525.0	38872.5	38087.5	33990.0	44532.5	28775.0	19832.5	9242.5	13537.5	15955.0	16255.0	15052.5	13682.5	12920.0	13115.0	11222.5	11142.5	9512.5	8370.0	7222.5	6897.5	6197.5	5405.0	5060.0	4630.0	3955.0	3587.5	3210.0	2942.5	3327.5	3892.5	6427.5	5435.0	6417.5	29460.0	507810.0	8487.5	2542.5	1860.0	1342.5	1390.0	1135.0	970.0	820.0	652.5	605.0	595.0	552.5	502.5	455.0	542.5	407.5	465.0	337.5	250.0	262.5	210.0	267.5	185.0	165.0	177.5	187.5	145.0	112.5	117.5	90.0	140.0	110.0	90.0	227.5	130.0	155.0	302.5	132.5	120.0	62.5	97.5	490.0	242.5	97.5	167.5	20555.0
32701R4D4_1 - Adapter 1	0.4622498527329063	0.594237473771269	0.9031102450587815	1.5731219154804377	4.918568305418542	16.27038043478261	64.02289546716004	263.9477335800185	979.4357076780759	4067.259259259259	16353.235294117647	66014.70588235294	280975.0	285950.0	287710.0	288012.5	293795.0	274175.0	261780.0	270262.5	265232.5	266650.0	271792.5	269037.5	267872.5	263590.0	265187.5	248342.5	247500.0	237292.5	225185.0	227997.5	221325.0	224552.5	224937.5	209492.5	205335.0	194917.5	189517.5	180855.0	171957.5	162735.0	170317.5	152805.0	242815.0	69240.0	130540.0	210467.5	127227.5	72902.5	162482.5	89700.0	63785.0	110525.0	138700.0	82635.0	97377.5	58797.5	96065.0	35785.0	31210.0	75767.5	58702.5	27450.0	41232.5	90972.5	20755.0	39590.0	32760.0	32235.0	3207.5	4097.5	11617.5	17345.0	19740.0	20270.0	20000.0	17995.0	16605.0	15037.5	13435.0	12800.0	11765.0	10472.5	9897.5	10177.5	8817.5	8650.0	7760.0	7077.5	6577.5	6092.5	5567.5	4885.0	4415.0	3995.0	3820.0	3762.5	3327.5	3072.5	2857.5	2727.5	2980.0	8165.0	2110.0	1867.5	1860.0	1782.5	1597.5	1502.5	1277.5	1122.5	912.5	947.5	737.5	980.0	820.0	1290.0	952.5	755.0	982.5	495.0	630.0	440.0	352.5	327.5	205.0	292.5	182.5	282.5	230.0	250.0	412.5	187.5	282.5	220.0	290.0	1085.0	527.5	650.0	2170.0	810.0	1037.5	797.5	1207.5	5835.0	5792.5	9115.0	100252.5	21721325.0
32701R4D4_2 - Adapter 1	0.46888950532880186	0.598450670562848	0.9118483095492658	1.5622089383425826	4.925506350841057	16.269079555966698	66.29972247918595	282.22941720629046	875.6706753006476	4158.518518518518	16048.382352941177	66755.88235294117	278922.5	297527.5	277455.0	287620.0	324165.0	230360.0	323715.0	246730.0	238275.0	265720.0	264452.5	304980.0	311560.0	225697.5	226397.5	258780.0	234535.0	258722.5	207617.5	253237.5	218705.0	205705.0	220432.5	205392.5	205597.5	212477.5	199140.0	159877.5	160385.0	161730.0	155970.0	154810.0	152910.0	152957.5	133817.5	130325.0	124800.0	112672.5	108965.0	102892.5	96027.5	97170.0	86955.0	87242.5	94222.5	66040.0	68407.5	69335.0	58017.5	53707.5	74937.5	43640.0	41115.0	39745.0	45610.0	43310.0	35562.5	41612.5	51940.0	36897.5	43160.0	28865.0	18935.0	5675.0	12575.0	15705.0	15400.0	14237.5	12902.5	12385.0	11725.0	10347.5	9815.0	9175.0	8292.5	8245.0	7320.0	6635.0	6205.0	5892.5	5412.5	4772.5	4312.5	3885.0	3732.5	3755.0	3395.0	3172.5	2860.0	2702.5	2962.5	8010.0	2067.5	1835.0	1835.0	1717.5	1495.0	1467.5	1265.0	1050.0	880.0	932.5	720.0	950.0	822.5	1217.5	877.5	625.0	890.0	452.5	567.5	345.0	242.5	272.5	195.0	265.0	152.5	227.5	155.0	195.0	317.5	130.0	222.5	127.5	155.0	722.5	335.0	505.0	1430.0	405.0	510.0	247.5	202.5	4360.0	520.0	237.5	955.0	130927.5
3270R1D3_1 - Adapter 1	0.47974047165092937	0.6363986066839495	1.002669342632286	1.8385519671522221	5.890246391797425	20.180837393585694	79.49403009048562	323.28978367958877	1206.4610111396744	4987.63698630137	20390.0	83757.22222222222	308272.0	315244.0	324056.0	326498.0	335762.0	314244.0	298452.0	308712.0	304512.0	311178.0	317152.0	324568.0	329912.0	324960.0	328222.0	311270.0	315450.0	300976.0	286608.0	298980.0	295454.0	305080.0	304888.0	291964.0	296026.0	285744.0	265092.0	265658.0	245916.0	248392.0	256272.0	231340.0	374184.0	101940.0	207602.0	235460.0	200550.0	167868.0	197482.0	167346.0	147596.0	157686.0	170842.0	139344.0	158196.0	136340.0	124786.0	102812.0	79314.0	108632.0	109896.0	75268.0	68514.0	134216.0	74686.0	101566.0	61276.0	48816.0	5820.0	7920.0	23426.0	30132.0	32130.0	31180.0	29756.0	27364.0	25256.0	22356.0	19670.0	18112.0	16214.0	14624.0	12720.0	11848.0	10766.0	9816.0	9132.0	8276.0	7188.0	6526.0	5634.0	5036.0	4514.0	3736.0	3358.0	3018.0	2878.0	2590.0	2218.0	1902.0	1898.0	4784.0	1316.0	1090.0	1014.0	914.0	894.0	828.0	726.0	606.0	512.0	502.0	478.0	478.0	438.0	444.0	448.0	374.0	374.0	284.0	306.0	264.0	200.0	238.0	176.0	202.0	142.0	184.0	138.0	180.0	162.0	178.0	182.0	166.0	194.0	600.0	304.0	356.0	1150.0	376.0	472.0	432.0	738.0	2102.0	3096.0	4992.0	54784.0	11966118.0
3270R1D3_2 - Adapter 1	0.47959642169450906	0.638715431996419	1.005430082485469	1.8361676923231371	5.926018880110296	20.13961021577341	82.4934411308026	345.0953094881131	1085.6640959725792	5067.465753424658	20127.671232876713	84659.44444444444	304928.0	333328.0	308116.0	324936.0	367174.0	267202.0	349138.0	284800.0	290306.0	309346.0	311078.0	335438.0	388280.0	271016.0	315644.0	312154.0	310010.0	305302.0	286730.0	304610.0	289014.0	311306.0	314072.0	286214.0	292782.0	281924.0	291116.0	250658.0	223790.0	244272.0	233016.0	238406.0	239536.0	240884.0	218386.0	209588.0	200156.0	184874.0	177906.0	170618.0	159250.0	162940.0	146968.0	147666.0	157548.0	116144.0	117904.0	116878.0	100018.0	91370.0	124772.0	73396.0	70110.0	65298.0	74210.0	71464.0	57614.0	60830.0	62652.0	53010.0	67434.0	45046.0	28064.0	7984.0	18856.0	23584.0	23160.0	21064.0	18748.0	17346.0	15870.0	14300.0	12644.0	11444.0	10356.0	9438.0	8792.0	7984.0	6898.0	6308.0	5538.0	4920.0	4392.0	3614.0	3304.0	3044.0	2890.0	2706.0	2192.0	1856.0	1794.0	4682.0	1322.0	1064.0	962.0	870.0	850.0	776.0	686.0	624.0	498.0	472.0	464.0	470.0	412.0	412.0	410.0	342.0	336.0	272.0	280.0	234.0	180.0	230.0	158.0	184.0	142.0	158.0	130.0	136.0	132.0	132.0	152.0	124.0	142.0	410.0	196.0	236.0	748.0	184.0	230.0	108.0	128.0	1324.0	232.0	164.0	482.0	71990.0
3270R1D4_1 - Adapter 1	0.4884136452650359	0.6406471853234441	0.9755180426299789	1.7074138818511808	5.358176628273092	18.00925183164875	70.23263276111021	284.92192513368985	1052.40376390077	4301.335616438356	17530.821917808218	71983.33333333333	264070.0	269958.0	273686.0	276464.0	279226.0	258772.0	243152.0	245870.0	243182.0	248950.0	251890.0	252934.0	252624.0	249048.0	252518.0	232854.0	238094.0	216158.0	203620.0	208744.0	203590.0	209116.0	204280.0	196716.0	193202.0	183574.0	168546.0	163746.0	150650.0	147594.0	154220.0	134928.0	217016.0	60158.0	120686.0	135220.0	113126.0	93620.0	108130.0	90652.0	84938.0	86834.0	95160.0	76344.0	87788.0	73450.0	69022.0	56126.0	45328.0	60764.0	61428.0	41892.0	37542.0	79680.0	43622.0	59236.0	35950.0	28114.0	4230.0	6058.0	14790.0	17910.0	18886.0	18276.0	17780.0	15694.0	15012.0	13026.0	11826.0	10826.0	9652.0	8752.0	8288.0	7892.0	6842.0	6356.0	5768.0	5612.0	4868.0	4188.0	3728.0	3250.0	2804.0	2636.0	2410.0	2290.0	2028.0	1656.0	1730.0	1470.0	1436.0	7370.0	1016.0	978.0	854.0	770.0	732.0	672.0	528.0	550.0	402.0	478.0	430.0	552.0	378.0	552.0	654.0	454.0	514.0	296.0	434.0	372.0	186.0	220.0	162.0	228.0	196.0	278.0	146.0	218.0	194.0	176.0	238.0	196.0	430.0	1032.0	686.0	388.0	2324.0	440.0	642.0	610.0	872.0	2416.0	4270.0	6928.0	76248.0	15949034.0
3270R1D4_2 - Adapter 1	0.48658665894979397	0.6438669010765967	0.9806674990750824	1.7170735538902742	5.40373418186923	18.010588801540187	72.70763142414033	307.41818181818184	935.3036783575706	4394.897260273972	17239.04109589041	72587.22222222222	261768.0	282460.0	262896.0	276078.0	308476.0	217160.0	296880.0	224110.0	220640.0	246820.0	247748.0	272370.0	292116.0	216162.0	229116.0	238534.0	228662.0	220936.0	202612.0	212422.0	210550.0	200798.0	200252.0	208150.0	220242.0	167888.0	151086.0	153710.0	151068.0	146412.0	138528.0	140676.0	140748.0	137410.0	129486.0	118946.0	113942.0	103418.0	98300.0	94088.0	88828.0	90374.0	80354.0	81438.0	88776.0	62462.0	65056.0	65504.0	54160.0	50432.0	70462.0	40120.0	37998.0	36566.0	42810.0	40180.0	33286.0	35932.0	41234.0	35884.0	40536.0	26278.0	16494.0	4894.0	11186.0	13646.0	13828.0	12306.0	11308.0	10378.0	9552.0	8588.0	8226.0	7324.0	6538.0	6096.0	5414.0	5164.0	4628.0	4112.0	3636.0	3196.0	2738.0	2574.0	2398.0	2264.0	2050.0	1754.0	1804.0	1448.0	1452.0	7076.0	1020.0	962.0	810.0	764.0	724.0	638.0	550.0	544.0	428.0	466.0	428.0	520.0	336.0	560.0	598.0	430.0	458.0	270.0	398.0	322.0	180.0	204.0	152.0	198.0	170.0	216.0	138.0	168.0	134.0	112.0	206.0	144.0	186.0	646.0	372.0	224.0	1344.0	204.0	322.0	152.0	154.0	1322.0	198.0	156.0	668.0	101862.0
