Sample	Top over-represented sequence	Sum of remaining over-represented sequences
32701R1D4_1	0.2878953225817367	0.0
32701R1D4_2	0.21351014465670362	0.2408671648132847
32701R3D4_1	0.0	0.0
32701R3D4_2	0.0	0.0
32701R4D4_1	0.4986246746765273	0.12965201397407106
32701R4D4_2	0.47652756841206406	0.5421857908152521
3270R1D3_1	0.0	0.0
3270R1D3_2	0.30975492044113334	0.0
3270R1D4_1	0.0	0.0
3270R1D4_2	0.4563569014525642	0.0
3270R3D3_1	0.0	0.0
3270R3D3_2	0.23016420597754425	0.0
3270R3D4_1	0.0	0.0
3270R3D4_2	0.6062146883701272	0.0
3270R4D3_1	0.0	0.0
3270R4D3_2	0.9686444622546065	0.0
3270R4D4_1	0.0	0.0
3270R4D4_2	1.0081972767330452	0.0
32G0R1D3_1	0.0	0.0
32G0R1D3_2	0.14657685966750378	0.0
32G0R1D4_1	0.7714974185425546	4.079580544187252
32G0R1D4_2	2.4472586349364294	3.3001714420201003
32G0R3D3_1	0.0	0.0
32G0R3D3_2	0.0	0.0
32G0R3D4_1	0.0	0.0
32G0R3D4_2	0.0	0.0
32G0R4D3_1	0.0	0.0
32G0R4D3_2	0.0	0.0
32G0R4D4_1	0.0	0.0
32G0R4D4_2	0.21262284534234657	0.0
WT7005R1D3_1	0.10842028041652485	0.0
WT7005R1D3_2	0.10782826101489579	0.10106232499627776
WT7005R1D4_1	0.20018051483043633	0.12490255892580812
WT7005R1D4_2	1.18239991720145	0.15481003710193963
WT7005R3D3_1	0.0	0.0
WT7005R3D3_2	0.0	0.0
WT7005R3D4_1	0.11975921828397322	0.0
WT7005R3D4_2	0.0	0.0
WT7005R4D3_1	0.5575514039348621	0.9201387706772828
WT7005R4D3_2	2.8120249530223442	1.1212483564585791
WT7005R4D4_1	0.0	0.0
WT7005R4D4_2	0.3357669541426565	0.0
WT701R1D4_1	0.5498712060417973	0.4293247939331468
WT701R1D4_2	0.42480715073319003	0.5531170757358839
WT701R3D4_1	0.0	0.0
WT701R3D4_2	0.10095167345172786	0.0
WT701R4D4_1	0.48776903153872037	0.1508352378687406
WT701R4D4_2	0.6183756994306788	0.5446920344940533
WT70R1D3_1	0.0	0.0
WT70R1D3_2	0.0	0.0
WT70R1D4_1	0.0	0.0
WT70R1D4_2	0.23919568639965333	0.0
WT70R3D3_1	0.0	0.0
WT70R3D3_2	0.14501248842756304	0.0
WT70R3D4_1	0.0	0.0
WT70R3D4_2	0.4779631426940067	0.0
WT70R4D3_1	0.0	0.0
WT70R4D3_2	1.0844227759750462	0.10318109591863922
WT70R4D4_1	0.20494016933300022	0.0
WT70R4D4_2	0.5668996990570719	0.16433267577538035
WTG0R1D3_1	0.0	0.0
WTG0R1D3_2	0.0	0.0
WTG0R1D4_1	0.10219909191936298	0.0
WTG0R1D4_2	0.15426754930284717	0.0
WTG0R3D3_1	0.0	0.0
WTG0R3D3_2	0.0	0.0
WTG0R3D4_1	0.0	0.0
WTG0R3D4_2	0.10419179719074248	0.0
WTG0R4D3_1	0.0	0.0
WTG0R4D3_2	0.0	0.0
WTG0R4D4_1	0.0	0.0
WTG0R4D4_2	0.10272843154716718	0.0
