Sample	Top over-represented sequence	Sum of remaining over-represented sequences
32701R1D4_1	5.2872827881635445	0.9067225421618028
32701R1D4_2	1.5762366836241781	0.9627766561126323
32701R3D4_1	2.1833984017617127	2.0991888492925876
32701R3D4_2	1.1578215304376913	0.41657770221591184
32701R4D4_1	25.67330002614545	3.645308762092185
32701R4D4_2	7.460945830079561	7.129249036978294
3270R1D3_1	17.300576346885894	1.2514601479485883
3270R1D3_2	4.4678427587527585	3.7029727787083173
3270R1D4_1	23.159434193061195	1.6189288210745154
3270R1D4_2	6.4974346562380605	6.141173632734691
3270R3D3_1	6.790903162328677	6.993866609662312
3270R3D3_2	2.932592887729454	2.13830474829302
3270R3D4_1	16.752364888518834	18.016152591965138
3270R3D4_2	7.45024652008661	8.236121716257946
3270R4D3_1	33.811396865804596	12.103169537731098
3270R4D3_2	10.35314709058003	11.611273002685497
3270R4D4_1	35.344753659918545	12.48389586420808
3270R4D4_2	12.162957151764681	13.521566431682261
32G0R1D3_1	9.948502581465696	0.7202139752292975
32G0R1D3_2	2.5429373752527917	1.3228428799295364
32G0R1D4_1	58.70113657037869	5.118721085313908
32G0R1D4_2	18.20994215051709	19.433671887853304
32G0R3D3_1	1.3437860457904056	0.0
32G0R3D3_2	0.37355900303439604	0.0
32G0R3D4_1	2.7428803734691583	0.22408240545833547
32G0R3D4_2	0.8274279647792185	0.1310981738540763
32G0R4D3_1	3.729177122703294	1.0731015285703296
32G0R4D3_2	1.166185124450424	0.29810186362733204
32G0R4D4_1	12.06558212037848	4.126090799800579
32G0R4D4_2	4.362495557240928	3.420742577443936
WT7005R1D3_1	4.1749906250867665	0.3867391774578621
WT7005R1D3_2	1.1843137389751257	0.5890968304983126
WT7005R1D4_1	44.72778968965078	3.5940479138876285
WT7005R1D4_2	24.71342119540286	11.559513726879466
WT7005R3D3_1	1.4066735793049832	1.3479487158075316
WT7005R3D3_2	1.5707870287141288	0.0
WT7005R3D4_1	0.7366706581759034	0.5454463083953226
WT7005R3D4_2	0.228741580460289	0.0
WT7005R4D3_1	50.82417726831299	18.373916495004885
WT7005R4D3_2	16.145752442506723	22.15766938461437
WT7005R4D4_1	14.085181865307808	4.926062484106195
WT7005R4D4_2	9.394977017166275	3.267879902056091
WT701R1D4_1	4.625974367695029	1.5158360223729774
WT701R1D4_2	1.16772159817732	1.1438607800000051
WT701R3D4_1	2.323328606050527	2.299056315176254
WT701R3D4_2	1.0742113659242265	0.26002234850702144
WT701R4D4_1	29.138623212739333	4.217396268903514
WT701R4D4_2	7.039907633177789	7.749081780003269
WT70R1D3_1	2.7728413692245937	0.20540700802339895
WT70R1D3_2	1.6924458124919841	0.0
WT70R1D4_1	12.017605219005493	0.46216950433491455
WT70R1D4_2	2.0126586057031153	1.6937615115635811
WT70R3D3_1	5.790375242679911	0.6599735041655963
WT70R3D3_2	1.553164590791019	0.8171172621690803
WT70R3D4_1	22.323537133245882	2.8218302305189624
WT70R3D4_2	12.270181765274177	5.688848470800497
WT70R4D3_1	33.890688493069035	12.301990169128743
WT70R4D3_2	24.809879206137804	9.856798010811541
WT70R4D4_1	23.148079649403407	6.436303897456487
WT70R4D4_2	4.211923219451792	5.85474742511089
WTG0R1D3_1	1.6104051903967211	0.11575936490861816
WTG0R1D3_2	0.4407946255552131	0.0
WTG0R1D4_1	4.8946509445777355	0.5075822599967346
WTG0R1D4_2	2.6124133419394213	0.5781328086210333
WTG0R3D3_1	1.8173350977841292	0.0
WTG0R3D3_2	1.1328821493509484	0.0
WTG0R3D4_1	4.021108523865212	0.23654517789597307
WTG0R3D4_2	0.6448109040339667	0.10030425921803232
WTG0R4D3_1	1.6792835720654475	1.5745536076147244
WTG0R4D3_2	0.8243893224794173	0.0
WTG0R4D4_1	2.9185966162812904	3.0292959749692723
WTG0R4D4_2	2.8884744722982094	0.7675360143767858
