Sample	Unique Reads	Duplicate Reads
32701R1D4_1	11820443.0	26301399.0
32701R1D4_2	12412401.0	25709441.0
32701R3D4_1	9722085.0	15308217.0
32701R3D4_2	10374490.0	14655812.0
32701R4D4_1	7642903.0	11943372.0
32701R4D4_2	8129020.0	11457255.0
3270R1D3_1	9768294.0	14791445.0
3270R1D3_2	10089276.0	14470463.0
3270R1D4_1	8857658.0	13734528.0
3270R1D4_2	9346361.0	13245825.0
3270R3D3_1	13101288.0	9143700.0
3270R3D3_2	13241519.0	9003469.0
3270R3D4_1	9564699.0	8733274.0
3270R3D4_2	9817937.0	8480036.0
3270R4D3_1	5888137.0	5945307.0
3270R4D3_2	6068378.0	5765066.0
3270R4D4_1	5521162.0	5251928.0
3270R4D4_2	5723810.0	5049280.0
32G0R1D3_1	10334590.0	18307721.0
32G0R1D3_2	10853113.0	17789198.0
32G0R1D4_1	1463669.0	4540110.0
32G0R1D4_2	1530268.0	4473511.0
32G0R3D3_1	11829023.0	21874881.0
32G0R3D3_2	12446793.0	21257111.0
32G0R3D4_1	10614115.0	19082149.0
32G0R3D4_2	11192693.0	18503571.0
32G0R4D3_1	9554739.0	16266048.0
32G0R4D3_2	9863673.0	15957114.0
32G0R4D4_1	8000387.0	12673779.0
32G0R4D4_2	8350384.0	12323782.0
WT7005R1D3_1	9262128.0	16750533.0
WT7005R1D3_2	9656605.0	16356056.0
WT7005R1D4_1	7723817.0	11716137.0
WT7005R1D4_2	8086057.0	11353897.0
WT7005R3D3_1	11671777.0	25186806.0
WT7005R3D3_2	12663704.0	24194879.0
WT7005R3D4_1	12419981.0	24436472.0
WT7005R3D4_2	13315636.0	23540817.0
WT7005R4D3_1	2640823.0	3086900.0
WT7005R4D3_2	2762538.0	2965185.0
WT7005R4D4_1	7511358.0	11521188.0
WT7005R4D4_2	7846489.0	11186057.0
WT701R1D4_1	13339755.0	18269647.0
WT701R1D4_2	13710126.0	17899276.0
WT701R3D4_1	9835814.0	14792802.0
WT701R3D4_2	10347402.0	14281214.0
WT701R4D4_1	9270862.0	9385919.0
WT701R4D4_2	9589491.0	9067290.0
WT70R1D3_1	10677086.0	18348448.0
WT70R1D3_2	11202908.0	17822626.0
WT70R1D4_1	10033782.0	15442848.0
WT70R1D4_2	10441543.0	15035087.0
WT70R3D3_1	11168864.0	17032845.0
WT70R3D3_2	11604936.0	16596773.0
WT70R3D4_1	11586835.0	20407473.0
WT70R3D4_2	12211174.0	19783134.0
WT70R4D3_1	5823793.0	6317966.0
WT70R4D3_2	6082472.0	6059287.0
WT70R4D4_1	6063416.0	10071537.0
WT70R4D4_2	6358175.0	9776778.0
WTG0R1D3_1	11272809.0	20599725.0
WTG0R1D3_2	11972194.0	19900340.0
WTG0R1D4_1	10160550.0	17138127.0
WTG0R1D4_2	10646131.0	16652546.0
WTG0R3D3_1	10234831.0	25349420.0
WTG0R3D3_2	11050215.0	24534036.0
WTG0R3D4_1	8792597.0	22245355.0
WTG0R3D4_2	9222837.0	21815115.0
WTG0R4D3_1	9675277.0	16907293.0
WTG0R4D3_2	10157985.0	16424585.0
WTG0R4D4_1	10660275.0	18557537.0
WTG0R4D4_2	11164968.0	18052844.0
