Sample	Unique Reads	Duplicate Reads
32701R1D4_1	11526980.0	29267528.0
32701R1D4_2	12627705.0	28166803.0
32701R3D4_1	9603625.0	16727117.0
32701R3D4_2	10537237.0	15793505.0
32701R4D4_1	7255741.0	21081886.0
32701R4D4_2	9131744.0	19205883.0
3270R1D3_1	9410778.0	21189717.0
3270R1D3_2	10858360.0	19742135.0
3270R1D4_1	8489436.0	22146809.0
3270R1D4_2	10184212.0	20452033.0
3270R3D3_1	12829106.0	13358368.0
3270R3D3_2	13926965.0	12260509.0
3270R3D4_1	9044863.0	20034309.0
3270R3D4_2	11199292.0	17879880.0
3270R4D3_1	5427300.0	17604576.0
3270R4D3_2	7440709.0	15591167.0
3270R4D4_1	5112632.0	16740450.0
3270R4D4_2	6811805.0	15041277.0
32G0R1D3_1	10088697.0	22209621.0
32G0R1D3_2	11352249.0	20946069.0
32G0R1D4_1	1382510.0	16767004.0
32G0R1D4_2	2855643.0	15293871.0
32G0R3D3_1	11637202.0	22658585.0
32G0R3D3_2	12416989.0	21878798.0
32G0R3D4_1	10442439.0	20310087.0
32G0R3D4_2	11250094.0	19502432.0
32G0R4D3_1	9393501.0	17915285.0
32G0R4D3_2	10055387.0	17253399.0
32G0R4D4_1	7773745.0	17238865.0
32G0R4D4_2	8863327.0	16149283.0
WT7005R1D3_1	9108759.0	18227494.0
WT7005R1D3_2	9760435.0	17575818.0
WT7005R1D4_1	7066057.0	32531690.0
WT7005R1D4_2	9074395.0	30523352.0
WT7005R3D3_1	11534124.0	26546850.0
WT7005R3D3_2	12717364.0	25363610.0
WT7005R3D4_1	12317383.0	25118749.0
WT7005R3D4_2	13414794.0	24021338.0
WT7005R4D3_1	2428818.0	18497020.0
WT7005R4D3_2	4318227.0	16607611.0
WT7005R4D4_1	7231190.0	16685356.0
WT7005R4D4_2	8146816.0	15769730.0
WT701R1D4_1	13123313.0	20404456.0
WT701R1D4_2	13949564.0	19578205.0
WT701R3D4_1	9668689.0	16332153.0
WT701R3D4_2	10527720.0	15473122.0
WT701R4D4_1	8804985.0	19929142.0
WT701R4D4_2	11104666.0	17629461.0
WT70R1D3_1	10515558.0	19502892.0
WT70R1D3_2	11213296.0	18805154.0
WT70R1D4_1	9728434.0	19651263.0
WT70R1D4_2	11026126.0	18353571.0
WT70R3D3_1	10915303.0	19468341.0
WT70R3D3_2	11774121.0	18609523.0
WT70R3D4_1	11032785.0	32885945.0
WT70R3D4_2	12882984.0	31035746.0
WT70R4D3_1	5351090.0	18408147.0
WT70R4D3_2	6727388.0	17031849.0
WT70R4D4_1	5757916.0	17721833.0
WT70R4D4_2	7627592.0	15852157.0
WTG0R1D3_1	11107251.0	21388608.0
WTG0R1D3_2	11979167.0	20516692.0
WTG0R1D4_1	9965702.0	19010685.0
WTG0R1D4_2	10691387.0	18285000.0
WTG0R3D3_1	10052737.0	26380885.0
WTG0R3D3_2	11005017.0	25428605.0
WTG0R3D4_1	8532807.0	24068999.0
WTG0R3D4_2	9398020.0	23203786.0
WTG0R4D3_1	9543281.0	18091599.0
WTG0R4D3_2	10270346.0	17364534.0
WTG0R4D4_1	10487814.0	20791500.0
WTG0R4D4_2	11288967.0	19990347.0
