Sample	Unique Pairs	Unique Unpaired	Duplicate Pairs Optical	Duplicate Pairs Nonoptical	Duplicate Unpaired
32701R1D4	39681370.0	1448.0	689918.0	21130866.0	13235.0
32701R3D4	35565278.0	1458.0	549180.0	11255492.0	9598.0
32701R4D4	24833366.0	1214.0	447638.0	11174604.0	6640.0
3270R1D3	32364136.0	2385.0	520950.0	13676844.0	13483.0
3270R1D4	26538586.0	2272.0	484674.0	15700024.0	12752.0
3270R3D3	18559646.0	1228.0	279936.0	9269398.0	5032.0
3270R3D4	17466722.0	1021.0	308968.0	8810236.0	4258.0
3270R4D3	17113192.0	1339.0	232960.0	4486488.0	3828.0
3270R4D4	15659704.0	901.0	212618.0	4250996.0	2751.0
32G0R1D3	36831096.0	1080.0	580646.0	13062494.0	7490.0
32G0R1D4	2725464.0	233.0	43808.0	2372112.0	640.0
32G0R3D3	47016808.0	1646.0	701996.0	14853630.0	12270.0
32G0R3D4	39329738.0	2021.0	572376.0	13748840.0	12844.0
32G0R4D3	34127508.0	1088.0	457522.0	10707698.0	6623.0
32G0R4D4	27843180.0	925.0	417880.0	8262644.0	4878.0
WT7005R1D3	34840336.0	1746.0	535576.0	13196502.0	12303.0
WT7005R1D4	24023026.0	1555.0	407474.0	10700424.0	8896.0
WT7005R3D3	48266438.0	1906.0	828944.0	19753152.0	17948.0
WT7005R3D4	48073018.0	1773.0	833902.0	19643332.0	15707.0
WT7005R4D3	7165286.0	775.0	93410.0	2507364.0	2475.0
WT7005R4D4	25893248.0	1628.0	411894.0	9545242.0	8569.0
WT701R1D4	30921956.0	1200.0	512816.0	18343284.0	10442.0
WT701R3D4	33818156.0	1811.0	538932.0	11366268.0	11578.0
WT701R4D4	16673520.0	1181.0	289948.0	7517160.0	5542.0
WT70R1D3	37402448.0	3050.0	604502.0	15744174.0	19772.0
WT70R1D4	31436122.0	2609.0	561810.0	16210894.0	15013.0
WT70R3D3	35773562.0	2788.0	544092.0	17221480.0	16345.0
WT70R3D4	35300022.0	2310.0	690210.0	24446496.0	15681.0
WT70R4D3	17040590.0	1312.0	250568.0	5308238.0	4305.0
WT70R4D4	17003716.0	1569.0	324454.0	12250668.0	7863.0
WTG0R1D3	43607126.0	1964.0	702540.0	13831108.0	14135.0
WTG0R1D4	36956800.0	2986.0	636518.0	12213212.0	18771.0
WTG0R3D3	38586224.0	2159.0	671190.0	19277562.0	17492.0
WTG0R3D4	33784422.0	1482.0	544480.0	17357092.0	13090.0
WTG0R4D3	32231632.0	1995.0	477056.0	11796828.0	11270.0
WTG0R4D4	36017172.0	1780.0	594750.0	14892288.0	11779.0
