Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
32701R1D4	9228.997772021437	14813.849191434454	19432.33561560664	23974.279667976443	28257.055467562473	32079.19861287645	35544.411378787336	38529.539931220395	41039.34599172857	43141.872429646115	45047.18792624233	46598.925521941106	47905.66345671992	49335.09707076005	50503.737122496415	51420.457407518756	52183.39262145783	52831.36840749961	53346.01182820955	53700.82352929999	54164.19161109619	54350.20695807791	54557.723312726725	54681.90044808977	54759.4627115889	54833.32002945469	54766.8751433457	54910.827098481284	54960.86933544225	54870.961112011675	54758.244231390185	54981.46124464552	55074.33872395602	54642.13526131112	54566.634736738306	54564.33844037281	54708.13405780858	54719.27838438374	54801.46750959697	54966.18790040238	55061.739519023075	55040.84146885317	55014.951711963266	55115.44292604663	55164.22722145609	55208.953739322315	55236.049972636065	55228.187275293254	55230.193924142244	55260.19940826036	55069.82050368067	54902.68124664318	54784.964470524676	54593.19206538843	54281.15996660339	54058.381887748765	53897.85748651428	53219.327395053915	53151.47098021741	52529.491485527855	52415.08089459055	52243.99616749072	52216.14330102547	52076.031678710075	52088.05982479578	52105.86444781595	51978.18827961016	51826.17625384056	51613.220185636506	51304.858551648824	51095.657558878185	51022.40431224049	50739.7866440753	50434.48550846075	50157.703109926384	49876.42841516076	49434.188211518864	48772.491511465625	48158.47074444916	47505.83448171947	46608.748473617205	45678.93718462478	44625.458500639375	43576.171598880646	42311.279497318304	40795.124254861475	38990.34938441067	36774.47158647822	34418.949332560194	31829.39426325393	28976.888277196493	25793.807044066758	22044.765782309147	17846.46094641949	14188.327926475551	10472.151997058801	7148.235378787187	4262.757782852558	1878.3931345830451	361.01809480519097
32701R3D4	7486.050651496276	11565.117178361012	15190.772789512546	18512.8894550535	21713.3127417261	24764.308067690985	27568.265540192853	30053.114293932937	32244.9617450011	34125.17015503783	35903.549885699205	37406.20859413481	38838.62967159253	40145.575777973434	41266.99929847192	42231.465935960325	43005.125448408486	43656.51445820927	44152.03878833842	44518.39751704642	44940.95040039927	45109.8598709684	45273.99322100005	45446.2407282924	45594.47751593669	45696.7489851683	45620.716744968704	45793.361115919775	45883.37842950551	45860.13395277674	45884.19623018798	46121.0706595296	46351.48526928933	46308.919966125046	46296.81370637858	46366.45373992003	46515.513132223205	46557.432211085616	46658.82458108813	46854.47418783731	46960.417040270775	46976.57620606895	46914.40627852706	47010.28320234468	46990.28421061413	47041.944199931946	47098.03023969198	47162.50980066959	47188.900315714134	47306.05381969023	47254.62160554695	47200.95477606072	47152.19156332592	46997.17847789256	46762.16570896785	46714.50429326641	46629.89357375176	46460.893154707126	46417.04954516137	46231.36359593112	46072.461747217036	45850.262258564006	45774.93660126163	45602.953481768694	45557.74336295116	45460.613803874905	45270.90618145008	45070.67475234156	44828.83192423414	44510.32352957809	44279.05753421987	44128.46301185132	43758.184762805555	43334.64154116232	42952.4685122348	42560.1063772446	42016.939818024104	41328.62471342158	40596.22665327195	39836.85174428477	38923.91352935097	37973.933887608764	36937.129773888715	35832.77455357293	34484.015180457754	33005.03415097478	31397.546878234338	29389.171315683765	27236.64769153637	24945.20499198018	22436.762424733068	19871.631807030706	16914.445790371527	13386.566671688333	10593.744478348875	7708.1589634755965	5185.468534897958	3034.4141145264266	1364.7305373277225	302.7862762884652
32701R4D4	4758.37002270628	7839.152796217296	10554.095180219543	13252.713849382752	15844.84220509751	18191.28020200129	20300.382701083538	22047.42025260864	23466.239125426986	24717.891795915613	25782.218872187153	26729.252952818293	27582.987373800403	28342.190815721526	28974.731127853003	29519.986386160006	30015.916250556063	30373.172993565786	30648.601518839794	30854.616939666987	31148.65433759965	31282.34738877506	31373.90015856364	31430.8677441536	31515.542060951768	31472.704045075727	31439.818497318454	31513.738885033796	31542.914314371486	31503.364180865883	31473.358618934988	31653.705888863562	31734.43972783194	31624.68254503538	31560.48518911329	31503.18868715117	31571.050188170488	31587.529771216083	31620.64937656202	31725.74422365097	31764.24307497095	31822.590205269888	31907.039406551616	31989.17309888356	32033.53628581973	32111.73710526887	32109.822342375744	32076.17267181249	32097.018218833808	32132.9257621814	32076.731362220617	32033.84636690823	31939.245530340613	31767.31771656732	31531.798586520883	31404.20536294675	31312.449632877684	31200.210560680374	31207.87586499038	31064.124226495114	30969.367517712657	30920.183320896347	30949.469969062204	30885.823397659417	30939.295862705367	30959.92185052157	30880.177556729785	30735.266598028662	30605.81170466967	30439.143181636475	30300.309057204715	30236.23110468571	30071.24814035892	29889.84212685569	29636.513890850194	29438.490311658235	29189.293540814364	28800.649078836355	28434.389403712663	28012.030980379503	27529.79709758829	26926.40403391206	26290.766309677372	25628.209688779152	24933.251446521874	24017.951809599686	22988.767908309736	21709.016185392316	20335.497210478796	18767.131800391762	17017.760045282943	14793.209244666104	12349.460272188036	10033.141151056689	7940.562363865497	5751.958182191955	3826.9425847387615	2186.958002688706	910.0644625695945	165.5026775632856
3270R1D3	6800.782684299753	10977.453031827286	14514.582434631353	18120.01475856043	21621.14122009762	24847.822903517055	27726.424539378244	30155.76446104503	32161.77744736338	33798.65551063949	35207.1462602519	36521.62788835978	37611.64411391079	38686.98173789313	39493.32722906729	40194.74879982567	40797.5116224536	41344.979288207855	41752.65863696113	42066.3198945281	42359.50229031879	42448.41513440222	42674.299269347495	42726.351242557976	42653.953416389326	42564.145701218	42439.628661703624	42547.18937033089	42541.84997842783	42437.28450009438	42281.60532700679	42285.23111497778	42434.12203418003	42398.56543115598	42319.62486496171	42231.11612093493	42309.34258408549	42269.8267674415	42236.61796141285	42418.09061563706	42495.94971675189	42524.19865528175	42597.16317200985	42624.06972640733	42767.915710132	42869.52264883437	42919.7743611377	42913.838308923834	42913.13997168413	42933.804675102605	42816.883553291555	42700.48326627376	42565.738563009116	42402.46450640855	42182.36178079237	41889.02881373219	41744.18459992299	41667.701325673945	41681.734441453285	41579.598293963136	41463.94835782697	41314.675852526445	41269.57170240413	41154.77438292258	41204.191277599646	41135.36751701715	41011.3481614464	40868.865357612674	40699.735382683204	40568.256416900535	40399.102926881875	40341.54800867949	40177.821510131034	39992.686841262184	39604.66890239043	39308.37428749154	38879.01141095589	38151.72242653419	37539.39879886999	36947.72873261448	36163.72429844488	35365.65352482803	34494.81906904923	33571.84558365708	32490.129353115753	30965.50168292191	29351.99537609528	27599.2915265564	25679.28579559814	23491.737891157598	21089.80116638025	18574.26945618442	15787.13246807002	12736.832903312941	10200.159351424918	7382.797713146457	4930.454589542444	2777.763769573774	1135.656382132695	217.43266867992241
3270R1D4	5715.548869646586	9315.337479979555	12325.373343434654	15475.099832667645	18519.196717678034	21406.554835734983	23950.722147718396	26089.773647374754	27890.72515805526	29339.88144475968	30604.292758636333	31794.757753485548	32841.84773484251	33820.04660055057	34581.91439158367	35251.4602157985	35821.629012717975	36356.25091569011	36748.720383712614	37142.158366070405	37494.02428082468	37645.34482437311	37791.455797890805	37873.97155707892	37863.85856081197	37770.37425886217	37647.1286836514	37787.689828463066	37754.573438961546	37658.016279669464	37491.771442219026	37552.680986947824	37791.487988656685	37802.18118277582	37737.29236147474	37683.00216298763	37750.93524817059	37726.5541517522	37744.59144763719	38003.02463365382	38093.62602364478	38144.043625930004	38312.17778600428	38309.89309218153	38363.608265710616	38450.69295473042	38502.94107350316	38427.037444270114	38400.66409332393	38384.02286522203	38280.47788681555	38192.34892523366	38080.56514703387	37954.48912848957	37781.29547888244	37649.93605886285	37576.16214967994	37532.12381616388	37552.42916457887	37413.000951189395	37281.23434980086	37157.06518459464	37112.15651215281	37041.632756352206	37161.86526974681	37164.09281239575	37071.430775305416	36916.8658234416	36707.997127344584	36498.71888273235	36343.776034590424	36298.04086649741	36131.66726608657	35912.78012155733	35500.46674151449	35134.87017341245	34706.431209007256	34044.15364421909	33491.059934536825	32983.20039152801	32313.278205975155	31587.635717476864	30695.738172530317	29846.71099455018	28907.26688849719	27522.70083513373	26072.8194735503	24508.219137633092	22726.56723917387	20759.57027218933	18604.10446742004	16286.208861025345	13776.068062411736	11043.60515074133	8768.110729371501	6307.709571834702	4184.358430449717	2348.53239508107	931.9350156593575	171.47539445133788
3270R3D3	4467.326851436384	7131.640650932154	9217.83910609961	11524.440395549536	13726.63142169036	15768.062538535802	17594.21476214134	19095.69197044498	20262.765470397324	21215.55221497568	22028.21506438176	22790.588860789747	23382.00459118612	23970.487403670726	24400.018160681644	24790.875317365237	25123.200323440728	25448.93556612403	25635.17626647423	25800.37356051837	25952.53397066465	26014.117307168708	26144.30824865245	26178.341489647133	26093.149096122408	26024.23778523917	25933.196811399088	25962.564902148883	25939.463554956747	25876.251002007506	25768.619331446484	25740.464286285835	25774.79115557301	25666.853212082384	25572.704665162808	25481.5691340059	25512.1911796355	25483.54322079216	25448.17911801398	25505.845230339848	25526.006463082944	25496.87160047795	25488.108697972297	25504.4682950685	25589.54240265988	25624.465448153045	25627.703647639177	25601.003282959176	25591.02352085693	25583.573293751946	25483.04665561872	25414.50880270443	25356.82156058033	25241.344985014173	25108.096996640892	24930.790120131605	24836.87558298194	24771.359608419665	24797.219363338874	24743.42950163498	24698.858137314008	24669.78309231738	24675.04793321645	24644.31345253932	24708.46587254128	24676.77658274837	24649.90628645757	24575.649008908273	24531.135365468803	24508.60956484502	24472.307225821467	24468.734754925074	24402.368601839305	24314.646492752374	24102.541951114217	23940.13207316537	23704.70718291265	23298.11989321676	23000.015567987426	22683.246405587077	22284.13841154331	21861.590948609904	21383.326643837067	20873.335715413246	20261.95421872666	19395.220965974368	18409.70329218863	17325.153368084902	16187.97961252924	14878.08677677483	13415.714041306393	11756.33827967753	9949.208178685829	8061.497359452438	6458.109082506983	4727.085500706567	3174.5653235247432	1775.6829023525877	708.4915133445003	123.19019383673457
3270R3D4	3791.307987105872	6085.506931238314	7945.905537681523	9910.027521911994	11818.737269329375	13603.015646571275	15192.692847885064	16591.819843756883	17759.653696228423	18748.30094505752	19615.531759131525	20409.861222194886	21092.534245558218	21739.02231940649	22253.4870411518	22702.14148491153	23101.899707783334	23449.78914296613	23748.19463933832	24000.437840202638	24221.440400541178	24334.27518250664	24435.033084048133	24491.692475554053	24462.90032261948	24399.759711972092	24333.033367203625	24395.191092416982	24394.60525518395	24358.148198479164	24270.33486440693	24307.292864181913	24419.335677521736	24374.063616005307	24341.65808546402	24305.127816849632	24374.82198813635	24384.510644707858	24394.755272104965	24489.710839364787	24517.58373118889	24535.59041103907	24584.213428690728	24604.446634791857	24665.703573021983	24714.360384518535	24728.451591271492	24709.014694940208	24685.62322713983	24686.80833367823	24603.038240134567	24534.631855639207	24448.93384336385	24335.735143115417	24212.089319231105	24090.926307373542	24033.110107705692	23966.104942357517	23952.565243191264	23793.006961121275	23690.95498696334	23606.336630292462	23571.725252960572	23522.260612491104	23571.921011402184	23557.853550511813	23476.273623825833	23369.708135304478	23281.418425482174	23178.712595752477	23069.535558105028	23008.58034486229	22864.528067785843	22700.712762781302	22445.637855888395	22234.307794443233	21953.551684724414	21504.212766962544	21125.341926782134	20749.207675398295	20279.471310721954	19778.416121809074	19209.832045729807	18674.653739884587	18100.952805791894	17272.73520712165	16372.515855696241	15360.492158079282	14272.319535355338	13041.003683570927	11697.750915072509	10218.117496324508	8618.567098221809	6914.370368376424	5496.412288716823	3948.127749708706	2614.979853931744	1469.7663996076483	588.5997548964278	111.16462136867136
3270R4D3	3016.108016181115	4901.615111141936	6507.881644980627	8149.558952386162	9735.32550067788	11200.179482914764	12491.926003451583	13597.50592775415	14542.94512897861	15340.013359169552	16033.742975827825	16672.092020629592	17206.55904836937	17747.1163267401	18149.103566215475	18486.197575833943	18787.075386705044	19077.797613638602	19299.40501989884	19459.132007786186	19623.4826412951	19710.273598336487	19798.345966168046	19837.75430332623	19822.901679932555	19788.534720019994	19760.641077065822	19802.997378261236	19804.627196296587	19777.557630520572	19719.123364311577	19732.010416698013	19799.752573301128	19743.238669005314	19693.857581293043	19651.143921705017	19688.711893887143	19668.081152778497	19656.52955557632	19700.464715012542	19691.2639085672	19675.647283259954	19710.521229075224	19757.578401884257	19822.949864085425	19858.239574118656	19855.333641615307	19845.24686959322	19823.27936643143	19823.571097849694	19751.669782536388	19689.369859060345	19621.480822449612	19538.388775230356	19438.047504602528	19343.251141050052	19291.99094435764	19208.158913235326	19187.854528841548	19091.996174977452	19035.388331635015	18973.529747488305	18958.270717647552	18927.02251295209	18946.180507897614	18902.1049988601	18825.65233611735	18729.509528852064	18641.43433557208	18558.392357628887	18466.77717181313	18415.998684514947	18305.20689733293	18191.63107912746	17991.656046216	17826.171694685614	17603.506396741668	17244.401688607046	16936.566477908917	16618.706606501488	16232.911711286055	15860.891089270428	15434.248926674189	15001.698650986184	14521.087401168288	13877.347001958959	13144.0368291898	12352.500635457975	11489.844694796748	10513.264529549277	9443.838380279192	8254.031221629548	6962.307055803024	5620.52299370527	4474.435009640326	3194.893427864314	2111.2219368441315	1184.8419930530843	488.734755465035	92.23327141139671
3270R4D4	2561.4508461025143	4221.872045312743	5701.572715090269	7169.406090853554	8609.792668395386	9952.186821148633	11117.01349090382	12095.428945763957	12916.166534041691	13578.722620001368	14161.228176966717	14702.482774562666	15165.33155665508	15617.903823620776	15944.838851424085	16222.117067046951	16473.531891348666	16727.54658311017	16931.25520171747	17084.415629539963	17231.11587032728	17320.09357017268	17393.74870750005	17426.101357834483	17396.108283075097	17363.124238710505	17328.988627183957	17365.235007448315	17362.48084639599	17337.12827576387	17279.5362412948	17311.609328072354	17400.785683394257	17391.522613199897	17366.00212016172	17353.725998029127	17391.332803712747	17379.838370354664	17375.241896165327	17445.45171426604	17470.350529744712	17484.486880915698	17541.52329679574	17573.31420932056	17626.545023228624	17677.134645392085	17691.117234922036	17655.80818095056	17619.935999275498	17619.32775863305	17586.266580236243	17541.81179226635	17480.31716645929	17420.586919110905	17364.878140905654	17289.745778612232	17254.502896102797	17222.412241733236	17228.632260192033	17174.198919772938	17137.389946093514	17095.229903274154	17074.768575306578	17049.579007029122	17081.94365759831	17060.04195155681	16974.984039310202	16886.183223393244	16802.656774070514	16732.906591031944	16657.72377852303	16622.132308966593	16535.59182833021	16434.27938221033	16242.966736438684	16091.16184851913	15900.814602829763	15597.16426601153	15333.942817252893	15068.646754549685	14752.642927534596	14415.248884914941	14009.659680445828	13628.017383864668	13201.324806614084	12583.937448698778	11925.559469203243	11216.682702014226	10437.369501952468	9561.262791680712	8585.311610631743	7483.334655105562	6304.734599750403	5115.900300604372	4074.1583723739463	2935.9802913959115	1941.833249124327	1086.201757923411	434.447404335438	79.44255621124849
32G0R1D3	7567.762773602972	11747.513328946781	15444.415718234597	19029.460561362273	22589.215570081265	25849.523350621264	28839.14356286266	31517.941269417082	33786.434541224946	35795.31071084258	37705.23794550281	39318.30801269772	40814.289188836236	42263.518994619	43335.64886679316	44234.86381312468	45045.14518686926	45694.31561241237	46158.30031244504	46523.71689595388	46914.69291290654	47155.0360649568	47327.506791108346	47479.37903429824	47538.3638797568	47530.462978082855	47517.22160434676	47687.126247570406	47824.093119288016	47933.076561451315	47914.36764071266	48113.12650767857	48246.13749564236	47954.556467749346	47817.109679359484	47893.30675968832	48149.13865051603	48176.65828520696	48233.090208852	48366.509368534535	48417.543690871265	48487.26674274681	48612.87695558123	48980.20021433349	49150.174241670655	49338.145729346325	49491.295596369346	49640.84799167418	49767.84671468473	49963.45269478591	49931.431669138656	49964.79259039042	49982.595075870406	49880.89936620964	49689.79477229881	49747.45807881038	49772.5989308095	49493.101998435086	49405.04030226273	48981.26685579792	48924.25300881122	48845.15905650273	48854.189356138224	48786.728744675085	48794.62940801175	48712.20988746002	48573.359796170334	48377.15268035716	48157.40745436644	47925.22712922494	47721.221849264824	47657.662039685674	47398.96162789598	47163.697386060405	46830.98887363268	46519.38145399005	46063.75757945167	45087.65855229741	44405.20295628461	43703.20021562729	42878.43385828223	41846.42905109886	40757.756105589695	39702.3530363631	38516.01597117806	36980.918419027046	35317.66720925722	33220.39933874533	30981.33833089751	28484.48071399589	25649.399084255372	22034.17048472339	18206.124944205993	14459.94721743761	11372.991804629064	8164.360367937737	5436.595259179841	3069.874788637905	1323.31278417502	260.74948850432077
