Sample	Exonic	Intronic	Intergenic
32701R1D4	37820460.0	2476710.0	19637497.0
32701R3D4	31744592.0	1868191.0	12998718.0
32701R4D4	21792326.0	1688295.0	12280170.0
3270R1D3	28554243.0	2107659.0	14615077.0
3270R1D4	25728754.0	1988317.0	13926606.0
3270R3D3	17087995.0	1239457.0	9050516.0
3270R3D4	15791538.0	1269750.0	8866750.0
3270R4D3	13104362.0	1023877.0	7233146.0
3270R4D4	11894028.0	955474.0	6828440.0
32G0R1D3	32458350.0	2131420.0	14941658.0
32G0R1D4	2750471.0	122342.0	1738537.0
32G0R3D3	41085238.0	2704608.0	17620521.0
32G0R3D4	34160455.0	2219595.0	16305955.0
32G0R4D3	30355064.0	1723450.0	12269601.0
32G0R4D4	22854795.0	1509893.0	11502108.0
WT7005R1D3	30400604.0	2166073.0	14737814.0
WT7005R1D4	21785998.0	1509147.0	10988047.0
WT7005R3D3	46336570.0	2914697.0	18168211.0
WT7005R3D4	44153280.0	2774572.0	20318503.0
WT7005R4D3	5557188.0	547644.0	3312417.0
WT7005R4D4	20999350.0	1965664.0	11226582.0
WT701R1D4	29818777.0	2027283.0	16680043.0
WT701R3D4	29901268.0	1818327.0	13270856.0
WT701R4D4	14141240.0	1163856.0	8546437.0
WT70R1D3	33560414.0	2406422.0	16090382.0
WT70R1D4	29103635.0	2158426.0	15900034.0
WT70R3D3	32619708.0	2507350.0	17152356.0
WT70R3D4	35954078.0	2864700.0	20126989.0
WT70R4D3	13321027.0	1144229.0	7431027.0
WT70R4D4	16383151.0	1859995.0	9582126.0
WTG0R1D3	37618379.0	2386148.0	17050954.0
WTG0R1D4	32047334.0	1961620.0	14959258.0
WTG0R3D3	35638416.0	2692424.0	18709415.0
WTG0R3D4	30817399.0	2246782.0	17331105.0
WTG0R4D3	28869939.0	1845852.0	12652740.0
WTG0R4D4	33386719.0	2025602.0	15193819.0
