Sample	Sense	Antisense	Undetermined
32701R1D4	50.27	49.68	0.05
32701R3D4	49.88	50.1	0.02
32701R4D4	49.9	49.4	0.7000000000000001
3270R1D3	49.59	49.25	1.16
3270R1D4	49.9	49.34	0.76
3270R3D3	49.919999999999995	49.21	0.8699999999999999
3270R3D4	49.76	49.51	0.74
3270R4D3	49.53	49.7	0.76
3270R4D4	50.239999999999995	49.13	0.62
32G0R1D3	50.160000000000004	49.82	0.02
32G0R1D4	49.94	49.78	0.27999999999999997
32G0R3D3	50.13999999999999	49.84	0.01
32G0R3D4	50.260000000000005	49.72	0.03
32G0R4D3	50.029999999999994	49.96	0.01
32G0R4D4	50.0	49.29	0.72
WT7005R1D3	50.019999999999996	49.95	0.03
WT7005R1D4	49.8	49.45	0.74
WT7005R3D3	50.17	49.830000000000005	0.0
WT7005R3D4	50.13999999999999	49.85	0.01
WT7005R4D3	50.1	49.57	0.33
WT7005R4D4	49.97	49.370000000000005	0.66
WT701R1D4	49.24	49.51	1.25
WT701R3D4	49.63	49.55	0.8200000000000001
WT701R4D4	49.64	49.74	0.62
WT70R1D3	49.87	50.1	0.03
WT70R1D4	49.480000000000004	49.43	1.0999999999999999
WT70R3D3	50.29	49.669999999999995	0.05
WT70R3D4	49.94	49.11	0.95
WT70R4D3	49.89	49.57	0.54
WT70R4D4	49.95	49.38	0.6799999999999999
WTG0R1D3	49.85	50.13999999999999	0.01
WTG0R1D4	49.919999999999995	49.95	0.12
WTG0R3D3	49.95	50.019999999999996	0.03
WTG0R3D4	49.93	48.949999999999996	1.1199999999999999
WTG0R4D3	49.55	49.7	0.75
WTG0R4D4	49.75	49.309999999999995	0.9400000000000001
