Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
32701R1D4	871351.0	31752.0	423826.0
32701R3D4	881659.0	28392.0	377789.0
32701R4D4	495293.0	21106.0	247514.0
3270R1D3	755396.0	28812.0	332538.0
3270R1D4	587372.0	25495.0	272181.0
3270R3D3	476947.0	18744.0	191143.0
3270R3D4	424627.0	19404.0	194662.0
3270R4D3	402268.0	17987.0	174050.0
3270R4D4	336110.0	15700.0	149777.0
32G0R1D3	923850.0	40198.0	365740.0
32G0R1D4	42493.0	1468.0	20718.0
32G0R3D3	1098367.0	51370.0	478563.0
32G0R3D4	979721.0	40034.0	385438.0
32G0R4D3	790092.0	34695.0	290413.0
32G0R4D4	710408.0	29189.0	261689.0
WT7005R1D3	851542.0	31512.0	395685.0
WT7005R1D4	484132.0	19949.0	239767.0
WT7005R3D3	1338014.0	40068.0	494688.0
WT7005R3D4	1064329.0	39251.0	479433.0
WT7005R4D3	213677.0	8739.0	101262.0
WT7005R4D4	419565.0	23402.0	251738.0
WT701R1D4	693304.0	27437.0	343467.0
WT701R3D4	754619.0	25064.0	345217.0
WT701R4D4	340119.0	13689.0	174977.0
WT70R1D3	842992.0	33754.0	391162.0
WT70R1D4	714130.0	31816.0	312674.0
WT70R3D3	863043.0	39137.0	378359.0
WT70R3D4	782111.0	30479.0	375548.0
WT70R4D3	379452.0	16421.0	177997.0
WT70R4D4	446501.0	23490.0	219112.0
WTG0R1D3	1037667.0	48106.0	435716.0
WTG0R1D4	899664.0	35418.0	350956.0
WTG0R3D3	1036523.0	45403.0	406304.0
WTG0R3D4	941144.0	38483.0	335352.0
WTG0R4D3	789524.0	34950.0	328617.0
WTG0R4D4	884250.0	38399.0	311103.0
