Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
32701R1D4	2368.0	1099.0	13360.0
32701R3D4	2344.0	982.0	11078.0
32701R4D4	2258.0	926.0	8467.0
3270R1D3	2595.0	1044.0	11599.0
3270R1D4	2440.0	903.0	10766.0
3270R3D3	2397.0	778.0	7435.0
3270R3D4	2360.0	736.0	7553.0
3270R4D3	2440.0	818.0	6797.0
3270R4D4	2366.0	747.0	6287.0
32G0R1D3	2484.0	1118.0	11725.0
32G0R1D4	1528.0	182.0	1799.0
32G0R3D3	2608.0	1314.0	14003.0
32G0R3D4	2460.0	1156.0	12644.0
32G0R4D3	2501.0	1108.0	9506.0
32G0R4D4	2366.0	940.0	8919.0
WT7005R1D3	2407.0	991.0	11401.0
WT7005R1D4	2253.0	778.0	9070.0
WT7005R3D3	2441.0	1211.0	13291.0
WT7005R3D4	2496.0	1243.0	14160.0
WT7005R4D3	1914.0	439.0	4026.0
WT7005R4D4	2241.0	814.0	9018.0
WT701R1D4	2290.0	947.0	11845.0
WT701R3D4	2335.0	936.0	10027.0
WT701R4D4	2124.0	710.0	7172.0
WT70R1D3	2605.0	1074.0	12595.0
WT70R1D4	2505.0	1030.0	11766.0
WT70R3D3	2679.0	1270.0	13268.0
WT70R3D4	2625.0	1243.0	12820.0
WT70R4D3	2394.0	828.0	7021.0
WT70R4D4	2314.0	852.0	8289.0
WTG0R1D3	2556.0	1305.0	12797.0
WTG0R1D4	2439.0	1056.0	12439.0
WTG0R3D3	2469.0	1160.0	12471.0
WTG0R3D4	2315.0	1006.0	12071.0
WTG0R4D3	2527.0	1054.0	10389.0
WTG0R4D4	2443.0	1095.0	11099.0
