Sample	CDS_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
32701R1D4	31407646.0	840167.0	125253.0	85590.0	17839.0	410599.0	146666.0	22101.0	8841770.0
32701R3D4	29164561.0	674596.0	110256.0	69576.0	10435.0	304932.0	122675.0	14080.0	7019022.0
32701R4D4	18754603.0	585336.0	99492.0	66966.0	12110.0	324567.0	112699.0	16400.0	6108124.0
3270R1D3	24876216.0	805422.0	133239.0	101096.0	21331.0	360696.0	135375.0	33088.0	7575051.0
3270R1D4	20132859.0	679195.0	125414.0	92460.0	23153.0	315565.0	115913.0	20761.0	6378833.0
3270R3D3	14210824.0	472741.0	74223.0	62414.0	14839.0	210234.0	76714.0	18441.0	4438388.0
3270R3D4	13271531.0	460350.0	77175.0	59041.0	14202.0	203164.0	74139.0	17182.0	4267664.0
3270R4D3	12942126.0	436032.0	77962.0	61341.0	14473.0	197422.0	77753.0	20494.0	4162800.0
3270R4D4	11710558.0	409188.0	77750.0	55088.0	13543.0	195209.0	70772.0	15802.0	3885668.0
32G0R1D3	29367923.0	739756.0	110070.0	87744.0	19646.0	376938.0	155624.0	26348.0	7819355.0
32G0R1D4	1990300.0	56984.0	10253.0	10421.0	7005.0	29641.0	22231.0	7560.0	713897.0
32G0R3D3	37779265.0	1001044.0	153377.0	106711.0	19149.0	405404.0	192166.0	23514.0	9614220.0
32G0R3D4	31052825.0	786746.0	130180.0	103942.0	21368.0	385410.0	154323.0	28390.0	8670847.0
32G0R4D3	27654384.0	673586.0	106505.0	69125.0	17417.0	272413.0	141638.0	19602.0	6735822.0
32G0R4D4	21886122.0	545536.0	85852.0	71052.0	20329.0	299214.0	111501.0	20263.0	6226035.0
WT7005R1D3	28084737.0	783539.0	111523.0	73504.0	11343.0	328868.0	111603.0	14466.0	7240904.0
WT7005R1D4	18501640.0	574539.0	81913.0	54312.0	10000.0	270669.0	112239.0	12585.0	5613746.0
WT7005R3D3	40401423.0	926634.0	119749.0	73552.0	13703.0	416869.0	146585.0	19015.0	8821646.0
WT7005R3D4	38563771.0	975494.0	154067.0	100241.0	17114.0	449601.0	171012.0	22212.0	10033896.0
WT7005R4D3	5524237.0	239455.0	21325.0	12715.0	3996.0	94230.0	25378.0	4738.0	1772353.0
WT7005R4D4	19335465.0	818492.0	99789.0	67669.0	13257.0	325959.0	128761.0	14698.0	6270740.0
WT701R1D4	24360370.0	696489.0	92020.0	67688.0	11614.0	337116.0	108532.0	15051.0	7038718.0
WT701R3D4	27057312.0	672908.0	116505.0	68944.0	9965.0	320278.0	120505.0	14092.0	7102611.0
WT701R4D4	12451751.0	437574.0	61905.0	42154.0	9025.0	239665.0	76446.0	10584.0	4281790.0
WT70R1D3	29111480.0	913219.0	147557.0	107277.0	22545.0	383822.0	147506.0	31573.0	8442036.0
WT70R1D4	23797026.0	770136.0	156222.0	115945.0	28693.0	376185.0	140093.0	29879.0	7620900.0
WT70R3D3	27389612.0	900007.0	154037.0	122404.0	25983.0	388301.0	150093.0	32586.0	8486402.0
WT70R3D4	26497371.0	903194.0	169954.0	128865.0	29915.0	385622.0	156007.0	39225.0	8774316.0
WT70R4D3	12895102.0	475041.0	77127.0	57919.0	14760.0	190525.0	74637.0	17408.0	4128094.0
WT70R4D4	12912882.0	613454.0	76379.0	62738.0	19950.0	187321.0	63404.0	25521.0	4127720.0
WTG0R1D3	34834303.0	876954.0	144105.0	98695.0	21757.0	418496.0	178527.0	25331.0	9141378.0
WTG0R1D4	29192287.0	728098.0	122995.0	97255.0	18295.0	378499.0	150339.0	27622.0	8051483.0
WTG0R3D3	30520593.0	808946.0	112187.0	108631.0	28137.0	416545.0	157541.0	40821.0	8563042.0
WTG0R3D4	26142968.0	708797.0	90319.0	99997.0	33344.0	412686.0	135948.0	32391.0	8089035.0
WTG0R4D3	26087223.0	673948.0	106553.0	66809.0	20303.0	268888.0	138372.0	22619.0	6453638.0
WTG0R4D4	28532496.0	713800.0	117067.0	95480.0	22423.0	356592.0	140627.0	28200.0	7747362.0
