Sample	scaffold_1	scaffold_2	scaffold_3	scaffold_4	scaffold_5	scaffold_6	scaffold_7	scaffold_8	scaffold_9	scaffold_10	scaffold_11	scaffold_12	scaffold_13	scaffold_14	scaffold_15	scaffold_16	scaffold_17	scaffold_18	scaffold_19	scaffold_20	scaffold_21	scaffold_22	scaffold_23	scaffold_24	scaffold_25	scaffold_26	scaffold_27	scaffold_28	scaffold_29	scaffold_30	scaffold_31	scaffold_32	scaffold_33	scaffold_34	scaffold_35	scaffold_36	scaffold_37	scaffold_38	scaffold_39	scaffold_43	scaffold_45	scaffold_59	scaffold_93	scaffold_154	scaffold_155	scaffold_176
32701R1D4	5627314	3466745	3584404	2138801	2590925	2504769	2796968	2309133	2383364	2707226	2321064	1823667	1592012	3523306	1874952	1387697	1639340	1850077	4501816	1784424	1363849	1182631	1077329	512721	1514523	645378	542363	407964	719612	602833	390252	362139	415041	1800004	202373	202834	89935	113055	865438	129215	254832	237756	329332	140696	165510	116060
32701R3D4	4578706	2749647	2743016	1817964	2086121	2010524	2266369	1882688	2011951	2183693	1969207	1585674	1365718	1972900	1821284	1160212	1432076	1396900	2514593	1218547	1142103	948297	858630	451361	726518	602378	468009	425253	582245	586597	309362	236984	269381	323693	64289	198889	66792	103710	190344	23140	51531	47786	64174	26971	27686	20015
32701R4D4	3559594	2070279	2243157	1285439	1905104	1537776	1789649	1498100	1404673	1645111	1387623	1157535	1086645	1517264	1056025	950542	885081	1417356	2149070	915876	828531	683380	1054477	339039	539653	322502	309604	222872	514267	378528	249869	388210	280495	253032	56986	110453	65389	69542	166436	21101	46982	42992	59447	23286	26002	17928
3270R1D3	4827679	3069346	2827059	1692563	2016007	2123636	2312638	1608563	1850373	1991281	1596024	1556152	1901507	1554967	1279934	1032082	1063970	1782426	5198217	1202791	978883	942455	1065370	561005	588533	448285	375841	355467	521380	379188	253018	310388	269068	428671	105809	181908	77783	149857	156516	20775	39753	37288	51055	22148	25462	18152
3270R1D4	4331781	3025317	2601254	1503691	1845307	1929060	1999898	1526863	1753640	1785939	1553005	1460712	1296308	1616405	1169639	949365	966667	2101418	3873622	1028721	920190	915450	1020640	477504	489685	400505	348949	319985	506687	402754	271510	276105	268248	390908	108772	128820	81918	133097	110074	14321	28748	26712	36187	15517	16642	12155
3270R3D3	2889391	2101520	1538542	983055	1246862	1272670	1395911	1027977	1097422	1259859	976894	970202	981516	974745	775519	606399	620319	1086078	2568042	745556	578090	520405	653313	317762	436889	256534	230174	199523	328245	223266	148493	208926	160802	305116	105857	94265	48361	120278	133851	24572	45845	43141	60171	25941	32425	21767
3270R3D4	2688551	1910437	1555577	904637	1182259	1169179	1270457	933514	1021755	1121946	940956	908988	836359	995984	728700	581093	608313	1115411	2315702	719240	551107	509396	657749	292249	383036	255127	213901	190412	315574	236120	147232	223189	165047	308965	93986	86172	45072	110559	163515	21006	41737	39183	53223	22979	24727	18430
3270R4D3	2302554	1469644	1252957	774135	990605	991406	1022776	778876	876270	959068	756223	735795	802987	783245	592696	487983	491264	832583	1484962	590836	435404	419965	564813	257155	333442	205873	183491	163526	252455	179814	119221	200757	119093	268572	75757	81673	37602	64375	125036	18621	34383	32099	44727	19298	23727	16174
3270R4D4	2099463	1379682	1191457	700811	908274	900424	905109	719469	811851	865340	712228	710971	685723	752733	537552	450457	448078	838548	1581564	499238	411605	416911	570327	233372	254313	183149	172019	150287	223667	172582	115649	149568	115226	212205	47780	72243	36060	52167	64399	7490	15534	14338	19699	7706	9105	6176
32G0R1D3	5124155	2789760	2644284	2023640	2120265	2189540	2480800	2238466	2280787	2371658	1801844	1506961	1547734	1974439	1530842	1203658	1528413	1543143	1804238	1650853	1208416	770228	1242247	510389	1076748	567790	418481	361588	626927	483901	299531	318706	336925	572070	164973	179859	58527	113522	641240	71492	146610	136956	190705	77109	90892	61620
32G0R1D4	379879	236981	211136	152193	161196	166573	189662	165721	199713	189996	127367	123255	115054	155116	137641	97328	108690	154042	85563	522834	100700	61118	86891	46097	1066073	43068	28871	30500	51827	33904	22905	23297	21570	45253	171501	14788	6714	10793	604621	179900	239722	221628	328415	170125	249065	175217
32G0R3D3	6337691	3526990	3349233	2758690	2604677	2777156	2955541	2819363	2668466	2914648	2304490	1910142	1833120	2424384	1997414	1516921	1928623	1917578	2894736	1967617	1643046	1019699	1275322	700671	1176687	680272	498665	475576	752464	640307	374578	382311	342977	583902	163297	254721	84823	173783	463725	65978	131249	121828	164651	71953	78438	56276
32G0R3D4	5273143	3163151	2797612	2175780	2269980	2285728	2523344	2259271	2448542	2637521	1872092	1612851	1494003	1920207	1842070	1339451	1576548	1890206	1653600	1901146	1213180	847005	1434284	562282	1127899	590632	480485	399682	625867	510009	324675	333218	339886	578697	163051	185495	68677	145844	619121	82986	167062	156367	214535	87924	103635	71975
32G0R4D3	4540331	2554438	2327857	1954526	1910433	1951440	2100453	2013132	1969197	2148262	1674128	1426894	1384327	1621285	1390357	1061748	1345680	1475227	1366241	1527321	1106508	726674	908469	498283	1211964	482582	347347	342334	606571	468823	256674	278013	238359	465846	161545	167629	64218	142974	681244	96861	181621	168039	241664	98555	129829	84353
32G0R4D4	3642739	2137314	1880981	1458045	1551249	1521839	1692794	1557468	1609523	1814643	1287001	1113818	1006253	1300537	1198201	902854	1060555	1331952	895714	1301853	806524	546217	959548	367890	864914	373058	331453	278840	430301	360137	214018	240526	215200	418183	119945	126515	46453	95873	535489	68886	140882	131655	183280	71660	86287	59293
WT7005R1D3	4521712	2874312	2910792	1803787	2211151	2038205	2252662	1877852	1863870	2133420	1831293	1391866	1328146	3132041	1466435	1012514	1323230	1336252	5328425	1250721	1101106	1006436	719359	401777	797967	594224	497590	356532	578630	472840	325710	230846	275359	664685	107492	169907	71036	91478	262074	37944	75754	70829	97253	42804	49413	33240
WT7005R1D4	3578602	1961099	2163376	1258057	1554923	1457461	1683874	1362795	1407803	1609801	1336730	1083297	1139043	1463336	1020429	817305	941183	1322139	3061526	951438	804621	756108	751690	314500	606493	350718	298823	233188	456704	299362	261760	254851	275588	277424	65298	111221	65381	85640	249658	32634	69052	64593	88883	36627	42222	28430
WT7005R3D3	6941018	4263305	4067060	2656027	2976450	2871836	3359793	2656611	2660801	3155609	2746171	2137076	2008799	2744924	2443564	1591102	2005047	1849429	5670702	1833722	1709286	1300231	1100799	661279	1151212	940399	712524	587915	811183	688102	417017	273961	373071	643068	110916	321449	95408	149655	405722	42276	93478	87344	120277	48938	53797	36822
WT7005R3D4	6615275	3950629	3874750	2491849	2973937	2844231	3130379	2633708	2701280	3063864	2572164	2109706	1963807	3574095	2166095	1548540	1911094	2219309	4445573	1739896	1563773	1455272	1220815	596116	1058923	790734	654610	503270	821170	686790	463821	352564	381257	1948343	119893	252109	105361	140012	377077	42158	97490	91060	122503	49097	51602	36728
WT7005R4D3	973066	648973	667430	314711	480082	397374	470564	356692	360838	406033	343043	292042	323553	364619	247668	208894	225933	297207	1599126	286331	212818	168047	235826	86505	136728	86147	78794	46527	119169	73827	54369	115193	73879	120504	21460	31160	15322	24754	42219	8153	14072	13130	17828	8301	9684	6909
WT7005R4D4	3228911	1938247	2839203	1215648	1693588	1453451	1718199	1109376	1342182	1342234	1184720	1096382	1220357	1253089	833523	743576	861203	1916477	8173938	1090725	711857	777593	809423	377577	394176	302282	228242	201007	422098	362843	200397	207018	391876	216187	48560	88001	60693	61517	113404	13413	28616	26613	36589	14239	16645	11163
WT701R1D4	4549774	2868710	2979944	1708967	2191742	2022446	2235012	1735015	1851753	2141127	1763135	1400917	1324571	4265673	1350252	992720	1272679	1502697	4716165	1269862	1048547	1001265	778285	388993	734716	547985	469615	310950	581299	432318	350449	279693	322797	1355647	98649	159490	77416	91788	273553	34302	71298	66080	90976	38018	42793	29812
WT701R3D4	4342953	2541577	2740008	1714308	2087855	1915758	2113908	1863311	1950447	2148481	2028816	1493233	1343038	1856029	1714014	1167806	1318742	1462998	2290022	1115687	1032704	936266	894310	440389	712104	522828	475398	349950	561239	550415	308205	256699	319825	424273	58190	172677	64468	93106	191876	25489	54815	50775	67791	28987	30446	22503
WT701R4D4	2346772	1391868	1579499	832111	1309062	1025788	1180793	964214	955610	1053596	891880	739579	816315	1002023	665307	590803	595041	928274	2270478	657256	514798	490804	653509	213756	391510	218830	202592	141994	335757	237918	172612	263290	193370	194588	45380	69632	41112	46381	149082	20203	42363	39454	53907	22151	25376	17271
WT70R1D3	5488863	3354399	3478391	2013234	2239345	2446735	2650873	1763711	2114733	2197062	1794253	1754897	2394313	1696380	1467405	1176663	1273713	2090987	6646348	1463945	1151256	1163385	1094691	688724	797139	520846	418752	419575	564727	447378	266986	333245	311195	427574	113649	236011	88843	149136	296790	40614	78124	72944	103195	43040	53459	35935
WT70R1D4	5015707	3554370	2793960	1691599	2162489	2212701	2246051	1727326	1952459	2051437	1776108	1649438	1663906	1838658	1329315	1087706	1082100	2098163	3365302	1228205	1029702	907880	1262900	518594	596730	445621	399419	369404	541926	393670	290323	346721	254530	507866	124158	151867	91697	192125	186166	23308	45584	42834	57451	25067	27573	20004
WT70R3D3	5484320	3699647	3027217	1883693	2402737	2480264	2647560	1927201	2120838	2409707	1870184	1809985	1826767	1901012	1496873	1184525	1244799	2013176	4727388	1406221	1149393	1021046	1252796	613449	724034	502475	453517	392146	615241	431912	289496	387209	313992	699677	126068	193045	92468	251613	183895	24783	45629	42401	58254	25574	30203	21260
WT70R3D4	6177968	4226204	3542458	2122344	2665705	2768522	2829838	2128765	2396402	2609172	2136218	2028512	2124751	2210427	1678129	1339083	1392390	2539022	5413717	1568540	1317839	1141821	1472816	702633	767083	576330	495476	461097	670545	506559	328739	492269	362520	750130	144770	212258	109501	277058	209262	25735	51418	47782	66624	27209	31676	21896
WT70R4D3	2293234	1495352	1448240	785273	1030123	1014062	1043384	770864	859298	963712	755737	762441	748273	811061	587632	483852	498921	866032	2988626	576486	463420	435031	590810	251197	265532	196562	181863	144633	270959	204053	119717	169301	150175	327611	59842	67675	39029	74809	78215	9295	17524	16261	22519	9341	10788	7931
WT70R4D4	2900941	2075509	2167839	884384	1442833	1230205	1237933	872568	1024176	1120103	881306	983195	1044136	1059363	672092	535945	580867	1038727	8876667	721959	485303	509503	762576	326723	288046	219225	212635	143152	296125	211252	130478	254752	191120	467573	69420	80748	45481	65151	82126	10943	19436	18134	24846	11220	12883	9399
WTG0R1D3	5829055	3229390	3007056	2396938	2385893	2549105	2742123	2582821	2591646	2689336	2186866	1725906	1893217	2316939	1890753	1493640	1770351	2128171	1696258	1827574	1388017	941870	1246139	623802	1173508	650587	486044	443049	709061	627367	351289	310681	318852	710304	171811	217035	80848	142512	570087	75818	155049	143382	199841	81375	94827	65092
WTG0R1D4	4933510	2955438	2500590	2025677	2070245	2119291	2420866	2165567	2170996	2485542	1830461	1485746	1513801	1780723	1911581	1285366	1506322	1940106	1326380	1663282	1111551	797388	1224386	566772	986184	520950	440803	392951	588117	493082	292559	267854	274036	447456	127064	170553	74533	129173	503262	61974	129481	120737	169683	67009	78886	53285
WTG0R3D3	5842178	3325480	3006916	2322690	2407178	2499849	2756109	2458251	2501274	2656413	1942388	1722533	1659398	2177302	2000199	1373623	1626443	1743627	2255290	2397823	1328092	835061	1387993	632590	1959191	662023	483564	385358	698928	538145	331342	479797	341249	736299	284802	212517	77076	157823	1312123	186589	339064	315084	455102	193998	235710	166667
WTG0R3D4	5150651	3070629	2608836	2024409	2128892	2165971	2428051	2044148	2312579	2376427	1611227	1455223	1514104	1920693	1873530	1204975	1382732	1616599	1776702	2171933	1118330	690598	1349099	556366	1493166	594731	428441	316715	587597	463041	275324	490499	307141	879450	242681	183420	61739	134872	1265072	152582	289396	270501	374489	159195	196369	137617
WTG0R4D3	4495711	2545177	2386726	1902975	1845152	1872788	1949590	1936284	1844127	1955085	1732280	1418671	1324032	1551280	1369097	1006031	1257012	1487865	1621066	1583955	1095788	706445	858175	512837	1402914	464665	326203	339489	577138	443587	245037	272885	206587	440315	198895	161105	63138	167071	929315	137701	259723	242502	345972	146650	181876	121620
