Sample	Mapped
32701R1D4	61516837.0
32701R3D4	47381006.0
32701R4D4	36463462.0
3270R1D3	46577798.0
3270R1D4	42738308.0
3270R3D3	28115240.0
3270R3D4	26591205.0
3270R4D3	21837807.0
3270R4D4	20126970.0
32G0R1D3	50482806.0
32G0R1D4	5142257.0
32G0R3D3	62586350.0
32G0R3D4	53665819.0
32G0R4D3	45300439.0
32G0R4D4	36529507.0
WT7005R1D3	48586463.0
WT7005R1D4	35141375.0
WT7005R3D3	68868388.0
WT7005R3D4	68567732.0
WT7005R4D3	9769310.0
WT7005R4D4	35860581.0
WT701R1D4	49789698.0
WT701R3D4	45736745.0
WT701R4D4	24487351.0
WT70R1D3	53773946.0
WT70R1D4	48226448.0
WT70R3D3	53558267.0
WT70R3D4	60454719.0
WT70R4D3	22605013.0
WT70R4D4	29588270.0
WTG0R1D3	58156873.0
WTG0R1D4	49828287.0
WTG0R3D3	58554627.0
WTG0R3D4	51700566.0
WTG0R4D3	44518781.0
WTG0R4D4	51517769.0
