Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
32701R1D4	30008373.0	757387.0	19706.0	7126656.0	209720.0
32701R3D4	23327623.0	368408.0	9376.0	1242246.0	82649.0
32701R4D4	17900278.0	335380.0	10439.0	1269642.0	70536.0
3270R1D3	22667551.0	629282.0	24055.0	1052410.0	186441.0
3270R1D4	20850105.0	526561.0	20306.0	978313.0	216901.0
3270R3D3	13707709.0	353041.0	11654.0	8019098.0	153486.0
3270R3D4	12980630.0	317612.0	10842.0	4893723.0	95166.0
3270R4D3	10694085.0	227402.0	6518.0	854545.0	50894.0
3270R4D4	9850292.0	215019.0	5980.0	530392.0	171407.0
32G0R1D3	24796168.0	449520.0	4019.0	3335296.0	57308.0
32G0R1D4	2313665.0	257900.0	454.0	3422754.0	9006.0
32G0R3D3	30739032.0	561101.0	9944.0	2285936.0	107891.0
32G0R3D4	26377629.0	462713.0	3237.0	2796284.0	56401.0
32G0R4D3	22202834.0	451241.0	3132.0	3117095.0	46485.0
32G0R4D4	17955855.0	311800.0	2161.0	2377474.0	26876.0
WT7005R1D3	23679558.0	620698.0	28949.0	1470097.0	213359.0
WT7005R1D4	17161494.0	414419.0	14234.0	1729210.0	120597.0
WT7005R3D3	33746198.0	697923.0	26898.0	2155440.0	232124.0
WT7005R3D4	33659438.0	633168.0	16917.0	2358951.0	187979.0
WT7005R4D3	4715514.0	170766.0	8953.0	750043.0	82447.0
WT7005R4D4	17116000.0	819389.0	49827.0	771717.0	275613.0
WT701R1D4	24291161.0	609509.0	23707.0	6485897.0	199128.0
WT701R3D4	22518783.0	356284.0	9015.0	1623796.0	120738.0
WT701R4D4	11941645.0	305392.0	12928.0	6312844.0	83972.0
WT70R1D3	26063994.0	834390.0	31379.0	1822914.0	272857.0
WT70R1D4	23613964.0	508071.0	14942.0	1166466.0	173187.0
WT70R3D3	26174797.0	613903.0	21920.0	1213323.0	177766.0
WT70R3D4	29509990.0	726365.0	27122.0	1574064.0	156767.0
WT70R4D3	10963909.0	341406.0	14423.0	720027.0	101994.0
WT70R4D4	13937799.0	861052.0	51283.0	973299.0	311520.0
WTG0R1D3	28564934.0	521552.0	3298.0	2715811.0	66939.0
WTG0R1D4	24517142.0	407880.0	1077.0	2353466.0	19112.0
WTG0R3D3	28570369.0	716770.0	7190.0	6197423.0	92499.0
WTG0R3D4	25244642.0	612927.0	3853.0	5102048.0	74482.0
WTG0R4D3	21720042.0	545981.0	6530.0	4251522.0	58495.0
WTG0R4D4	25336581.0	429083.0	1706.0	3418277.0	32165.0
