[2023-04-24 05:00:50,611] multiqc                                            [DEBUG  ]  This is MultiQC v1.13
[2023-04-24 05:00:50,626] multiqc                                            [DEBUG  ]  Loading config settings from: multiqc_config.yml
[2023-04-24 05:00:50,626] multiqc                                            [DEBUG  ]  New config: {'report_comment': 'This report has been generated by the <a href="https://github.com/nf-core/rnaseq" target="_blank">nf-core/rnaseq</a> analysis pipeline. For information about how to interpret these results, please see the <a href="https://nf-co.re/rnaseq" target="_blank">documentation</a>.\n', 'report_section_order': {'nf-core-rnaseq-methods-description': {'order': -1000}, 'software_versions': {'order': -1001}, 'nf-core-rnaseq-summary': {'order': -1002}}, 'export_plots': True, 'run_modules': ['custom_content', 'fastqc', 'cutadapt', 'sortmerna', 'star', 'hisat2', 'rsem', 'salmon', 'samtools', 'picard', 'preseq', 'rseqc', 'qualimap'], 'top_modules': ['fail_trimmed_samples', 'fail_mapped_samples', 'fail_strand_check', 'star_rsem_deseq2_pca', 'star_rsem_deseq2_clustering', 'star_salmon_deseq2_pca', 'star_salmon_deseq2_clustering', 'salmon_deseq2_pca', 'salmon_deseq2_clustering', 'biotype_counts', 'dupradar'], 'module_order': [{'fastqc': {'name': 'FastQC (raw)', 'info': 'This section of the report shows FastQC results before adapter trimming.', 'path_filters': ['./fastqc/*.zip']}}, 'cutadapt', {'fastqc': {'name': 'FastQC (trimmed)', 'info': 'This section of the report shows FastQC results after adapter trimming.', 'path_filters': ['./trimgalore/fastqc/*.zip']}}], 'table_columns_visible': {'fastqc': {'percent_duplicates': False}}, 'custom_data': {'fail_trimmed_samples': {'section_name': 'WARNING: Fail Trimming Check', 'description': "List of samples that failed the minimum trimmed reads threshold specified via the '--min_trimmed_reads' parameter, and hence were ignored for the downstream processing steps.", 'plot_type': 'table', 'pconfig': {'id': 'fail_trimmed_samples_table', 'table_title': 'Samples failed trimming threshold', 'namespace': 'Samples failed trimming threshold', 'format': '{:.0f}'}}, 'fail_mapped_samples': {'section_name': 'WARNING: Fail Alignment Check', 'description': "List of samples that failed the STAR minimum mapped reads threshold specified via the '--min_mapped_reads' parameter, and hence were ignored for the downstream processing steps.", 'plot_type': 'table', 'pconfig': {'id': 'fail_mapped_samples_table', 'table_title': 'Samples failed mapping threshold', 'namespace': 'Samples failed mapping threshold', 'format': '{:.2f}'}}, 'fail_strand_check': {'section_name': 'WARNING: Fail Strand Check', 'description': "List of samples that failed the strandedness check between that provided in the samplesheet and calculated by the <a href='http://rseqc.sourceforge.net/#infer-experiment-py'>RSeQC infer_experiment.py</a> tool.", 'plot_type': 'table', 'pconfig': {'id': 'fail_strand_check_table', 'table_title': 'Samples failed strandedness check', 'namespace': 'Samples failed strandedness check', 'format': '{:.2f}'}}}}
[2023-04-24 05:00:50,626] multiqc                                            [DEBUG  ]  Added to filename patterns: [{'cutadapt': {'fn': '*trimming_report.txt'}, 'sortmerna': {'fn': '*.sortmerna.log'}, 'hisat2': {'fn': '*.hisat2.summary.log'}, 'salmon/meta': {'fn': 'meta_info.json'}, 'preseq': {'fn': '*.lc_extrap.txt'}, 'samtools/stats': {'fn': '*.stats'}, 'samtools/flagstat': {'fn': '*.flagstat'}, 'samtools/idxstats': {'fn': '*.idxstats*'}, 'rseqc/bam_stat': {'fn': '*.bam_stat.txt'}, 'rseqc/gene_body_coverage': {'skip': True}, 'rseqc/junction_annotation': {'fn': '*.junction_annotation.log'}, 'rseqc/read_gc': {'skip': True}, 'rseqc/read_distribution': {'fn': '*.read_distribution.txt'}, 'rseqc/infer_experiment': {'fn': '*.infer_experiment.txt'}, 'rseqc/tin': {'fn': '*.summary.txt'}, 'picard/markdups': {'fn': '*.MarkDuplicates.metrics.txt'}, 'picard/alignment_metrics': {'skip': True}, 'picard/basedistributionbycycle': {'skip': True}, 'picard/gcbias': {'skip': True}, 'picard/hsmetrics': {'skip': True}, 'picard/insertsize': {'skip': True}, 'picard/oxogmetrics': {'skip': True}, 'picard/pcr_metrics': {'skip': True}, 'picard/quality_by_cycle': {'skip': True}, 'picard/quality_score_distribution': {'skip': True}, 'picard/quality_yield_metrics': {'skip': True}, 'picard/rnaseqmetrics': {'skip': True}, 'picard/rrbs_metrics': {'skip': True}, 'picard/sam_file_validation': {'skip': True}, 'picard/variant_calling_metrics': {'skip': True}, 'picard/wgs_metrics': {'skip': True}}]
[2023-04-24 05:00:50,626] multiqc                                            [DEBUG  ]  Added to filename clean extensions: [['.umi_dedup', '_val', '.markdup']]
[2023-04-24 05:00:50,626] multiqc                                            [DEBUG  ]  Command used: /usr/local/bin/multiqc -f .
[2023-04-24 05:00:50,840] multiqc                                            [WARNING]  MultiQC Version v1.14 now available!
[2023-04-24 05:00:50,840] multiqc                                            [DEBUG  ]  Working dir : /gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf
[2023-04-24 05:00:50,840] multiqc                                            [DEBUG  ]  Template    : default
[2023-04-24 05:00:50,840] multiqc                                            [DEBUG  ]  Running Python 3.10.6 | packaged by conda-forge | (main, Aug 22 2022, 20:35:26) [GCC 10.4.0]
[2023-04-24 05:00:50,840] multiqc                                            [INFO   ]  Only using modules: custom_content, fastqc, cutadapt, sortmerna, star, hisat2, rsem, salmon, samtools, picard, preseq, rseqc, qualimap
