Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
32701R1D4_1	3.4	40794508	23784440	40794508	6119176200	18912918	5278302187	13.741621184237186
32701R1D4_2	3.4	40794508	21193599	40794508	6119176200	17596787	5666458709	7.39834049884035
32701R3D4_1	3.4	26330742	13434177	26330742	3949611300	8619339	3558514836	9.902150725566337
32701R3D4_2	3.4	26330742	12145174	26330742	3949611300	7617388	3747236786	5.123909636373584
32701R4D4_1	3.4	28337627	18627096	28337627	4250644050	9032984	2773775456	34.744584035447524
32701R4D4_2	3.4	28337627	9995924	28337627	4250644050	11884814	4072771755	4.184596331937039
3270R1D3_1	3.4	30600495	19649139	30600495	4590074250	7056156	3410533809	25.697633126522952
3270R1D3_2	3.4	30600495	13664747	30600495	4590074250	10620909	4303923463	6.234121092921318
3270R1D4_1	3.4	30636245	19434248	30636245	4595436750	6212466	3205493934	30.246152686140228
3270R1D4_2	3.4	30636245	11457533	30636245	4595436750	10260504	4396836383	4.321686442534543
3270R3D3_1	3.4	26187474	19988614	26187474	3928121100	8940182	2417510307	38.45631930746738
3270R3D3_2	3.4	26187474	16076614	26187474	3928121100	10404796	3001174160	23.597718003144045
3270R3D4_1	3.4	29079172	21870668	29079172	4361875800	7051409	2258643180	48.2185352457766
3270R3D4_2	3.4	29079172	11155620	29079172	4361875800	8354695	3862652671	11.44514772749834
3270R4D3_1	3.4	23031876	17689559	23031876	3454781400	5156982	1641980434	52.472233583288364
3270R4D3_2	3.4	23031876	6543615	23031876	3454781400	4972949	3309704321	4.199312842196036
3270R4D4_1	3.4	21853082	16562504	21853082	3277962300	4010702	1520440671	53.61628561133849
3270R4D4_2	3.4	21853082	5557286	21853082	3277962300	4545862	3168579900	3.336902318858274
32G0R1D3_1	3.4	32298318	19099091	32298318	4844747700	4771390	3971275711	18.02925648739149
32G0R1D3_2	3.4	32298318	15454763	32298318	4844747700	7642107	4513334921	6.840661258789596
32G0R1D4_1	3.4	18149514	16498447	18149514	2722427100	3888952	759274523	72.11038183538506
32G0R1D4_2	3.4	18149514	4464137	18149514	2722427100	6419278	2565823840	5.752339888182865
32G0R3D3_1	3.4	34295787	18617095	34295787	5144368050	9713838	4712691544	8.391244596117108
32G0R3D3_2	3.4	34295787	18027439	34295787	5144368050	9595868	4793304045	6.824239665355981
32G0R3D4_1	3.4	30752526	16820916	30752526	4612878900	9015624	4169763601	9.606046649089357
32G0R3D4_2	3.4	30752526	15772549	30752526	4612878900	9795925	4319684362	6.355999026985079
32G0R4D3_1	3.4	27308786	16121556	27308786	4096317900	9196690	3573641554	12.75966267168864
32G0R4D3_2	3.4	27308786	14628635	27308786	4096317900	7012736	3792182777	7.424597661231322
32G0R4D4_1	3.4	25012610	14785214	25012610	3751891500	6179651	2938399054	21.68219539397661
32G0R4D4_2	3.4	25012610	10452110	25012610	3751891500	5401955	3584309876	4.466590358489844
WT7005R1D3_1	3.4	27336253	15229413	27336253	4100437950	6066740	3639776175	11.234453017390496
WT7005R1D3_2	3.4	27336253	13922206	27336253	4100437950	9313982	3830388701	6.585863566110055
WT7005R1D4_1	3.4	39597747	30959379	39597747	5939662050	5522439	2682439253	54.838520602363225
WT7005R1D4_2	3.4	39597747	10890278	39597747	5939662050	11226358	5688127842	4.23482356205771
WT7005R3D3_1	3.4	38080974	18774236	38080974	5712146100	11708354	5261325322	7.892318755642472
WT7005R3D3_2	3.4	38080974	17539654	38080974	5712146100	11037320	5435139039	4.849439355201366
WT7005R3D4_1	3.4	37436132	18722265	37436132	5615419800	15332645	5228138262	6.896751298985697
WT7005R3D4_2	3.4	37436132	18178234	37436132	5615419800	12910652	5308027048	5.474083202114293
WT7005R4D3_1	3.4	20925838	18379206	20925838	3138875700	4782047	784313893	75.01290372855478
WT7005R4D3_2	3.4	20925838	3299964	20925838	3138875700	5560500	3046396158	2.946263275095602
WT7005R4D4_1	3.4	23916546	14930426	23916546	3587481900	7832947	2663068647	25.76774681427661
WT7005R4D4_2	3.4	23916546	10062830	23916546	3587481900	7167426	3386676618	5.597388017483795
WT701R1D4_1	3.4	33527769	22060427	33527769	5029165350	19438089	3930205922	21.85172591312791
WT701R1D4_2	3.4	33527769	20240893	33527769	5029165350	21520762	4209443589	16.299359912674177
WT701R3D4_1	3.4	26000842	14107800	26000842	3900126300	10989926	3427725773	12.112441768872973
WT701R3D4_2	3.4	26000842	12767004	26000842	3900126300	8988596	3624750965	7.060677368320098
WT701R4D4_1	3.4	28734127	21548805	28734127	4310119050	8449622	2273073436	47.26193384379951
WT701R4D4_2	3.4	28734127	11615598	28734127	4310119050	13970897	3766227646	12.618941558006386
WT70R1D3_1	3.4	30018450	16843560	30018450	4502767500	9050732	4049720559	10.061521963992146
WT70R1D3_2	3.4	30018450	15873328	30018450	4502767500	13363179	4187574812	6.999976969719178
WT70R1D4_1	3.4	29379697	17901183	29379697	4406954550	7843306	3535714866	19.769654397729152
WT70R1D4_2	3.4	29379697	14081012	29379697	4406954550	11258656	4105776315	6.8341579560878385
WT70R3D3_1	3.4	30383644	18137387	30383644	4557546600	12135493	3886024343	14.734292722316871
WT70R3D3_2	3.4	30383644	15987509	30383644	4557546600	12214568	4200434034	7.835631697106509
WT70R3D4_1	3.4	43918730	29362927	43918730	6587809500	10823215	4449551081	32.45780587614138
WT70R3D4_2	3.4	43918730	17489633	43918730	6587809500	13153810	6219007542	5.598248674312759
WT70R4D3_1	3.4	23759237	17771631	23759237	3563885550	4088983	1718159492	51.789711877812685
WT70R4D3_2	3.4	23759237	6184500	23759237	3563885550	4556100	3450730976	3.1750338896264503
