Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
32701R1D4_1	32701R1D4_1.gz	Conventional base calls	Sanger / Illumina 1.9	40794508.0	0.0	150.0	52.0	28.256204002729234	150.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	fail	fail
32701R1D4_2	32701R1D4_2.gz	Conventional base calls	Sanger / Illumina 1.9	40794508.0	0.0	150.0	53.0	30.954421746788075	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
32701R3D4_1	32701R3D4_1.gz	Conventional base calls	Sanger / Illumina 1.9	26330742.0	0.0	150.0	53.0	36.47304996467054	150.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	fail	fail
32701R3D4_2	32701R3D4_2.gz	Conventional base calls	Sanger / Illumina 1.9	26330742.0	0.0	150.0	54.0	40.01876135410062	150.0	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
32701R4D4_1	32701R4D4_1.gz	Conventional base calls	Sanger / Illumina 1.9	28337627.0	0.0	150.0	58.0	25.60461405074646	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
32701R4D4_2	32701R4D4_2.gz	Conventional base calls	Sanger / Illumina 1.9	28337627.0	0.0	150.0	63.0	32.22480061092564	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
3270R1D3_1	3270R1D3_1.gz	Conventional base calls	Sanger / Illumina 1.9	30600495.0	0.0	150.0	56.0	30.753677963353848	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
3270R1D3_2	3270R1D3_2.gz	Conventional base calls	Sanger / Illumina 1.9	30600495.0	0.0	150.0	59.0	35.484259566441054	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
3270R1D4_1	3270R1D4_1.gz	Conventional base calls	Sanger / Illumina 1.9	30636245.0	0.0	150.0	58.0	27.710430821827476	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
3270R1D4_2	3270R1D4_2.gz	Conventional base calls	Sanger / Illumina 1.9	30636245.0	0.0	150.0	62.0	33.24236055114918	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
3270R3D3_1	3270R3D3_1.gz	Conventional base calls	Sanger / Illumina 1.9	26187474.0	0.0	150.0	57.0	48.9894715585279	150.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
3270R3D3_2	3270R3D3_2.gz	Conventional base calls	Sanger / Illumina 1.9	26187474.0	0.0	150.0	58.0	53.18177802544617	150.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	fail	fail
