Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
32701R1D4_1	32701R1D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38121842.0	0.0	20-150	50.0	31.00700857017068	138.0295957892066	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
32701R1D4_2	32701R1D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38121842.0	0.0	20-150	50.0	32.55981261164188	137.99969421729412	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
32701R3D4_1	32701R3D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25030302.0	0.0	20-150	52.0	38.84125766738409	141.69410077433344	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
32701R3D4_2	32701R3D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25030302.0	0.0	20-150	52.0	41.44771898476367	141.6660687913394	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
32701R4D4_1	32701R4D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19586275.0	0.0	20-150	50.0	39.02172618201775	141.15818112428218	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
32701R4D4_2	32701R4D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19586275.0	0.0	20-150	51.0	41.503651426311485	141.09385730568982	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
3270R1D3_1	3270R1D3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24559739.0	0.0	20-150	51.0	39.773606409293215	138.39594850743325	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
3270R1D3_2	3270R1D3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	24559739.0	0.0	20-150	51.0	41.080549345616866	138.37225293803	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
3270R1D4_1	3270R1D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22592186.0	0.0	20-150	51.0	39.20673100206421	141.37565815897585	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
3270R1D4_2	3270R1D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22592186.0	0.0	20-150	51.0	41.3698829395681	141.33468142480768	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
3270R3D3_1	3270R3D3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22244988.0	0.0	20-150	50.0	58.895459799364524	108.70616617100445	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
3270R3D3_2	3270R3D3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22244988.0	0.0	20-150	50.0	59.52585165367559	108.73316061128017	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
3270R3D4_1	3270R3D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18297973.0	0.0	20-150	50.0	52.27190103371456	123.25148681769286	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
3270R3D4_2	3270R3D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18297973.0	0.0	20-150	51.0	53.655870422266496	123.23684721799513	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
3270R4D3_1	3270R4D3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11833444.0	0.0	20-150	51.0	49.75843778709314	138.30240249584145	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
3270R4D3_2	3270R4D3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11833444.0	0.0	20-150	51.0	51.28158543331821	138.26880407766328	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
3270R4D4_1	3270R4D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10773090.0	0.0	20-150	51.0	51.249562709390084	140.6784126002846	pass	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass
3270R4D4_2	3270R4D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10773090.0	0.0	20-150	51.0	53.13062013362659	140.6525232779082	pass	pass	pass	pass	fail	warn	pass	warn	warn	fail	pass
32G0R1D3_1	32G0R1D3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28642311.0	0.0	20-150	51.0	36.081548922513974	138.2427561798348	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
32G0R1D3_2	32G0R1D3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28642311.0	0.0	20-150	51.0	37.89188932917426	138.2114356275232	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
32G0R1D4_1	32G0R1D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6003779.0	0.0	20-150	49.0	24.379117978129997	126.09572787406066	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
32G0R1D4_2	32G0R1D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6003779.0	0.0	20-150	50.0	25.488412447984	126.02358980901862	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
32G0R3D3_1	32G0R3D3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33703904.0	0.0	20-150	51.0	35.096891101388174	139.3696397307564	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
32G0R3D3_2	32G0R3D3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33703904.0	0.0	20-150	51.0	36.92982498669071	139.3325385391556	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
32G0R3D4_1	32G0R3D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29696264.0	0.0	20-150	51.0	35.74225480188629	139.9396228427926	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
32G0R3D4_2	32G0R3D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29696264.0	0.0	20-150	51.0	37.69057437350904	139.90621897757913	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
32G0R4D3_1	32G0R4D3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25820787.0	0.0	20-150	51.0	37.00405734121637	138.00655801079958	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
32G0R4D3_2	32G0R4D3_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25820787.0	0.0	20-150	51.0	38.20051228854717	137.99605484526865	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
32G0R4D4_1	32G0R4D4_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20674166.0	0.0	20-150	50.0	38.69750305151741	141.68774837156673	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
32G0R4D4_2	32G0R4D4_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20674166.0	0.0	20-150	50.0	40.39042661370018	141.66567652595998	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
WT7005R1D3_1	WT7005R1D3_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	26012661.0	0.0	20-150	51.0	35.606227487204656	139.45813917307422	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
