Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
32701R1D4	Unknown Library	14683.0	30751077.0	5567065.0	0.0	13235.0	10910392.0	344959.0	0.354928	32887456.0
32701R3D4	Unknown Library	11056.0	23684975.0	2311031.0	0.0	9598.0	5902336.0	274590.0	0.249346	40527411.0
32701R4D4	Unknown Library	7854.0	18227804.0	2177416.0	0.0	6640.0	5811121.0	223819.0	0.318919	22630192.0
3270R1D3	Unknown Library	15868.0	23280965.0	4432886.0	0.0	13483.0	7098897.0	260475.0	0.305108	30618528.0
3270R1D4	Unknown Library	15024.0	21361642.0	3418487.0	0.0	12752.0	8092349.0	242337.0	0.378991	20817115.0
3270R3D3	Unknown Library	6260.0	14054490.0	2449356.0	0.0	5032.0	4774667.0	139968.0	0.339829	15932490.0
3270R3D4	Unknown Library	5279.0	13292963.0	2182500.0	0.0	4258.0	4559602.0	154484.0	0.343101	14912019.0
3270R4D3	Unknown Library	5167.0	10916320.0	1508226.0	0.0	3828.0	2359724.0	116480.0	0.216289	22256654.0
3270R4D4	Unknown Library	3652.0	10061659.0	1365685.0	0.0	2751.0	2231807.0	106309.0	0.221909	19862044.0
32G0R1D3	Unknown Library	8570.0	25237118.0	2889431.0	0.0	7490.0	6821570.0	290323.0	0.270402	38903368.0
32G0R1D4	Unknown Library	873.0	2570692.0	2768729.0	0.0	640.0	1207960.0	21904.0	0.469942	1798946.0
32G0R3D3	Unknown Library	13916.0	31286217.0	3537003.0	0.0	12270.0	7777813.0	350998.0	0.248743	53640399.0
32G0R3D4	Unknown Library	14865.0	26825477.0	2982645.0	0.0	12844.0	7160608.0	286188.0	0.267099	41936201.0
32G0R4D3	Unknown Library	7711.0	22646364.0	2901901.0	0.0	6623.0	5582610.0	228761.0	0.246617	39118226.0
32G0R4D4	Unknown Library	5803.0	18261852.0	2000328.0	0.0	4878.0	4340262.0	208940.0	0.237764	33163182.0
WT7005R1D3	Unknown Library	14049.0	24286207.0	4621119.0	0.0	12303.0	6866039.0	267788.0	0.282885	35276153.0
WT7005R1D4	Unknown Library	10451.0	17565462.0	3032234.0	0.0	8896.0	5553949.0	203737.0	0.316345	22023486.0
WT7005R3D3	Unknown Library	19854.0	34424267.0	4906824.0	0.0	17948.0	10291048.0	414472.0	0.299122	46564723.0
WT7005R3D4	Unknown Library	17480.0	34275126.0	4140544.0	0.0	15707.0	10238617.0	416951.0	0.298872	46422569.0
WT7005R4D3	Unknown Library	3250.0	4883030.0	1353294.0	0.0	2475.0	1300387.0	46705.0	0.266472	7635087.0
WT7005R4D4	Unknown Library	10197.0	17925192.0	6581724.0	0.0	8569.0	4978568.0	205947.0	0.277901	26674785.0
WT701R1D4	Unknown Library	11642.0	24889028.0	4228502.0	0.0	10442.0	9428050.0	256408.0	0.378925	24221883.0
WT701R3D4	Unknown Library	13389.0	22861678.0	2230519.0	0.0	11578.0	5952600.0	269466.0	0.260552	37007934.0
WT701R4D4	Unknown Library	6723.0	12240314.0	2187854.0	0.0	5542.0	3903554.0	144974.0	0.319048	15177228.0
WT70R1D3	Unknown Library	22822.0	26875562.0	5836065.0	0.0	19772.0	8174338.0	302251.0	0.304394	35469186.0
WT70R1D4	Unknown Library	17622.0	24104413.0	3317010.0	0.0	15013.0	8386352.0	280905.0	0.348102	26512917.0
WT70R3D3	Unknown Library	19133.0	26769567.0	4162995.0	0.0	16345.0	8882786.0	272046.0	0.332011	31352389.0
WT70R3D4	Unknown Library	17991.0	30218364.0	4930896.0	0.0	15681.0	12568353.0	345105.0	0.416053	25661194.0
WT70R4D3	Unknown Library	5617.0	11299698.0	2455812.0	0.0	4305.0	2779403.0	125284.0	0.246101	19628818.0
WT70R4D4	Unknown Library	9432.0	14789419.0	6821109.0	0.0	7863.0	6287561.0	162227.0	0.425269	12141683.0
WTG0R1D3	Unknown Library	16099.0	29070387.0	3091527.0	0.0	14135.0	7266824.0	351270.0	0.250147	49616563.0
WTG0R1D4	Unknown Library	21757.0	24903265.0	2571164.0	0.0	18771.0	6424865.0	318259.0	0.258257	40900897.0
WTG0R3D3	Unknown Library	19651.0	29267488.0	5276099.0	0.0	17492.0	9974376.0	335595.0	0.340985	33118396.0
WTG0R3D4	Unknown Library	14572.0	25842997.0	4563764.0	0.0	13090.0	8950786.0	272240.0	0.346508	28551763.0
WTG0R4D3	Unknown Library	13265.0	22252758.0	3724753.0	0.0	11270.0	6136942.0	238528.0	0.275954	33358016.0
WTG0R4D4	Unknown Library	13559.0	25752105.0	2790152.0	0.0	11779.0	7743519.0	297375.0	0.300844	34529404.0
