Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
32701R1D4	67083902	0	21834019	5567065	0	620645	39062173	19531350	19530823	19531097	19531076	37813233	1248940	39060746	0	58.22883260428113	58.226705417344384
32701R3D4	49692037	0	11814270	2311031	0	442686	35124050	17562433	17561617	17562021	17562029	33913247	1210803	35122608	0	70.68345779425384	70.68055592086112
32701R4D4	38640878	0	11628882	2177416	0	365709	24468871	12234655	12234216	12234434	12234437	23760491	708380	24467672	0	63.32379662801658	63.32069369645276
3270R1D3	51010684	0	14211277	4432886	0	542181	31824340	15912861	15911479	15912161	15912179	30786976	1037364	31821974	0	62.3875970767222	62.38295883270257
3270R1D4	46156795	0	16197450	3418487	0	457055	26083803	13042491	13041312	13041919	13041884	25266450	817353	26081554	0	56.51129589911951	56.506423377099736
3270R3D3	30564596	0	9554366	2449356	0	332133	18228741	9114642	9114099	9114374	9114367	17593171	635570	18227534	0	59.64005217016446	59.6361031567373
3270R3D4	28773705	0	9123462	2182500	0	314348	17153395	8576888	8576507	8576687	8576708	16567826	585569	17152390	0	59.61482888630435	59.61133611399714
3270R4D3	23346033	0	4723276	1508226	0	280413	16834118	8417446	8416672	8417036	8417082	16288033	546085	16832788	0	72.10697423412363	72.10127733478318
3270R4D4	21492655	0	4466365	1365685	0	254896	15405709	7703069	7702640	7702846	7702863	14945823	459886	15404818	0	71.6789479940938	71.67480239179385
32G0R1D3	53372237	0	13650630	2889431	0	498955	36333221	18166915	18166306	18166605	18166616	35119047	1214174	36332150	0	68.07513239514394	68.07312573389045
32G0R1D4	7910986	0	2416560	2768729	0	126632	2599065	1299614	1299451	1299536	1299529	2537678	61387	2598836	0	32.85386929012389	32.850974581423856
