Sample	pe_sense	pe_antisense	failed
32701R1D4	0.5027	0.4968	0.0005
32701R3D4	0.4988	0.501	0.0002
32701R4D4	0.499	0.494	0.007
3270R1D3	0.4959	0.4925	0.0116
3270R1D4	0.499	0.4934	0.0076
3270R3D3	0.4992	0.4921	0.0087
3270R3D4	0.4976	0.4951	0.0074
3270R4D3	0.4953	0.497	0.0076
3270R4D4	0.5024	0.4913	0.0062
32G0R1D3	0.5016	0.4982	0.0002
32G0R1D4	0.4994	0.4978	0.0028
32G0R3D3	0.5014	0.4984	0.0001
32G0R3D4	0.5026	0.4972	0.0003
32G0R4D3	0.5003	0.4996	0.0001
32G0R4D4	0.5	0.4929	0.0072
WT7005R1D3	0.5002	0.4995	0.0003
WT7005R1D4	0.498	0.4945	0.0074
WT7005R3D3	0.5017	0.4983	0.0
WT7005R3D4	0.5014	0.4985	0.0001
WT7005R4D3	0.501	0.4957	0.0033
WT7005R4D4	0.4997	0.4937	0.0066
WT701R1D4	0.4924	0.4951	0.0125
WT701R3D4	0.4963	0.4955	0.0082
WT701R4D4	0.4964	0.4974	0.0062
WT70R1D3	0.4987	0.501	0.0003
WT70R1D4	0.4948	0.4943	0.011
WT70R3D3	0.5029	0.4967	0.0005
WT70R3D4	0.4994	0.4911	0.0095
WT70R4D3	0.4989	0.4957	0.0054
WT70R4D4	0.4995	0.4938	0.0068
WTG0R1D3	0.4985	0.5014	0.0001
WTG0R1D4	0.4992	0.4995	0.0012
WTG0R3D3	0.4995	0.5002	0.0003
WTG0R3D4	0.4993	0.4895	0.0112
WTG0R4D3	0.4955	0.497	0.0075
WTG0R4D4	0.4975	0.4931	0.0094
