Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
32701R1D4	1350448	871351	31752	423826	16827	2368	1099	13360	64.5231064061704	2.3512197433740507	31.384103645605016	14.072621382302252	6.5311701432222025	79.39620847447554
32701R3D4	1307611	881659	28392	377789	14404	2344	982	11078	67.42517461232737	2.1712879441974713	28.89154343302404	16.273257428492087	6.817550680366565	76.90919189114135
32701R4D4	774974	495293	21106	247514	11651	2258	926	8467	63.91091830177529	2.7234462059372313	31.938361803105654	19.380310702943955	7.947815638142648	72.6718736589134
3270R1D3	1130690	755396	28812	332538	15238	2595	1044	11599	66.80840902457791	2.548178545843688	29.4101831624937	17.0297939362121	6.851292820580128	76.11891324320777
3270R1D4	896224	587372	25495	272181	14109	2440	903	10766	65.53852608276503	2.8447129289106297	30.369751312171957	17.293925862924375	6.400170104188815	76.3059040328868
3270R3D3	693290	476947	18744	191143	10610	2397	778	7435	68.79473236308039	2.703630515368749	27.57042507464409	22.591894439208293	7.3327049952874646	70.07540056550424
3270R3D4	644514	424627	19404	194662	10649	2360	736	7553	65.88328570054335	3.0106405756895893	30.202912582193715	22.16170532444361	6.911447084233262	70.92684759132312
3270R4D3	599431	402268	17987	174050	10055	2440	818	6797	67.10830771181337	3.0006789772300735	29.035869015783298	24.266534062655396	8.135256091496768	67.59820984584783
3270R4D4	505852	336110	15700	149777	9400	2366	747	6287	66.44433549733915	3.103674592568577	29.608857926824445	25.170212765957444	7.946808510638298	66.88297872340425
32G0R1D3	1348760	923850	40198	365740	15327	2484	1118	11725	68.49624840594323	2.980367152050772	27.116759097244874	16.20669406928949	7.29431721798134	76.49898871272917
32G0R1D4	65447	42493	1468	20718	3509	1528	182	1799	64.92734579125093	2.2430363500236834	31.6561492505386	43.54516956397834	5.186662866913651	51.268167569108
32G0R3D3	1654798	1098367	51370	478563	17925	2608	1314	14003	66.37468742408439	3.1043063866405447	28.919723132370233	14.549511854951186	7.330543933054394	78.11994421199442
32G0R3D4	1424546	979721	40034	385438	16260	2460	1156	12644	68.77426211578988	2.8102988601280687	27.05690093545593	15.129151291512915	7.109471094710947	77.76137761377613
32G0R4D3	1132538	790092	34695	290413	13115	2501	1108	9506	69.76295718112769	3.063473366898064	25.64267159247637	19.069767441860467	8.448341593595119	72.48189096454442
32G0R4D4	1012545	710408	29189	261689	12225	2366	940	8919	70.16063483598259	2.8827360759274896	25.84467850811569	19.353783231083845	7.689161554192229	72.95705521472394
WT7005R1D3	1298859	851542	31512	395685	14799	2407	991	11401	65.56077295534003	2.426129395107552	30.464045750924466	16.2646124738158	6.696398405297656	77.03898912088654
WT7005R1D4	755036	484132	19949	239767	12101	2253	778	9070	64.12038631270562	2.6421256734778207	31.755704363765435	18.61829600859433	6.429220725559872	74.9524832658458
WT7005R3D3	1909374	1338014	40068	494688	16943	2441	1211	13291	70.07605634097878	2.0984888240857997	25.90838672779665	14.407129788113085	7.147494540518208	78.44537567136871
WT7005R3D4	1607101	1064329	39251	479433	17899	2496	1243	14160	66.22664039161198	2.442348054042652	29.832163628794955	13.944913123638191	6.944522040337449	79.11056483602435
WT7005R4D3	327085	213677	8739	101262	6379	1914	439	4026	65.32766712016755	2.671782564165278	30.958925050063442	30.004702931493966	6.881956419501489	63.11334064900455
WT7005R4D4	710062	419565	23402	251738	12073	2241	814	9018	59.088502130799846	3.2957685385219886	35.45296044570756	18.562080675888346	6.742317568127226	74.69560175598443
WT701R1D4	1080754	693304	27437	343467	15082	2290	947	11845	64.15002859115026	2.538690580835232	31.780312633587293	15.183662644211642	6.279008089112851	78.5373292666755
WT701R3D4	1139865	754619	25064	345217	13298	2335	936	10027	66.20248889122836	2.1988568821746437	30.285779456339128	17.55903143329824	7.0386524289366825	75.40231613776508
WT701R4D4	536281	340119	13689	174977	10006	2124	710	7172	63.42178820431826	2.552579711009713	32.62785741057394	21.22726364181491	7.09574255446732	71.67699380371776
WT70R1D3	1286065	842992	33754	391162	16274	2605	1074	12595	65.5481643618324	2.6245951798703797	30.41541446194399	16.007127934128057	6.5994838392527955	77.39338822661914
WT70R1D4	1073358	714130	31816	312674	15301	2505	1030	11766	66.53232192800537	2.9641554821410936	29.130448554908988	16.37147898830142	6.731586170838508	76.89693484086007
WT70R3D3	1297682	863043	39137	378359	17217	2679	1270	13268	66.50650929888833	3.0159160718881823	29.156526791617672	15.560202125805889	7.376430272405181	77.06336760178894
WT70R3D4	1202646	782111	30479	375548	16688	2625	1243	12820	65.03251996015452	2.5343284723850577	31.22681154720508	15.72986577181208	7.448465963566635	76.8216682646213
WT70R4D3	580797	379452	16421	177997	10243	2394	828	7021	65.33298209184964	2.8273217664691797	30.64702469193195	23.37205896709948	8.083569266816362	68.54437176608415
WT70R4D4	697637	446501	23490	219112	11455	2314	852	8289	64.00190930240225	3.3670805877555234	31.407737835005882	20.200785683107814	7.437800087298123	72.36141422959406
WTG0R1D3	1540938	1037667	48106	435716	16658	2556	1305	12797	67.33995786981696	3.1218647343371373	28.27602408403194	15.343978869011888	7.834073718333534	76.82194741265458
WTG0R1D4	1303732	899664	35418	350956	15934	2439	1056	12439	69.00682042014769	2.716662626981619	26.919336182589674	15.306890925065897	6.627337768294214	78.06577130663989
WTG0R3D3	1506177	1036523	45403	406304	16100	2469	1160	12471	68.81814023185854	3.0144531486007287	26.97584679622647	15.335403726708075	7.204968944099378	77.45962732919254
WTG0R3D4	1333128	941144	38483	335352	15392	2315	1006	12071	70.59667188747068	2.8866695471102553	25.155273912182473	15.040280665280664	6.535862785862785	78.42385654885655
WTG0R4D3	1168626	789524	34950	328617	13970	2527	1054	10389	67.56002348056607	2.9906916327379336	28.1199459878524	18.08876163206872	7.544738725841088	74.36649964209019
WTG0R4D4	1250346	884250	38399	311103	14637	2443	1095	11099	70.72042458647446	3.071069927843973	24.881352841533463	16.690578670492588	7.481041196966591	75.82838013254081
