Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
32701R1D4	39682818	41897631	33055861	21547867	31407646	1457.58	0	0	0.0	0	0	0.0	3286712	840167	255.63	11997028	125253	10.44	7.25	6.67	9088663	410599	45.18	21.17	17.21	8841770	74.96282069026766	0.0	0.0	2.005285215290573	0.2989500766761729	0.5032337031179639	0.5458112894258866	0.9800052895592116	1.3300632677775983	1.3828132669362618	21.103269538079612	5212487	17086826	17839	85590	7343417	17234855	22101	146666
32701R3D4	35566736	37490133	30471111	21547867	29164561	1353.48	0	0	0.0	0	0	0.0	3286712	674596	205.25	11997028	110256	9.19	6.18	5.55	9088663	304932	33.55	16.24	13.12	7019022	77.79263146385745	0.0	0.0	1.7993961237747542	0.29409338185063255	0.47967821293138657	0.507512203277593	0.8133660128653051	1.1405854441754049	1.1781419927211247	18.72231821636909	5212487	17086826	10435	69576	7343417	17234855	14080	122675
32701R4D4	24834580	26080297	19972173	21547867	18754603	870.37	0	0	0.0	0	0	0.0	3286712	585336	178.09	11997028	99492	8.29	5.72	5.21	9088663	324567	35.71	16.61	13.48	6108124	71.91100239387612	0.0	0.0	2.2443609442024375	0.38148338571451085	0.6382519340174692	0.6846854543105855	1.2444911957866125	1.6766143422369768	1.7394970617090748	23.42045414590179	5212487	17086826	12110	66966	7343417	17234855	16400	112699
3270R1D3	32366521	34041514	26466463	21547867	24876216	1154.46	0	0	0.0	0	0	0.0	3286712	805422	245.05	11997028	133239	11.11	8.06	7.45	9088663	360696	39.69	18.85	15.72	7575051	73.07611523976284	0.0	0.0	2.3659993500876606	0.39140151052036054	0.6883800761623	0.7510418014897927	1.059576844907662	1.4572530469708251	1.5544520140907951	22.252391594568913	5212487	17086826	21331	101096	7343417	17234855	33088	135375
3270R1D4	26540858	27884153	21505320	21547867	20132859	934.33	0	0	0.0	0	0	0.0	3286712	679195	206.65	11997028	125414	10.45	7.49	7.03	9088663	315565	34.72	16.39	13.43	6378833	72.20179504824837	0.0	0.0	2.43577418327894	0.449768009808295	0.7813541978485056	0.8643870229804004	1.1317001452402016	1.5473950383215873	1.621849514310153	22.876194231182133	5212487	17086826	23153	92460	7343417	17234855	20761	115913
3270R3D3	18560874	19578818	15140430	21547867	14210824	659.5	0	0	0.0	0	0	0.0	3286712	472741	143.83	11997028	74223	6.19	4.7	4.42	9088663	210234	23.13	10.9	9.07	4438388	72.58264518317704	0.0	0.0	2.4145533198173657	0.3790984726452843	0.6978817618101358	0.7736728539996642	1.0737829015009996	1.4656043076757748	1.5597928332547961	22.66933580975113	5212487	17086826	14839	62414	7343417	17234855	18441	76714
3270R3D4	17467743	18444448	14176784	21547867	13271531	615.91	0	0	0.0	0	0	0.0	3286712	460350	140.06	11997028	77175	6.43	4.68	4.39	9088663	203164	22.35	10.53	8.75	4267664	71.9540698642757	0.0	0.0	2.4958730128437563	0.41841859403978904	0.7385203395623442	0.8155191198999286	1.1014913539293776	1.5034497101783693	1.596605113907448	23.13793288907318	5212487	17086826	14202	59041	7343417	17234855	17182	74139
3270R4D3	17114531	17990403	13827603	21547867	12942126	600.62	0	0	0.0	0	0	0.0	3286712	436032	132.67	11997028	77962	6.5	4.79	4.48	9088663	197422	21.72	10.45	8.78	4162800	71.93905550642751	0.0	0.0	2.4236922319083125	0.4333532717416058	0.7743183963138569	0.854766844300264	1.0973739721116864	1.5295655133461992	1.6434818052713993	23.139003612092516	5212487	17086826	14473	61341	7343417	17234855	20494	77753
3270R4D4	15660605	16433578	12547910	21547867	11710558	543.47	0	0	0.0	0	0	0.0	3286712	409188	124.5	11997028	77750	6.48	4.57	4.27	9088663	195209	21.48	10.1	8.37	3885668	71.25994107917339	0.0	0.0	2.4899507581367852	0.47311668828297776	0.8083327927734301	0.8907433305151197	1.1878666958589297	1.6185215416873917	1.714678325073213	23.644686507101497	5212487	17086826	13543	55088	7343417	17234855	15802	70772
32G0R1D3	36832176	38703404	30884049	21547867	29367923	1362.92	0	0	0.0	0	0	0.0	3286712	739756	225.07	11997028	110070	9.17	6.8	6.34	9088663	376938	41.47	20.23	16.6	7819355	75.87943169029784	0.0	0.0	1.9113460924522299	0.2843935897731373	0.5111023309474277	0.561862724012596	0.9739143358036415	1.3760081671369269	1.4440848665404211	20.203274626696917	5212487	17086826	19646	87744	7343417	17234855	26348	155624
32G0R1D4	2725697	2848292	2134395	21547867	1990300	92.37	0	0	0.0	0	0	0.0	3286712	56984	17.34	11997028	10253	0.85	0.71	0.81	9088663	29641	3.26	1.97	1.77	713897	69.87696486174872	0.0	0.0	2.0006375750800833	0.3599701154235591	0.725838502513085	0.971775365727952	1.0406587526840647	1.8211615943870922	2.0865838193556	25.064038378087638	5212487	17086826	7005	10421	7343417	17234855	7560	22231
32G0R3D3	47018454	49294850	39680630	21547867	37779265	1753.27	0	0	0.0	0	0	0.0	3286712	1001044	304.57	11997028	153377	12.78	8.94	8.14	9088663	405404	44.61	22.7	18.45	9614220	76.63937510713595	0.0	0.0	2.0307273477858234	0.31114203613562064	0.5276169823013965	0.566462825224136	0.8224063974228545	1.2122361666583832	1.259936889959093	19.503497829895007	5212487	17086826	19149	106711	7343417	17234855	23514	192166
32G0R3D4	39331759	41334031	32663184	21547867	31052825	1441.11	0	0	0.0	0	0	0.0	3286712	786746	239.37	11997028	130180	10.85	8.05	7.45	9088663	385410	42.41	20.5	16.87	8670847	75.126534356158	0.0	0.0	1.903385614628295	0.31494629691452064	0.5664146330175249	0.6181105346342823	0.932427809908015	1.305783604797703	1.3744679293437412	20.977501565235677	5212487	17086826	21368	103942	7343417	17234855	28390	154323
32G0R4D3	34128596	35690492	28954670	21547867	27654384	1283.39	0	0	0.0	0	0	0.0	3286712	673586	204.94	11997028	106505	8.88	6.04	5.63	9088663	272413	29.97	15.73	12.88	6735822	77.48389683168278	0.0	0.0	1.8872981633315675	0.29841280977578005	0.4920918433962748	0.5408919552019624	0.7632649053983341	1.1601156969200648	1.215037887401496	18.872875162382183	5212487	17086826	17417	69125	7343417	17234855	19602	141638
32G0R4D4	27844105	29265904	23039869	21547867	21886122	1015.7	0	0	0.0	0	0	0.0	3286712	545536	165.98	11997028	85852	7.16	5.39	5.17	9088663	299214	32.92	15.6	12.8	6226035	74.78368684596246	0.0	0.0	1.8640667993717195	0.29335160806923993	0.5361324222207522	0.6055955080013931	1.022397941303983	1.4033907853999656	1.472628352775298	21.274022493889134	5212487	17086826	20329	71052	7343417	17234855	20263	111501
WT7005R1D3	34842082	36760487	29519583	21547867	28084737	1303.37	0	0	0.0	0	0	0.0	3286712	783539	238.4	11997028	111523	9.3	6.36	5.73	9088663	328868	36.18	16.73	13.51	7240904	76.39925172917323	0.0	0.0	2.131470673933128	0.3033773736457844	0.5033311990670853	0.5341876999616463	0.894623621281187	1.1982186199002205	1.2375706556879944	19.697519241244002	5212487	17086826	11343	73504	7343417	17234855	14466	111603
WT7005R1D4	24024581	25231643	19617897	21547867	18501640	858.63	0	0	0.0	0	0	0.0	3286712	574539	174.81	11997028	81913	6.83	4.68	4.26	9088663	270669	29.78	14.55	11.75	5613746	73.32713133266827	0.0	0.0	2.27705742349002	0.32464394015086534	0.5398974612949303	0.5795302351099372	1.072736325573408	1.517570615595663	1.5674484614418491	22.248832547289922	5212487	17086826	10000	54312	7343417	17234855	12585	112239
WT7005R3D3	48268344	50939176	42117530	21547867	40401423	1874.96	0	0	0.0	0	0	0.0	3286712	926634	281.93	11997028	119749	9.98	6.65	6.04	9088663	416869	45.87	21.4	17.3	8821646	79.31306741200525	0.0	0.0	1.8190989190716396	0.2350823264200426	0.37947413990363726	0.40637484987978606	0.8183662020759817	1.1061309668613406	1.1434597999779188	17.317999019065404	5212487	17086826	13703	73552	7343417	17234855	19015	146585
WT7005R3D4	48074791	50487408	40453512	21547867	38563771	1789.68	0	0	0.0	0	0	0.0	3286712	975494	296.8	11997028	154067	12.84	8.74	7.91	9088663	449601	49.47	23.58	19.09	10033896	76.38294879388539	0.0	0.0	1.9321530627993422	0.3051592587205111	0.5037057953143484	0.5376033564646456	0.8905210582408984	1.2292431411808664	1.2732382696295281	19.874056517221085	5212487	17086826	17114	100241	7343417	17234855	22212	171012
WT7005R4D3	7166061	7698427	5926074	21547867	5524237	256.37	0	0	0.0	0	0	0.0	3286712	239455	72.86	11997028	21325	1.78	1.17	1.11	9088663	94230	10.37	4.54	3.69	1772353	71.75799679596884	0.0	0.0	3.110440613387644	0.27700464003880276	0.44216825073485794	0.4940749584298195	1.2240162828068644	1.5536680415362774	1.6152130818412644	23.022274550372433	5212487	17086826	3996	12715	7343417	17234855	4738	25378
WT7005R4D4	25894876	27074830	20804090	21547867	19335465	897.33	0	0	0.0	0	0	0.0	3286712	818492	249.03	11997028	99789	8.32	5.76	5.27	9088663	325959	35.86	17.27	13.94	6270740	71.41490823765099	0.0	0.0	3.0230734597410214	0.36856741113425273	0.61850065171231	0.6674649480716961	1.203918916573068	1.6794934631168508	1.733780045895025	23.16077330864127	5212487	17086826	13257	67669	7343417	17234855	14698	128761
WT701R1D4	30923156	32727598	25688880	21547867	24360370	1130.52	0	0	0.0	0	0	0.0	3286712	696489	211.91	11997028	92020	7.67	5.49	5.0	9088663	337116	37.09	16.93	13.68	7038718	74.43372410037547	0.0	0.0	2.128139681989494	0.2811694277105212	0.4879918165702231	0.5234786860923921	1.0300664289508812	1.3616886885496453	1.4076773981396375	21.506980133403008	5212487	17086826	11614	67688	7343417	17234855	15051	108532
WT701R3D4	33819967	35483120	28380509	21547867	27057312	1255.68	0	0	0.0	0	0	0.0	3286712	672908	204.74	11997028	116505	9.71	6.38	5.7	9088663	320278	35.24	16.74	13.51	7102611	76.25403854001564	0.0	0.0	1.8964172259936556	0.3283392215791622	0.5226400609641993	0.5507238371372077	0.902620739100733	1.2422329265295724	1.2819475852179854	20.016872811635505	5212487	17086826	9965	68944	7343417	17234855	14092	120505
