Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
32701R1D4	67083902	0	5567065	0	0	0	21834019	0	67083902	0	100.0	nan	61516837	0	30761428	0	30755409	0	61502154	0	99.98	nan	61502154	0	14683	0	0.02	nan	0	0	0	0	67083902
32701R3D4	49692037	0	2311031	0	0	0	11814270	0	49692037	0	100.0	nan	47381006	0	23693426	0	23687580	0	47369950	0	99.98	nan	47369950	0	11056	0	0.02	nan	0	0	0	0	49692037
32701R4D4	38640878	0	2177416	0	0	0	11628882	0	38640878	0	100.0	nan	36463462	0	18233241	0	18230221	0	36455608	0	99.98	nan	36455608	0	7854	0	0.02	nan	0	0	0	0	38640878
3270R1D3	51010684	0	4432886	0	0	0	14211277	0	51010684	0	100.0	nan	46577798	0	23293294	0	23284504	0	46561930	0	99.97	nan	46561930	0	15868	0	0.03	nan	0	0	0	0	51010684
3270R1D4	46156795	0	3418487	0	0	0	16197450	0	46156795	0	100.0	nan	42738308	0	21373279	0	21365029	0	42723284	0	99.96	nan	42723284	0	15024	0	0.04	nan	0	0	0	0	46156795
3270R3D3	30564596	0	2449356	0	0	0	9554366	0	30564596	0	100.0	nan	28115240	0	14059053	0	14056187	0	28108980	0	99.98	nan	28108980	0	6260	0	0.02	nan	0	0	0	0	30564596
3270R3D4	28773705	0	2182500	0	0	0	9123462	0	28773705	0	100.0	nan	26591205	0	13296618	0	13294587	0	26585926	0	99.98	nan	26585926	0	5279	0	0.02	nan	0	0	0	0	28773705
3270R4D3	23346033	0	1508226	0	0	0	4723276	0	23346033	0	100.0	nan	21837807	0	10920485	0	10917322	0	21832640	0	99.98	nan	21832640	0	5167	0	0.02	nan	0	0	0	0	23346033
3270R4D4	21492655	0	1365685	0	0	0	4466365	0	21492655	0	100.0	nan	20126970	0	10064403	0	10062567	0	20123318	0	99.98	nan	20123318	0	3652	0	0.02	nan	0	0	0	0	21492655
32G0R1D3	53372237	0	2889431	0	0	0	13650630	0	53372237	0	100.0	nan	50482806	0	25243739	0	25239067	0	50474236	0	99.98	nan	50474236	0	8570	0	0.02	nan	0	0	0	0	53372237
32G0R1D4	7910986	0	2768729	0	0	0	2416560	0	7910986	0	100.0	nan	5142257	0	2571474	0	2570783	0	5141384	0	99.98	nan	5141384	0	873	0	0.02	nan	0	0	0	0	7910986
