Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
32701R1D4	61516837.0	0.0	61516837.0	1.0	30761428.0	30755409.0	61516837.0	61502154.0	0.0	61502154.0	61516837.0	21834019.0	498258.0	0.0	5567065.0	0.0	8540657009.0	4270889254.0	4269767755.0	8540657009.0	8492787040.0	0.0	3039918499.0	22736838.0	0.002677194	138.0	139.0	139.0	150.0	150.0	150.0	35.9	238.5	163.8	25438036.0	5313041.0	0.0	0.0	100.0	100.0	99.97613173772247	0.0	99.97613173772247	100.0	35.49275298403265	0.809953866776343	0.0
32701R3D4	47381006.0	0.0	47381006.0	1.0	23693426.0	23687580.0	47381006.0	47369950.0	0.0	47369950.0	47381006.0	11814270.0	183137.0	0.0	2311031.0	0.0	6779423751.0	3390318025.0	3389105726.0	6779423751.0	6746327194.0	0.0	1698852367.0	16963141.0	0.002514426	143.0	143.0	143.0	150.0	150.0	150.0	35.8	257.4	166.9	20702059.0	2982916.0	0.0	0.0	100.0	100.0	99.97666575504961	0.0	99.97666575504961	100.0	24.93461198354463	0.3865198640991287	0.0
32701R4D4	36463462.0	0.0	36463462.0	1.0	18233241.0	18230221.0	36463462.0	36455608.0	0.0	36455608.0	36463462.0	11628882.0	179340.0	0.0	2177416.0	0.0	5171839820.0	2586235686.0	2585604134.0	5171839820.0	5147022782.0	0.0	1659682077.0	12665975.0	0.002460835	141.0	142.0	142.0	150.0	150.0	150.0	35.8	239.3	145.7	15624508.0	2603296.0	0.0	0.0	100.0	100.0	99.97846062998626	0.0	99.97846062998626	100.0	31.8918757631955	0.4918348126132401	0.0
3270R1D3	46577798.0	0.0	46577798.0	1.0	23293294.0	23284504.0	46577798.0	46561930.0	0.0	46561930.0	46577798.0	14211277.0	379044.0	0.0	4432886.0	0.0	6468181730.0	3234865325.0	3233316405.0	6468181730.0	6437672380.0	0.0	1980519983.0	13417163.0	0.002084164	138.0	139.0	139.0	150.0	150.0	150.0	35.9	239.8	213.9	19122624.0	4158341.0	0.0	0.0	100.0	100.0	99.96593226669926	0.0	99.96593226669926	100.0	30.510839091191045	0.8137868604265063	0.0
3270R1D4	42738308.0	0.0	42738308.0	1.0	21373279.0	21365029.0	42738308.0	42723284.0	0.0	42723284.0	42738308.0	16197450.0	277901.0	0.0	3418487.0	0.0	6067980741.0	3034785097.0	3033195644.0	6067980741.0	6036924110.0	0.0	2312145129.0	13871043.0	0.0022977	141.0	142.0	142.0	150.0	150.0	150.0	35.8	252.0	186.4	18332976.0	3028666.0	0.0	0.0	100.0	100.0	99.96484652597853	0.0	99.96484652597853	100.0	37.89913723304161	0.6502386570848804	0.0
3270R3D3	28115240.0	0.0	28115240.0	1.0	14059053.0	14056187.0	28115240.0	28108980.0	0.0	28108980.0	28115240.0	9554366.0	206952.0	0.0	2449356.0	0.0	3875649197.0	1937992822.0	1937656375.0	3875649197.0	3856723286.0	0.0	1326047476.0	8013451.0	0.002077787	137.0	138.0	138.0	150.0	150.0	150.0	35.9	210.4	171.2	11145889.0	2908601.0	0.0	0.0	100.0	100.0	99.9777344955974	0.0	99.9777344955974	100.0	33.98287192284327	0.7360847711063466	0.0
3270R3D4	26591205.0	0.0	26591205.0	1.0	13296618.0	13294587.0	26591205.0	26585926.0	0.0	26585926.0	26591205.0	9123462.0	183282.0	0.0	2182500.0	0.0	3755653947.0	1878024627.0	1877629320.0	3755653947.0	3735663589.0	0.0	1296575994.0	8875817.0	0.002375968	141.0	141.0	141.0	150.0	150.0	150.0	35.8	243.4	170.6	11285955.0	2007008.0	0.0	0.0	100.0	100.0	99.98014757134925	0.0	99.98014757134925	100.0	34.310073575078675	0.6892579708215555	0.0
3270R4D3	21837807.0	0.0	21837807.0	1.0	10920485.0	10917322.0	21837807.0	21832640.0	0.0	21832640.0	21837807.0	4723276.0	130724.0	0.0	1508226.0	0.0	3029960047.0	1515277148.0	1514682899.0	3029960047.0	3015912509.0	0.0	658065812.0	6553263.0	0.002172896	138.0	139.0	139.0	150.0	150.0	150.0	35.9	229.2	153.1	8995930.0	1920390.0	0.0	0.0	100.0	100.0	99.97633919926116	0.0	99.97633919926116	100.0	21.628893414068546	0.5986132215565418	0.0
3270R4D4	20126970.0	0.0	20126970.0	1.0	10064403.0	10062567.0	20126970.0	20123318.0	0.0	20123318.0	20126970.0	4466365.0	110738.0	0.0	1365685.0	0.0	2841077923.0	1420703906.0	1420374017.0	2841077923.0	2827499123.0	0.0	634320730.0	6464928.0	0.002286447	141.0	141.0	141.0	150.0	150.0	150.0	35.8	242.3	162.7	8576329.0	1485330.0	0.0	0.0	100.0	100.0	99.98185519231161	0.0	99.98185519231161	100.0	22.190945780711154	0.5501970738764951	0.0
32G0R1D3	50482806.0	0.0	50482806.0	1.0	25243739.0	25239067.0	50482806.0	50474236.0	0.0	50474236.0	50482806.0	13650630.0	245042.0	0.0	2889431.0	0.0	7109549195.0	3555275594.0	3554273601.0	7109549195.0	7070328710.0	0.0	1927800746.0	16084161.0	0.002274882	140.0	141.0	141.0	150.0	150.0	150.0	35.9	232.2	142.0	21299212.0	3937906.0	0.0	0.0	100.0	100.0	99.9830239230363	0.0	99.9830239230363	100.0	27.040156999196913	0.4853969488146122	0.0
