Module	Section	Sample Name	Source
Picard	DuplicationMetrics	3270R1D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/3270R1D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WT701R3D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WT701R3D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	32701R3D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/32701R3D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WTG0R1D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WTG0R1D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WT70R3D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WT70R3D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	32701R1D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/32701R1D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	32G0R4D3	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/32G0R4D3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WTG0R3D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WTG0R3D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	3270R4D3	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/3270R4D3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WTG0R4D3	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WTG0R4D3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WT7005R3D3	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WT7005R3D3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	3270R3D3	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/3270R3D3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	32701R4D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/32701R4D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WT7005R3D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WT7005R3D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	32G0R3D3	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/32G0R3D3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WT701R4D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WT701R4D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	32G0R1D3	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/32G0R1D3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WT7005R1D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WT7005R1D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WT7005R4D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WT7005R4D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	32G0R3D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/32G0R3D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	3270R4D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/3270R4D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WTG0R1D3	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WTG0R1D3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	3270R3D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/3270R3D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WT70R4D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WT70R4D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WT70R4D3	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WT70R4D3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WT7005R1D3	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WT7005R1D3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	3270R1D3	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/3270R1D3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WT70R3D3	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WT70R3D3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WTG0R3D3	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WTG0R3D3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WT70R1D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WT70R1D4.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	WT70R1D3	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/WT70R1D3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	32G0R4D4	/gpfs/projects/RestGroup/agilgomez/projects/transcriptomics/work/a4/cd343ff648de04cc72e2da285a2acf/picard/markduplicates/32G0R4D4.markdup.sorted.MarkDuplicates.metrics.txt
