Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
32701R1D4	38121842.0	276.0	30008373.0	78.72	276.17	3126368.0	3108385.0	3043551.0	72223.0	1807.0	8787.0	0.24	0.01	1.46	0.01	1.68	757387.0	1.99	19706.0	0.05	0.0	18.69	0.55	0	7126656	209720
32701R3D4	25030302.0	284.0	23327623.0	93.2	284.78	2140088.0	2127883.0	2072235.0	59976.0	700.0	7177.0	0.23	0.01	1.46	0.01	1.45	368408.0	1.47	9376.0	0.04	0.0	4.96	0.33	0	1242246	82649
32701R4D4	19586275.0	283.0	17900278.0	91.39	282.34	1314869.0	1305495.0	1259263.0	49926.0	1104.0	4576.0	0.22	0.01	1.47	0.01	1.49	335380.0	1.71	10439.0	0.05	0.0	6.48	0.36	0	1269642	70536
3270R1D3	24559739.0	277.0	22667551.0	92.3	276.42	2115873.0	2103067.0	2047711.0	54740.0	2376.0	11046.0	0.19	0.01	1.51	0.01	1.42	629282.0	2.56	24055.0	0.1	0.0	4.29	0.76	0	1052410	186441
3270R1D4	22592186.0	283.0	20850105.0	92.29	282.5	1796674.0	1784565.0	1705919.0	83023.0	1816.0	5916.0	0.21	0.0	1.54	0.01	1.39	526561.0	2.33	20306.0	0.09	0.0	4.33	0.96	0	978313	216901
3270R3D3	22244988.0	217.0	13707709.0	61.62	274.36	1384430.0	1376679.0	1352519.0	25696.0	497.0	5718.0	0.19	0.01	1.5	0.01	1.44	353041.0	1.59	11654.0	0.05	0.0	36.05	0.69	0	8019098	153486
3270R3D4	18297973.0	246.0	12980630.0	70.94	281.01	1199727.0	1191569.0	1164373.0	31670.0	608.0	3076.0	0.22	0.01	1.52	0.01	1.52	317612.0	1.74	10842.0	0.06	0.0	26.74	0.52	0	4893723	95166
3270R4D3	11833444.0	277.0	10694085.0	90.37	276.25	891921.0	886227.0	867150.0	22064.0	365.0	2342.0	0.2	0.01	1.51	0.01	1.47	227402.0	1.92	6518.0	0.06	0.0	7.22	0.43	0	854545	50894
3270R4D4	10773090.0	282.0	9850292.0	91.43	281.0	741998.0	736866.0	712926.0	26452.0	444.0	2176.0	0.21	0.01	1.52	0.01	1.41	215019.0	2.0	5980.0	0.06	0.0	4.92	1.59	0	530392	171407
32G0R1D3	28642311.0	277.0	24796168.0	86.57	280.18	2268414.0	2254867.0	2205527.0	53436.0	2013.0	7438.0	0.21	0.0	1.52	0.01	1.69	449520.0	1.57	4019.0	0.01	0.0	11.64	0.2	0	3335296	57308
32G0R1D4	6003779.0	252.0	2313665.0	38.54	241.11	135827.0	133739.0	125229.0	5377.0	3860.0	1361.0	0.3	0.01	1.74	0.04	2.42	257900.0	4.3	454.0	0.01	0.0	57.01	0.15	0	3422754	9006
32G0R3D3	33703904.0	279.0	30739032.0	91.2	278.52	2737667.0	2722057.0	2662526.0	64594.0	1482.0	9065.0	0.2	0.0	1.55	0.01	1.57	561101.0	1.66	9944.0	0.03	0.0	6.78	0.32	0	2285936	107891
32G0R3D4	29696264.0	280.0	26377629.0	88.82	279.62	2414737.0	2400697.0	2352670.0	51028.0	3199.0	7840.0	0.21	0.0	1.52	0.01	1.65	462713.0	1.56	3237.0	0.01	0.0	9.42	0.19	0	2796284	56401
32G0R4D3	25820787.0	276.0	22202834.0	85.99	277.54	1763859.0	1753187.0	1714990.0	42344.0	426.0	6099.0	0.2	0.0	1.53	0.01	1.83	451241.0	1.75	3132.0	0.01	0.0	12.07	0.18	0	3117095	46485
32G0R4D4	20674166.0	284.0	17955855.0	86.85	283.2	1615663.0	1606774.0	1582171.0	28630.0	384.0	4478.0	0.21	0.01	1.52	0.01	1.76	311800.0	1.51	2161.0	0.01	0.0	11.5	0.13	0	2377474	26876
WT7005R1D3	26012661.0	279.0	23679558.0	91.03	278.88	2933636.0	2920632.0	2871523.0	53954.0	1011.0	7148.0	0.21	0.01	1.49	0.01	1.48	620698.0	2.39	28949.0	0.11	0.0	5.65	0.82	0	1470097	213359
WT7005R1D4	19439954.0	275.0	17161494.0	88.28	274.46	1316618.0	1305577.0	1264592.0	45150.0	834.0	6042.0	0.21	0.01	1.49	0.01	1.52	414419.0	2.13	14234.0	0.07	0.0	8.89	0.62	0	1729210	120597
WT7005R3D3	36858583.0	285.0	33746198.0	91.56	285.79	3659094.0	3642993.0	3559168.0	86277.0	2068.0	11581.0	0.22	0.01	1.49	0.01	1.53	697923.0	1.89	26898.0	0.07	0.0	5.85	0.63	0	2155440	232124
WT7005R3D4	36856453.0	283.0	33659438.0	91.33	284.67	3221998.0	3205706.0	3130685.0	81749.0	1375.0	8189.0	0.22	0.01	1.5	0.01	1.5	633168.0	1.72	16917.0	0.05	0.0	6.4	0.51	0	2358951	187979
WT7005R4D3	5727723.0	273.0	4715514.0	82.33	272.5	553335.0	549666.0	542037.0	8691.0	222.0	2385.0	0.23	0.01	1.47	0.01	1.41	170766.0	2.98	8953.0	0.16	0.0	13.1	1.44	0	750043	82447
WT7005R4D4	19032546.0	279.0	17116000.0	89.93	278.54	1183902.0	1172893.0	1102799.0	75101.0	1142.0	4860.0	0.21	0.01	1.53	0.01	1.42	819389.0	4.31	49827.0	0.26	0.0	4.06	1.45	0	771717	275613
