Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
32701R1D4	32701R1D4.markdup.sorted.bam	30751077.0	67083902.0	6397851.0	37820460.0	40816.0	0.0	0.92	37820460.0	2476710.0	19637497.0	4705055.0
32701R3D4	32701R3D4.markdup.sorted.bam	23684975.0	49692037.0	2922127.0	31744592.0	26020.0	0.0	1.33	31744592.0	1868191.0	12998718.0	3459101.0
32701R4D4	32701R4D4.markdup.sorted.bam	18227804.0	38640878.0	2734491.0	21792326.0	26392.0	0.0	0.92	21792326.0	1688295.0	12280170.0	3026372.0
3270R1D3	3270R1D3.markdup.sorted.bam	23280965.0	51010684.0	5582663.0	28554243.0	34275.0	0.0	0.87	28554243.0	2107659.0	14615077.0	3556866.0
3270R1D4	3270R1D4.markdup.sorted.bam	21361642.0	46156795.0	4396718.0	25728754.0	36515.0	0.0	0.94	25728754.0	1988317.0	13926606.0	3401597.0
3270R3D3	3270R3D3.markdup.sorted.bam	14054490.0	30564596.0	3025628.0	17087995.0	24095.0	0.0	0.81	17087995.0	1239457.0	9050516.0	2148053.0
3270R3D4	3270R3D4.markdup.sorted.bam	13292963.0	28773705.0	2708284.0	15791538.0	21472.0	0.0	0.94	15791538.0	1269750.0	8866750.0	2206283.0
3270R4D3	3270R4D3.markdup.sorted.bam	10916320.0	23346033.0	1867078.0	13104362.0	16551.0	0.0	0.98	13104362.0	1023877.0	7233146.0	1749239.0
3270R4D4	3270R4D4.markdup.sorted.bam	10061659.0	21492655.0	1756515.0	11894028.0	16500.0	0.0	0.96	11894028.0	955474.0	6828440.0	1650342.0
32G0R1D3	32G0R1D3.markdup.sorted.bam	25237118.0	53372237.0	3409065.0	32458350.0	34976.0	0.0	0.79	32458350.0	2131420.0	14941658.0	3876722.0
32G0R1D4	32G0R1D4.markdup.sorted.bam	2570692.0	7910986.0	2414440.0	2750471.0	3734.0	0.0	1.0	2750471.0	122342.0	1738537.0	352397.0
32G0R3D3	32G0R3D3.markdup.sorted.bam	31286217.0	66123353.0	4318389.0	41085238.0	35916.0	0.0	1.14	41085238.0	2704608.0	17620521.0	4566439.0
32G0R3D4	32G0R3D4.markdup.sorted.bam	26825477.0	56648464.0	3471913.0	34160455.0	37159.0	0.0	0.91	34160455.0	2219595.0	16305955.0	4141089.0
32G0R4D3	32G0R4D3.markdup.sorted.bam	22646364.0	48202340.0	3306149.0	30355064.0	28593.0	0.0	1.05	30355064.0	1723450.0	12269601.0	3088194.0
32G0R4D4	32G0R4D4.markdup.sorted.bam	18261852.0	38529835.0	2264351.0	22854795.0	24985.0	0.0	0.82	22854795.0	1509893.0	11502108.0	2958480.0
WT7005R1D3	WT7005R1D3.markdup.sorted.bam	24286207.0	53207582.0	5657018.0	30400604.0	30914.0	0.0	0.95	30400604.0	2166073.0	14737814.0	3576165.0
WT7005R1D4	WT7005R1D4.markdup.sorted.bam	17565462.0	38173609.0	3681542.0	21785998.0	22046.0	0.0	0.89	21785998.0	1509147.0	10988047.0	2594288.0
WT7005R3D3	WT7005R3D3.markdup.sorted.bam	34424267.0	73775212.0	6070605.0	46336570.0	40700.0	0.0	1.01	46336570.0	2914697.0	18168211.0	5198368.0
WT7005R3D4	WT7005R3D4.markdup.sorted.bam	34275126.0	72708276.0	5172664.0	44153280.0	43353.0	0.0	1.07	44153280.0	2774572.0	20318503.0	5088860.0
WT7005R4D3	WT7005R4D3.markdup.sorted.bam	4883030.0	11122604.0	1653744.0	5557188.0	8631.0	0.0	0.59	5557188.0	547644.0	3312417.0	878539.0
WT7005R4D4	WT7005R4D4.markdup.sorted.bam	17925192.0	42442305.0	8148675.0	20999350.0	27641.0	0.0	1.02	20999350.0	1965664.0	11226582.0	2748977.0
WT701R1D4	WT701R1D4.markdup.sorted.bam	24889028.0	54018200.0	5263276.0	29818777.0	35988.0	0.0	0.68	29818777.0	2027283.0	16680043.0	3539822.0
WT701R3D4	WT701R3D4.markdup.sorted.bam	22861678.0	47967264.0	2806494.0	29901268.0	27081.0	0.0	1.32	29901268.0	1818327.0	13270856.0	3381366.0
WT701R4D4	WT701R4D4.markdup.sorted.bam	12240314.0	26675205.0	2689801.0	14141240.0	20170.0	0.0	0.7	14141240.0	1163856.0	8546437.0	2100415.0
WT70R1D3	WT70R1D3.markdup.sorted.bam	26875562.0	59610011.0	7289948.0	33560414.0	37255.0	0.0	1.01	33560414.0	2406422.0	16090382.0	3949377.0
WT70R1D4	WT70R1D4.markdup.sorted.bam	24104413.0	51543458.0	4212293.0	29103635.0	40740.0	0.0	0.92	29103635.0	2158426.0	15900034.0	3828284.0
WT70R3D3	WT70R3D3.markdup.sorted.bam	26769567.0	57721262.0	5263282.0	32619708.0	41341.0	0.0	0.99	32619708.0	2507350.0	17152356.0	4218448.0
WT70R3D4	WT70R3D4.markdup.sorted.bam	30218364.0	65385615.0	6247919.0	35954078.0	47189.0	0.0	1.07	35954078.0	2864700.0	20126989.0	4848470.0
WT70R4D3	WT70R4D3.markdup.sorted.bam	11299698.0	25060825.0	3091186.0	13321027.0	20684.0	0.0	1.07	13321027.0	1144229.0	7431027.0	1868971.0
WT70R4D4	WT70R4D4.markdup.sorted.bam	14789419.0	36409379.0	8486918.0	16383151.0	35618.0	0.0	0.95	16383151.0	1859995.0	9582126.0	2679539.0
WTG0R1D3	WTG0R1D3.markdup.sorted.bam	29070387.0	61248400.0	3738268.0	37618379.0	38957.0	0.0	0.99	37618379.0	2386148.0	17050954.0	4352795.0
WTG0R1D4	WTG0R1D4.markdup.sorted.bam	24903265.0	52399451.0	3056213.0	32047334.0	30427.0	0.0	0.89	32047334.0	1961620.0	14959258.0	3733838.0
WTG0R3D3	WTG0R3D3.markdup.sorted.bam	29267488.0	63830726.0	5765904.0	35638416.0	45541.0	0.0	0.71	35638416.0	2692424.0	18709415.0	5053770.0
WTG0R3D4	WTG0R3D4.markdup.sorted.bam	25842997.0	56264330.0	4994572.0	30817399.0	52415.0	0.0	0.34	30817399.0	2246782.0	17331105.0	4489964.0
WTG0R4D3	WTG0R4D3.markdup.sorted.bam	22252758.0	48243534.0	4104779.0	28869939.0	26697.0	0.0	1.14	28869939.0	1845852.0	12652740.0	3385208.0
WTG0R4D4	WTG0R4D4.markdup.sorted.bam	25752105.0	54307921.0	3233840.0	33386719.0	37348.0	0.0	0.92	33386719.0	2025602.0	15193819.0	3778376.0
