task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	ae/b20484	78541	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (Aurli1_AssemblyScaffolds_Repeatmasked.fasta)	COMPLETED	0	2023-04-22 23:17:26.785	4.3s	0ms	48.6%	3.2 MB	5.4 MB	59.4 MB	13.9 KB
3	3a/e3a66c	78542	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GFFREAD (Aurli1_2023_ed2.gff)	COMPLETED	0	2023-04-22 23:17:26.823	4.4s	0ms	73.9%	4.4 MB	19.9 MB	9.2 MB	8.6 MB
2	08/c1421f	78543	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (full_samplesheet.csv)	COMPLETED	0	2023-04-22 23:17:26.860	4.4s	2s	15.4%	16.6 MB	25 MB	1.5 MB	8.1 KB
4	3c/3a220e	78544	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (Aurli1_AssemblyScaffolds_Repeatmasked.fasta)	COMPLETED	0	2023-04-22 23:17:31.276	4.8s	1s	37.5%	17.8 MB	30.1 MB	69.6 MB	8.6 MB
5	2b/7ee8c5	78545	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (Aurli1_2023_ed2.gtf)	COMPLETED	0	2023-04-22 23:17:31.331	4.8s	0ms	88.1%	4.1 MB	26.4 MB	8.8 MB	1 MB
6	bc/28db02	78546	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (Aurli1_AssemblyScaffolds_Repeatmasked.fasta)	COMPLETED	0	2023-04-22 23:17:31.366	24.7s	19s	405.2%	1.6 GB	2.8 GB	1.1 GB	1.6 GB
26	5a/775f0d	78547	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT7005R4D3)	COMPLETED	0	2023-04-22 23:17:31.400	1m 25s	1m 19s	99.7%	9.5 MB	13.8 MB	3 GB	92.6 MB
43	cb/827227	78571	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/Aurli1_AssemblyScaffolds_Repeatmasked.fasta)	COMPLETED	0	2023-04-22 23:17:56.273	1m 5s	4s	52.2%	48.8 MB	61.3 MB	110.6 MB	128.4 MB
42	a4/9dd6af	78548	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WTG0R4D4)	COMPLETED	0	2023-04-22 23:17:31.436	2m 30s	2m 24s	99.2%	10.7 MB	15.1 MB	6.7 GB	136.4 MB
9	f6/e41b45	78549	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (32701R4D4)	COMPLETED	0	2023-04-22 23:17:31.479	2m 30s	2m 3s	99.2%	10.4 MB	14.7 MB	5.4 GB	123 MB
