gene_id	chromosome	start	end	width	source	type	score	phase	transcript_id
jgi|Aurli1|70089|e_gw1.1.1335.1	scaffold_1	1182	1577	396	prediction	transcript	NA	NA	mRNA_1
jgi|Aurli1|2|gm1.2_g	scaffold_1	2508	3068	561	prediction	transcript	NA	NA	mRNA_2
jgi|Aurli1|41582|fgenesh1_kg.1_#_2_#_isotig03695	scaffold_1	4091	6312	2222	prediction	transcript	NA	NA	mRNA_3
jgi|Aurli1|69565|e_gw1.1.1120.1	scaffold_1	12773	14931	2159	prediction	transcript	NA	NA	mRNA_4
jgi|Aurli1|41584|fgenesh1_kg.1_#_4_#_isotig00714	scaffold_1	18205	25198	6994	prediction	transcript	NA	NA	mRNA_5
jgi|Aurli1|68725|e_gw1.1.1272.1	scaffold_1	28822	30495	1674	prediction	transcript	NA	NA	mRNA_6
jgi|Aurli1|41586|fgenesh1_kg.1_#_6_#_isotig07809	scaffold_1	31574	33123	1550	prediction	transcript	NA	NA	mRNA_7
jgi|Aurli1|143129|estExt_Genemark1.C_1_t10010	scaffold_1	33421	35982	2562	prediction	transcript	NA	NA	mRNA_8
jgi|Aurli1|68918|e_gw1.1.1035.1	scaffold_1	36196	37119	924	prediction	transcript	NA	NA	mRNA_9
jgi|Aurli1|136024|estExt_fgenesh1_kg.C_1_t10007	scaffold_1	40636	41935	1300	prediction	transcript	NA	NA	mRNA_10
jgi|Aurli1|127242|estExt_fgenesh1_pg.C_1_t10008	scaffold_1	46152	46815	664	prediction	transcript	NA	NA	mRNA_11
jgi|Aurli1|14|gm1.14_g	scaffold_1	59709	60029	321	prediction	transcript	NA	NA	mRNA_12
jgi|Aurli1|113486|fgenesh1_pm.1_#_7	scaffold_1	64085	64450	366	prediction	transcript	NA	NA	mRNA_13
jgi|Aurli1|41590|fgenesh1_kg.1_#_10_#_isotig03997	scaffold_1	69843	71937	2095	prediction	transcript	NA	NA	mRNA_14
jgi|Aurli1|28353|fgenesh1_pg.1_#_10	scaffold_1	72851	74162	1312	prediction	transcript	NA	NA	mRNA_15
jgi|Aurli1|41591|fgenesh1_kg.1_#_11_#_isotig02764	scaffold_1	74974	77816	2843	prediction	transcript	NA	NA	mRNA_16
jgi|Aurli1|41592|fgenesh1_kg.1_#_12_#_isotig06501	scaffold_1	78147	79475	1329	prediction	transcript	NA	NA	mRNA_17
jgi|Aurli1|136030|estExt_fgenesh1_kg.C_1_t10013	scaffold_1	82954	84996	2043	prediction	transcript	NA	NA	mRNA_18
jgi|Aurli1|41594|fgenesh1_kg.1_#_14_#_isotig10547	scaffold_1	87906	88571	666	prediction	transcript	NA	NA	mRNA_20
jgi|Aurli1|120714|estExt_fgenesh1_pm.C_1_t10013	scaffold_1	87908	88571	664	prediction	transcript	NA	NA	mRNA_19
jgi|Aurli1|68599|e_gw1.1.1012.1	scaffold_1	93303	94331	1029	prediction	transcript	NA	NA	mRNA_21
jgi|Aurli1|136034|estExt_fgenesh1_kg.C_1_t10017	scaffold_1	94786	96160	1375	prediction	transcript	NA	NA	mRNA_22
jgi|Aurli1|28361|fgenesh1_pg.1_#_18	scaffold_1	102831	104141	1311	prediction	transcript	NA	NA	mRNA_23
jgi|Aurli1|57751|gw1.1.908.1	scaffold_1	105615	106361	747	prediction	transcript	NA	NA	mRNA_24
jgi|Aurli1|41599|fgenesh1_kg.1_#_19_#_isotig09264	scaffold_1	108651	109462	812	prediction	transcript	NA	NA	mRNA_25
jgi|Aurli1|136037|estExt_fgenesh1_kg.C_1_t10020	scaffold_1	109897	110753	857	prediction	transcript	NA	NA	mRNA_26
jgi|Aurli1|143143|estExt_Genemark1.C_1_t10026	scaffold_1	112546	117126	4581	prediction	transcript	NA	NA	mRNA_27
jgi|Aurli1|136038|estExt_fgenesh1_kg.C_1_t10021	scaffold_1	117662	118757	1096	prediction	transcript	NA	NA	mRNA_28
jgi|Aurli1|69449|e_gw1.1.1239.1	scaffold_1	118857	119432	576	prediction	transcript	NA	NA	mRNA_29
jgi|Aurli1|41602|fgenesh1_kg.1_#_22_#_isotig09996	scaffold_1	120666	121944	1279	prediction	transcript	NA	NA	mRNA_30
jgi|Aurli1|56589|gw1.1.783.1	scaffold_1	124616	125731	1116	prediction	transcript	NA	NA	mRNA_31
jgi|Aurli1|68378|e_gw1.1.256.1	scaffold_1	133054	135192	2139	prediction	transcript	NA	NA	mRNA_32
jgi|Aurli1|32|gm1.32_g	scaffold_1	136627	137536	910	prediction	transcript	NA	NA	mRNA_33
jgi|Aurli1|58598|gw1.1.987.1	scaffold_1	137806	138699	894	prediction	transcript	NA	NA	mRNA_34
jgi|Aurli1|143150|estExt_Genemark1.C_1_t10034	scaffold_1	139361	141806	2446	prediction	transcript	NA	NA	mRNA_35
jgi|Aurli1|35|gm1.35_g	scaffold_1	146611	147522	912	prediction	transcript	NA	NA	mRNA_36
jgi|Aurli1|136043|estExt_fgenesh1_kg.C_1_t10026	scaffold_1	148603	149957	1355	prediction	transcript	NA	NA	mRNA_37
jgi|Aurli1|37|gm1.37_g	scaffold_1	153115	155619	2505	prediction	transcript	NA	NA	mRNA_38
jgi|Aurli1|127266|estExt_fgenesh1_pg.C_1_t10034	scaffold_1	156865	159158	2294	prediction	transcript	NA	NA	mRNA_39
jgi|Aurli1|28378|fgenesh1_pg.1_#_35	scaffold_1	172006	175483	3478	prediction	transcript	NA	NA	mRNA_40
jgi|Aurli1|41608|fgenesh1_kg.1_#_28_#_isotig10730	scaffold_1	178195	178839	645	prediction	transcript	NA	NA	mRNA_41
jgi|Aurli1|41|gm1.41_g	scaffold_1	186380	187285	906	prediction	transcript	NA	NA	mRNA_42
jgi|Aurli1|28382|fgenesh1_pg.1_#_39	scaffold_1	189261	190013	753	prediction	transcript	NA	NA	mRNA_43
jgi|Aurli1|44|gm1.44_g	scaffold_1	190243	193039	2797	prediction	transcript	NA	NA	mRNA_44
